"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"La_Martella","Toluene","µg/m≥","01/01/2022","01","0.40","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","02","0.43","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","03","0.37","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","04","0.39","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","05","0.37","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","06","0.16","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","07","0.38","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","08","0.43","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","09","0.12","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","10","0.15","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","11","0.11","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","12","0.28","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","13","0.19","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","14","0.13","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","15","0.06","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","16","0.09","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","17","0.12","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","18","0.07","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","19","0.16","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","20","0.30","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","21","0.29","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","22","0.08","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","23","0.11","1"
"La_Martella","Toluene","µg/m≥","01/01/2022","24","0.14","1"
"La_Martella","Toluene","µg/m≥","02/01/2022","01","0.39","1"
"La_Martella","Toluene","µg/m≥","02/01/2022","02","0.63","1"
"La_Martella","Toluene","µg/m≥","02/01/2022","03","0.28","1"
"La_Martella","Toluene","µg/m≥","02/01/2022","04","0.21","1"
"La_Martella","Toluene","µg/m≥","02/01/2022","05","0.08","1"
"La_Martella","Toluene","µg/m≥","02/01/2022","06","0.06","1"
"La_Martella","Toluene","µg/m≥","02/01/2022","07","0.07","1"
"La_Martella","Toluene","µg/m≥","02/01/2022","08","0.33","1"
"La_Martella","Toluene","µg/m≥","02/01/2022","09","0.13","1"
"La_Martella","Toluene","µg/m≥","02/01/2022","10","0.37","1"
"La_Martella","Toluene","µg/m≥","02/01/2022","11","0.58","1"
"La_Martella","Toluene","µg/m≥","02/01/2022","12","0.37","1"
"La_Martella","Toluene","µg/m≥","02/01/2022","13","0.23","1"
"La_Martella","Toluene","µg/m≥","02/01/2022","14","0.14","1"
"La_Martella","Toluene","µg/m≥","02/01/2022","15","0.11","1"
"La_Martella","Toluene","µg/m≥","02/01/2022","16","0.15","1"
"La_Martella","Toluene","µg/m≥","02/01/2022","17","0.11","1"
"La_Martella","Toluene","µg/m≥","02/01/2022","18","0.11","1"
