"Stazione","ParamNome","ParamUdm","Data","Ora","Media","ValiditÃ "
"Lavello","CO","mg/m³","01/01/2022","01","0.29","1"
"Lavello","CO","mg/m³","01/01/2022","02","0.29","1"
"Lavello","CO","mg/m³","01/01/2022","03","0.30","1"
"Lavello","CO","mg/m³","01/01/2022","04","0.31","1"
"Lavello","CO","mg/m³","01/01/2022","05","0.31","1"
"Lavello","CO","mg/m³","01/01/2022","06","0.30","1"
"Lavello","CO","mg/m³","01/01/2022","07","0.29","1"
"Lavello","CO","mg/m³","01/01/2022","08","0.28","1"
"Lavello","CO","mg/m³","01/01/2022","09","0.28","1"
"Lavello","CO","mg/m³","01/01/2022","10","0.29","1"
"Lavello","CO","mg/m³","01/01/2022","11","0.29","1"
"Lavello","CO","mg/m³","01/01/2022","12","0.30","1"
"Lavello","CO","mg/m³","01/01/2022","13","0.29","1"
"Lavello","CO","mg/m³","01/01/2022","14","0.30","1"
"Lavello","CO","mg/m³","01/01/2022","15","0.30","1"
"Lavello","CO","mg/m³","01/01/2022","16","0.29","1"
"Lavello","CO","mg/m³","01/01/2022","17","0.30","1"
"Lavello","CO","mg/m³","01/01/2022","18","0.29","1"
"Lavello","CO","mg/m³","01/01/2022","19","0.28","1"
"Lavello","CO","mg/m³","01/01/2022","20","0.29","1"
"Lavello","CO","mg/m³","01/01/2022","21","0.30","1"
"Lavello","CO","mg/m³","01/01/2022","22","0.28","1"
"Lavello","CO","mg/m³","01/01/2022","23","0.28","1"
"Lavello","CO","mg/m³","01/01/2022","24","0.29","1"
"Lavello","CO","mg/m³","02/01/2022","01","0.29","1"
"Lavello","CO","mg/m³","02/01/2022","02","0.29","1"
"Lavello","CO","mg/m³","02/01/2022","03","0.30","1"
"Lavello","CO","mg/m³","02/01/2022","04","0.31","1"
"Lavello","CO","mg/m³","02/01/2022","05","0.31","1"
"Lavello","CO","mg/m³","02/01/2022","06","0.32","1"
"Lavello","CO","mg/m³","02/01/2022","07","0.32","1"
"Lavello","CO","mg/m³","02/01/2022","08","0.31","1"
"Lavello","CO","mg/m³","02/01/2022","09","0.31","1"
"Lavello","CO","mg/m³","02/01/2022","10","0.28","1"
"Lavello","CO","mg/m³","02/01/2022","11","0.32","1"
"Lavello","CO","mg/m³","02/01/2022","12","0.30","1"
"Lavello","CO","mg/m³","02/01/2022","13","0.32","1"
"Lavello","CO","mg/m³","02/01/2022","14","0.31","1"
"Lavello","CO","mg/m³","02/01/2022","15","0.31","1"
"Lavello","CO","mg/m³","02/01/2022","16","0.30","1"
"Lavello","CO","mg/m³","02/01/2022","17","0.29","1"
"Lavello","CO","mg/m³","02/01/2022","18","0.28","1"
"Lavello","CO","mg/m³","02/01/2022","19","0.28","1"
"Lavello","CO","mg/m³","02/01/2022","20","0.29","1"
"Lavello","CO","mg/m³","02/01/2022","21","0.29","1"
"Lavello","CO","mg/m³","02/01/2022","22","0.28","1"
"Lavello","CO","mg/m³","02/01/2022","23","0.27","1"
"Lavello","CO","mg/m³","02/01/2022","24","0.28","1"
"Lavello","CO","mg/m³","03/01/2022","01","0.28","1"
"Lavello","CO","mg/m³","03/01/2022","02","0.28","1"
"Lavello","CO","mg/m³","03/01/2022","03","0.28","1"
"Lavello","CO","mg/m³","03/01/2022","04","0.28","1"
"Lavello","CO","mg/m³","03/01/2022","05","0.28","1"
"Lavello","CO","mg/m³","03/01/2022","06","0.28","1"
"Lavello","CO","mg/m³","03/01/2022","07","0.28","1"
"Lavello","CO","mg/m³","03/01/2022","08","0.29","1"
"Lavello","CO","mg/m³","03/01/2022","09","0.29","1"
"Lavello","CO","mg/m³","03/01/2022","10","0.28","1"
"Lavello","CO","mg/m³","03/01/2022","11","0.27","1"
"Lavello","CO","mg/m³","03/01/2022","12","0.27","1"
"Lavello","CO","mg/m³","03/01/2022","13","0.28","1"
"Lavello","CO","mg/m³","03/01/2022","14","0.29","1"
"Lavello","CO","mg/m³","03/01/2022","15","0.28","1"
"Lavello","CO","mg/m³","03/01/2022","16","0.28","1"
"Lavello","CO","mg/m³","03/01/2022","17","0.27","1"
"Lavello","CO","mg/m³","03/01/2022","18","0.28","1"
"Lavello","CO","mg/m³","03/01/2022","19","0.28","1"
"Lavello","CO","mg/m³","03/01/2022","20","0.27","1"
"Lavello","CO","mg/m³","03/01/2022","21","0.28","1"
"Lavello","CO","mg/m³","03/01/2022","22","0.29","1"
"Lavello","CO","mg/m³","03/01/2022","23","0.27","1"
"Lavello","CO","mg/m³","03/01/2022","24","0.27","1"
"Lavello","CO","mg/m³","04/01/2022","01","0.28","1"
"Lavello","CO","mg/m³","04/01/2022","02","0.28","1"
"Lavello","CO","mg/m³","04/01/2022","03","0.28","1"
"Lavello","CO","mg/m³","04/01/2022","04","0.28","1"
"Lavello","CO","mg/m³","04/01/2022","05","0.28","1"
"Lavello","CO","mg/m³","04/01/2022","06","0.29","1"
"Lavello","CO","mg/m³","04/01/2022","07","0.28","1"
"Lavello","CO","mg/m³","04/01/2022","08","0.28","1"
"Lavello","CO","mg/m³","04/01/2022","09","0.28","1"
"Lavello","CO","mg/m³","04/01/2022","10","0.28","1"
"Lavello","CO","mg/m³","04/01/2022","11","0.28","1"
"Lavello","CO","mg/m³","04/01/2022","12","0.29","1"
"Lavello","CO","mg/m³","04/01/2022","13","-9999","-1"
"Lavello","CO","mg/m³","04/01/2022","14","0.28","1"
"Lavello","CO","mg/m³","04/01/2022","15","0.28","1"
"Lavello","CO","mg/m³","04/01/2022","16","0.28","1"
"Lavello","CO","mg/m³","04/01/2022","17","0.27","1"
"Lavello","CO","mg/m³","04/01/2022","18","0.28","1"
"Lavello","CO","mg/m³","04/01/2022","19","0.28","1"
"Lavello","CO","mg/m³","04/01/2022","20","0.27","1"
"Lavello","CO","mg/m³","04/01/2022","21","0.27","1"
"Lavello","CO","mg/m³","04/01/2022","22","0.27","1"
"Lavello","CO","mg/m³","04/01/2022","23","0.28","1"
"Lavello","CO","mg/m³","04/01/2022","24","0.27","1"
"Lavello","CO","mg/m³","05/01/2022","01","0.27","1"
"Lavello","CO","mg/m³","05/01/2022","02","0.28","1"
"Lavello","CO","mg/m³","05/01/2022","03","0.28","1"
"Lavello","CO","mg/m³","05/01/2022","04","0.27","1"
"Lavello","CO","mg/m³","05/01/2022","05","0.28","1"
"Lavello","CO","mg/m³","05/01/2022","06","0.28","1"
"Lavello","CO","mg/m³","05/01/2022","07","0.27","1"
"Lavello","CO","mg/m³","05/01/2022","08","0.28","1"
"Lavello","CO","mg/m³","05/01/2022","09","0.28","1"
"Lavello","CO","mg/m³","05/01/2022","10","0.31","1"
"Lavello","CO","mg/m³","05/01/2022","11","0.28","1"
"Lavello","CO","mg/m³","05/01/2022","12","0.27","1"
"Lavello","CO","mg/m³","05/01/2022","13","0.27","1"
"Lavello","CO","mg/m³","05/01/2022","14","0.26","1"
"Lavello","CO","mg/m³","05/01/2022","15","0.28","1"
"Lavello","CO","mg/m³","05/01/2022","16","0.29","1"
"Lavello","CO","mg/m³","05/01/2022","17","0.28","1"
"Lavello","CO","mg/m³","05/01/2022","18","0.28","1"
"Lavello","CO","mg/m³","05/01/2022","19","0.28","1"
"Lavello","CO","mg/m³","05/01/2022","20","0.27","1"
"Lavello","CO","mg/m³","05/01/2022","21","0.27","1"
"Lavello","CO","mg/m³","05/01/2022","22","0.27","1"
"Lavello","CO","mg/m³","05/01/2022","23","0.28","1"
"Lavello","CO","mg/m³","05/01/2022","24","0.27","1"
"Lavello","CO","mg/m³","06/01/2022","01","0.27","1"
"Lavello","CO","mg/m³","06/01/2022","02","0.27","1"
"Lavello","CO","mg/m³","06/01/2022","03","0.27","1"
"Lavello","CO","mg/m³","06/01/2022","04","0.27","1"
"Lavello","CO","mg/m³","06/01/2022","05","0.27","1"
"Lavello","CO","mg/m³","06/01/2022","06","0.27","1"
"Lavello","CO","mg/m³","06/01/2022","07","0.27","1"
"Lavello","CO","mg/m³","06/01/2022","08","0.28","1"
"Lavello","CO","mg/m³","06/01/2022","09","0.29","1"
"Lavello","CO","mg/m³","06/01/2022","10","0.32","1"
"Lavello","CO","mg/m³","06/01/2022","11","0.33","1"
"Lavello","CO","mg/m³","06/01/2022","12","0.29","1"
"Lavello","CO","mg/m³","06/01/2022","13","0.27","1"
"Lavello","CO","mg/m³","06/01/2022","14","0.27","1"
"Lavello","CO","mg/m³","06/01/2022","15","0.27","1"
"Lavello","CO","mg/m³","06/01/2022","16","0.27","1"
"Lavello","CO","mg/m³","06/01/2022","17","0.27","1"
"Lavello","CO","mg/m³","06/01/2022","18","0.28","1"
"Lavello","CO","mg/m³","06/01/2022","19","0.27","1"
"Lavello","CO","mg/m³","06/01/2022","20","0.28","1"
"Lavello","CO","mg/m³","06/01/2022","21","0.28","1"
"Lavello","CO","mg/m³","06/01/2022","22","0.28","1"
"Lavello","CO","mg/m³","06/01/2022","23","0.27","1"
"Lavello","CO","mg/m³","06/01/2022","24","0.28","1"
