"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Lavello","Temperatura","∞C","01/01/2022","01","14.00","1"
"Lavello","Temperatura","∞C","01/01/2022","02","14.02","1"
"Lavello","Temperatura","∞C","01/01/2022","03","14.24","1"
"Lavello","Temperatura","∞C","01/01/2022","04","14.29","1"
"Lavello","Temperatura","∞C","01/01/2022","05","13.64","1"
"Lavello","Temperatura","∞C","01/01/2022","06","11.67","1"
"Lavello","Temperatura","∞C","01/01/2022","07","9.43","1"
"Lavello","Temperatura","∞C","01/01/2022","08","8.09","1"
"Lavello","Temperatura","∞C","01/01/2022","09","9.58","1"
"Lavello","Temperatura","∞C","01/01/2022","10","12.80","1"
"Lavello","Temperatura","∞C","01/01/2022","11","15.51","1"
"Lavello","Temperatura","∞C","01/01/2022","12","16.58","1"
"Lavello","Temperatura","∞C","01/01/2022","13","17.59","1"
"Lavello","Temperatura","∞C","01/01/2022","14","18.26","1"
"Lavello","Temperatura","∞C","01/01/2022","15","18.26","1"
"Lavello","Temperatura","∞C","01/01/2022","16","16.76","1"
"Lavello","Temperatura","∞C","01/01/2022","17","15.29","1"
"Lavello","Temperatura","∞C","01/01/2022","18","14.22","1"
"Lavello","Temperatura","∞C","01/01/2022","19","12.67","1"
"Lavello","Temperatura","∞C","01/01/2022","20","12.10","1"
"Lavello","Temperatura","∞C","01/01/2022","21","11.49","1"
"Lavello","Temperatura","∞C","01/01/2022","22","11.45","1"
"Lavello","Temperatura","∞C","01/01/2022","23","10.78","1"
"Lavello","Temperatura","∞C","01/01/2022","24","11.07","1"
"Lavello","Temperatura","∞C","02/01/2022","01","11.18","1"
"Lavello","Temperatura","∞C","02/01/2022","02","10.68","1"
"Lavello","Temperatura","∞C","02/01/2022","03","10.35","1"
"Lavello","Temperatura","∞C","02/01/2022","04","10.44","1"
"Lavello","Temperatura","∞C","02/01/2022","05","8.16","1"
"Lavello","Temperatura","∞C","02/01/2022","06","8.09","1"
"Lavello","Temperatura","∞C","02/01/2022","07","7.97","1"
"Lavello","Temperatura","∞C","02/01/2022","08","7.76","1"
"Lavello","Temperatura","∞C","02/01/2022","09","8.90","1"
"Lavello","Temperatura","∞C","02/01/2022","10","12.04","1"
"Lavello","Temperatura","∞C","02/01/2022","11","14.86","1"
"Lavello","Temperatura","∞C","02/01/2022","12","17.72","1"
"Lavello","Temperatura","∞C","02/01/2022","13","19.43","1"
"Lavello","Temperatura","∞C","02/01/2022","14","19.25","1"
"Lavello","Temperatura","∞C","02/01/2022","15","18.53","1"
"Lavello","Temperatura","∞C","02/01/2022","16","17.08","1"
"Lavello","Temperatura","∞C","02/01/2022","17","14.15","1"
"Lavello","Temperatura","∞C","02/01/2022","18","12.17","1"
"Lavello","Temperatura","∞C","02/01/2022","19","10.80","1"
"Lavello","Temperatura","∞C","02/01/2022","20","10.34","1"
"Lavello","Temperatura","∞C","02/01/2022","21","9.78","1"
"Lavello","Temperatura","∞C","02/01/2022","22","9.30","1"
"Lavello","Temperatura","∞C","02/01/2022","23","9.09","1"
"Lavello","Temperatura","∞C","02/01/2022","24","8.96","1"
"Lavello","Temperatura","∞C","03/01/2022","01","8.89","1"
"Lavello","Temperatura","∞C","03/01/2022","02","8.70","1"
"Lavello","Temperatura","∞C","03/01/2022","03","8.81","1"
"Lavello","Temperatura","∞C","03/01/2022","04","8.81","1"
"Lavello","Temperatura","∞C","03/01/2022","05","8.59","1"
"Lavello","Temperatura","∞C","03/01/2022","06","8.11","1"
"Lavello","Temperatura","∞C","03/01/2022","07","8.09","1"
"Lavello","Temperatura","∞C","03/01/2022","08","8.67","1"
"Lavello","Temperatura","∞C","03/01/2022","09","9.36","1"
"Lavello","Temperatura","∞C","03/01/2022","10","10.56","1"
"Lavello","Temperatura","∞C","03/01/2022","11","11.70","1"
"Lavello","Temperatura","∞C","03/01/2022","12","12.33","1"
"Lavello","Temperatura","∞C","03/01/2022","13","13.06","1"
"Lavello","Temperatura","∞C","03/01/2022","14","13.62","1"
"Lavello","Temperatura","∞C","03/01/2022","15","13.23","1"
"Lavello","Temperatura","∞C","03/01/2022","16","12.08","1"
"Lavello","Temperatura","∞C","03/01/2022","17","11.14","1"
"Lavello","Temperatura","∞C","03/01/2022","18","10.22","1"
"Lavello","Temperatura","∞C","03/01/2022","19","10.12","1"
"Lavello","Temperatura","∞C","03/01/2022","20","10.54","1"
"Lavello","Temperatura","∞C","03/01/2022","21","10.31","1"
"Lavello","Temperatura","∞C","03/01/2022","22","9.61","1"
"Lavello","Temperatura","∞C","03/01/2022","23","9.76","1"
"Lavello","Temperatura","∞C","03/01/2022","24","10.04","1"
"Lavello","Temperatura","∞C","04/01/2022","01","10.18","1"
"Lavello","Temperatura","∞C","04/01/2022","02","10.23","1"
"Lavello","Temperatura","∞C","04/01/2022","03","10.23","1"
"Lavello","Temperatura","∞C","04/01/2022","04","10.53","1"
"Lavello","Temperatura","∞C","04/01/2022","05","10.41","1"
"Lavello","Temperatura","∞C","04/01/2022","06","10.50","1"
"Lavello","Temperatura","∞C","04/01/2022","07","10.36","1"
"Lavello","Temperatura","∞C","04/01/2022","08","10.73","1"
"Lavello","Temperatura","∞C","04/01/2022","09","11.21","1"
"Lavello","Temperatura","∞C","04/01/2022","10","12.44","1"
"Lavello","Temperatura","∞C","04/01/2022","11","13.46","1"
"Lavello","Temperatura","∞C","04/01/2022","12","14.70","1"
"Lavello","Temperatura","∞C","04/01/2022","13","16.02","1"
"Lavello","Temperatura","∞C","04/01/2022","14","16.40","1"
"Lavello","Temperatura","∞C","04/01/2022","15","16.02","1"
"Lavello","Temperatura","∞C","04/01/2022","16","15.23","1"
"Lavello","Temperatura","∞C","04/01/2022","17","13.71","1"
"Lavello","Temperatura","∞C","04/01/2022","18","12.43","1"
"Lavello","Temperatura","∞C","04/01/2022","19","12.31","1"
"Lavello","Temperatura","∞C","04/01/2022","20","11.61","1"
"Lavello","Temperatura","∞C","04/01/2022","21","11.87","1"
"Lavello","Temperatura","∞C","04/01/2022","22","11.26","1"
"Lavello","Temperatura","∞C","04/01/2022","23","10.53","1"
"Lavello","Temperatura","∞C","04/01/2022","24","10.29","1"
"Lavello","Temperatura","∞C","05/01/2022","01","9.92","1"
"Lavello","Temperatura","∞C","05/01/2022","02","10.01","1"
"Lavello","Temperatura","∞C","05/01/2022","03","9.55","1"
"Lavello","Temperatura","∞C","05/01/2022","04","9.42","1"
"Lavello","Temperatura","∞C","05/01/2022","05","9.59","1"
"Lavello","Temperatura","∞C","05/01/2022","06","8.96","1"
"Lavello","Temperatura","∞C","05/01/2022","07","8.38","1"
"Lavello","Temperatura","∞C","05/01/2022","08","8.54","1"
"Lavello","Temperatura","∞C","05/01/2022","09","9.04","1"
