"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Melfi","Direzione_Vento","∞N","01/01/2022","01","254.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","02","251.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","03","253.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","04","255.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","05","253.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","06","295.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","07","259.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","08","256.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","09","266.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","10","261.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","11","259.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","12","285.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","13","301.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","14","292.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","15","311.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","16","317.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","17","278.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","18","233.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","19","219.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","20","219.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","21","231.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","22","219.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","23","217.00","1"
"Melfi","Direzione_Vento","∞N","01/01/2022","24","221.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","01","208.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","02","205.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","03","223.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","04","215.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","05","220.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","06","161.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","07","226.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","08","220.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","09","221.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","10","190.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","11","286.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","12","272.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","13","271.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","14","261.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","15","260.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","16","260.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","17","234.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","18","249.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","19","252.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","20","256.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","21","249.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","22","241.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","23","265.00","1"
"Melfi","Direzione_Vento","∞N","02/01/2022","24","266.00","1"
"Melfi","Direzione_Vento","∞N","03/01/2022","01","234.00","1"
"Melfi","Direzione_Vento","∞N","03/01/2022","02","272.00","1"
"Melfi","Direzione_Vento","∞N","03/01/2022","03","265.00","1"
"Melfi","Direzione_Vento","∞N","03/01/2022","04","265.00","1"
"Melfi","Direzione_Vento","∞N","03/01/2022","05","266.00","1"
"Melfi","Direzione_Vento","∞N","03/01/2022","06","266.00","1"
"Melfi","Direzione_Vento","∞N","03/01/2022","07","278.00","1"
"Melfi","Direzione_Vento","∞N","03/01/2022","08","272.00","1"
"Melfi","Direzione_Vento","∞N","03/01/2022","09","279.00","1"
"Melfi","Direzione_Vento","∞N","03/01/2022","10","279.00","1"
"Melfi","Direzione_Vento","∞N","03/01/2022","11","286.00","1"
"Melfi","Direzione_Vento","∞N","03/01/2022","12","286.00","1"
"Melfi","Direzione_Vento","∞N","03/01/2022","13","286.00","1"
