"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Melfi","NO","ppb","01/01/2022","01","1.43","1"
"Melfi","NO","ppb","01/01/2022","02","1.54","1"
"Melfi","NO","ppb","01/01/2022","03","1.94","1"
"Melfi","NO","ppb","01/01/2022","04","1.56","1"
"Melfi","NO","ppb","01/01/2022","05","1.59","1"
"Melfi","NO","ppb","01/01/2022","06","1.34","1"
"Melfi","NO","ppb","01/01/2022","07","1.52","1"
"Melfi","NO","ppb","01/01/2022","08","1.83","1"
"Melfi","NO","ppb","01/01/2022","09","1.61","1"
"Melfi","NO","ppb","01/01/2022","10","1.81","1"
"Melfi","NO","ppb","01/01/2022","11","1.97","1"
"Melfi","NO","ppb","01/01/2022","12","1.86","1"
"Melfi","NO","ppb","01/01/2022","13","1.59","1"
"Melfi","NO","ppb","01/01/2022","14","1.60","1"
"Melfi","NO","ppb","01/01/2022","15","1.54","1"
"Melfi","NO","ppb","01/01/2022","16","1.63","1"
"Melfi","NO","ppb","01/01/2022","17","2.08","1"
"Melfi","NO","ppb","01/01/2022","18","1.61","1"
"Melfi","NO","ppb","01/01/2022","19","1.55","1"
"Melfi","NO","ppb","01/01/2022","20","1.64","1"
"Melfi","NO","ppb","01/01/2022","21","1.62","1"
"Melfi","NO","ppb","01/01/2022","22","1.73","1"
"Melfi","NO","ppb","01/01/2022","23","1.50","-1"
"Melfi","NO","ppb","01/01/2022","24","1.97","1"
"Melfi","NO","ppb","02/01/2022","01","1.34","1"
"Melfi","NO","ppb","02/01/2022","02","1.52","1"
"Melfi","NO","ppb","02/01/2022","03","1.51","1"
"Melfi","NO","ppb","02/01/2022","04","1.67","1"
"Melfi","NO","ppb","02/01/2022","05","1.48","1"
"Melfi","NO","ppb","02/01/2022","06","1.37","1"
"Melfi","NO","ppb","02/01/2022","07","1.78","1"
"Melfi","NO","ppb","02/01/2022","08","2.58","1"
"Melfi","NO","ppb","02/01/2022","09","2.06","1"
"Melfi","NO","ppb","02/01/2022","10","5.70","1"
"Melfi","NO","ppb","02/01/2022","11","2.27","1"
"Melfi","NO","ppb","02/01/2022","12","4.31","1"
"Melfi","NO","ppb","02/01/2022","13","1.97","1"
"Melfi","NO","ppb","02/01/2022","14","2.04","1"
"Melfi","NO","ppb","02/01/2022","15","1.78","1"
"Melfi","NO","ppb","02/01/2022","16","2.06","1"
"Melfi","NO","ppb","02/01/2022","17","2.24","1"
"Melfi","NO","ppb","02/01/2022","18","1.83","1"
"Melfi","NO","ppb","02/01/2022","19","1.87","1"
"Melfi","NO","ppb","02/01/2022","20","1.71","1"
"Melfi","NO","ppb","02/01/2022","21","1.79","1"
"Melfi","NO","ppb","02/01/2022","22","1.58","-1"
"Melfi","NO","ppb","02/01/2022","23","1.67","1"
"Melfi","NO","ppb","02/01/2022","24","1.72","1"
"Melfi","NO","ppb","03/01/2022","01","1.58","1"
"Melfi","NO","ppb","03/01/2022","02","1.66","1"
"Melfi","NO","ppb","03/01/2022","03","1.91","1"
"Melfi","NO","ppb","03/01/2022","04","1.56","1"
"Melfi","NO","ppb","03/01/2022","05","1.71","1"
"Melfi","NO","ppb","03/01/2022","06","1.61","1"
"Melfi","NO","ppb","03/01/2022","07","1.78","1"
