"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Melfi","Pressione","mBar","01/01/2022","01","958.86","1"
"Melfi","Pressione","mBar","01/01/2022","02","958.62","1"
"Melfi","Pressione","mBar","01/01/2022","03","958.39","1"
"Melfi","Pressione","mBar","01/01/2022","04","957.97","1"
"Melfi","Pressione","mBar","01/01/2022","05","957.96","1"
"Melfi","Pressione","mBar","01/01/2022","06","958.22","1"
"Melfi","Pressione","mBar","01/01/2022","07","958.14","1"
"Melfi","Pressione","mBar","01/01/2022","08","958.51","1"
"Melfi","Pressione","mBar","01/01/2022","09","959.07","1"
"Melfi","Pressione","mBar","01/01/2022","10","959.66","1"
"Melfi","Pressione","mBar","01/01/2022","11","959.75","1"
"Melfi","Pressione","mBar","01/01/2022","12","959.85","1"
"Melfi","Pressione","mBar","01/01/2022","13","959.64","1"
"Melfi","Pressione","mBar","01/01/2022","14","959.40","1"
"Melfi","Pressione","mBar","01/01/2022","15","959.36","1"
"Melfi","Pressione","mBar","01/01/2022","16","959.72","1"
"Melfi","Pressione","mBar","01/01/2022","17","960.02","1"
"Melfi","Pressione","mBar","01/01/2022","18","960.24","1"
"Melfi","Pressione","mBar","01/01/2022","19","960.28","1"
"Melfi","Pressione","mBar","01/01/2022","20","960.60","1"
"Melfi","Pressione","mBar","01/01/2022","21","960.82","1"
"Melfi","Pressione","mBar","01/01/2022","22","960.90","1"
"Melfi","Pressione","mBar","01/01/2022","23","961.03","1"
"Melfi","Pressione","mBar","01/01/2022","24","960.98","1"
"Melfi","Pressione","mBar","02/01/2022","01","960.86","1"
"Melfi","Pressione","mBar","02/01/2022","02","960.74","1"
"Melfi","Pressione","mBar","02/01/2022","03","960.73","1"
"Melfi","Pressione","mBar","02/01/2022","04","960.42","1"
"Melfi","Pressione","mBar","02/01/2022","05","960.16","1"
"Melfi","Pressione","mBar","02/01/2022","06","960.05","1"
"Melfi","Pressione","mBar","02/01/2022","07","960.09","1"
"Melfi","Pressione","mBar","02/01/2022","08","960.02","1"
"Melfi","Pressione","mBar","02/01/2022","09","960.30","1"
"Melfi","Pressione","mBar","02/01/2022","10","960.45","1"
"Melfi","Pressione","mBar","02/01/2022","11","960.15","1"
"Melfi","Pressione","mBar","02/01/2022","12","959.41","1"
"Melfi","Pressione","mBar","02/01/2022","13","958.71","1"
"Melfi","Pressione","mBar","02/01/2022","14","958.27","1"
"Melfi","Pressione","mBar","02/01/2022","15","957.98","1"
"Melfi","Pressione","mBar","02/01/2022","16","958.00","1"
"Melfi","Pressione","mBar","02/01/2022","17","958.19","1"
"Melfi","Pressione","mBar","02/01/2022","18","958.20","1"
"Melfi","Pressione","mBar","02/01/2022","19","958.20","1"
"Melfi","Pressione","mBar","02/01/2022","20","958.23","1"
"Melfi","Pressione","mBar","02/01/2022","21","958.31","1"
"Melfi","Pressione","mBar","02/01/2022","22","957.91","1"
"Melfi","Pressione","mBar","02/01/2022","23","957.84","1"
"Melfi","Pressione","mBar","02/01/2022","24","957.96","1"
"Melfi","Pressione","mBar","03/01/2022","01","957.82","1"
"Melfi","Pressione","mBar","03/01/2022","02","957.56","1"
"Melfi","Pressione","mBar","03/01/2022","03","957.30","1"
"Melfi","Pressione","mBar","03/01/2022","04","956.70","1"
"Melfi","Pressione","mBar","03/01/2022","05","955.96","1"
"Melfi","Pressione","mBar","03/01/2022","06","956.05","1"
"Melfi","Pressione","mBar","03/01/2022","07","956.19","1"
"Melfi","Pressione","mBar","03/01/2022","08","956.13","1"
"Melfi","Pressione","mBar","03/01/2022","09","956.16","1"
"Melfi","Pressione","mBar","03/01/2022","10","956.09","1"
"Melfi","Pressione","mBar","03/01/2022","11","956.10","1"
"Melfi","Pressione","mBar","03/01/2022","12","955.77","1"
"Melfi","Pressione","mBar","03/01/2022","13","954.86","1"
"Melfi","Pressione","mBar","03/01/2022","14","954.23","1"
"Melfi","Pressione","mBar","03/01/2022","15","954.42","1"
"Melfi","Pressione","mBar","03/01/2022","16","954.33","1"
"Melfi","Pressione","mBar","03/01/2022","17","954.69","1"
"Melfi","Pressione","mBar","03/01/2022","18","954.74","1"
"Melfi","Pressione","mBar","03/01/2022","19","954.32","1"
"Melfi","Pressione","mBar","03/01/2022","20","954.37","1"
"Melfi","Pressione","mBar","03/01/2022","21","954.04","1"
"Melfi","Pressione","mBar","03/01/2022","22","953.96","1"
"Melfi","Pressione","mBar","03/01/2022","23","953.96","1"
"Melfi","Pressione","mBar","03/01/2022","24","953.60","1"
"Melfi","Pressione","mBar","04/01/2022","01","953.14","1"
"Melfi","Pressione","mBar","04/01/2022","02","952.98","1"
"Melfi","Pressione","mBar","04/01/2022","03","952.61","1"
"Melfi","Pressione","mBar","04/01/2022","04","952.10","1"
"Melfi","Pressione","mBar","04/01/2022","05","951.40","1"
"Melfi","Pressione","mBar","04/01/2022","06","951.40","1"
"Melfi","Pressione","mBar","04/01/2022","07","951.79","1"
"Melfi","Pressione","mBar","04/01/2022","08","951.73","1"
