"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Melfi","SO2","µg/m≥","01/01/2022","01","3.39","1"
"Melfi","SO2","µg/m≥","01/01/2022","02","3.41","1"
"Melfi","SO2","µg/m≥","01/01/2022","03","3.68","1"
"Melfi","SO2","µg/m≥","01/01/2022","04","3.68","1"
"Melfi","SO2","µg/m≥","01/01/2022","05","3.27","1"
"Melfi","SO2","µg/m≥","01/01/2022","06","3.59","1"
"Melfi","SO2","µg/m≥","01/01/2022","07","3.35","1"
"Melfi","SO2","µg/m≥","01/01/2022","08","3.19","1"
"Melfi","SO2","µg/m≥","01/01/2022","09","3.25","1"
"Melfi","SO2","µg/m≥","01/01/2022","10","3.05","1"
"Melfi","SO2","µg/m≥","01/01/2022","11","2.90","1"
"Melfi","SO2","µg/m≥","01/01/2022","12","3.12","1"
"Melfi","SO2","µg/m≥","01/01/2022","13","3.80","1"
"Melfi","SO2","µg/m≥","01/01/2022","14","3.79","1"
"Melfi","SO2","µg/m≥","01/01/2022","15","3.39","1"
"Melfi","SO2","µg/m≥","01/01/2022","16","3.20","1"
"Melfi","SO2","µg/m≥","01/01/2022","17","3.37","1"
"Melfi","SO2","µg/m≥","01/01/2022","18","3.69","1"
"Melfi","SO2","µg/m≥","01/01/2022","19","3.18","1"
"Melfi","SO2","µg/m≥","01/01/2022","20","3.81","1"
"Melfi","SO2","µg/m≥","01/01/2022","21","3.59","1"
"Melfi","SO2","µg/m≥","01/01/2022","22","3.33","1"
"Melfi","SO2","µg/m≥","01/01/2022","23","3.31","1"
"Melfi","SO2","µg/m≥","01/01/2022","24","3.23","1"
"Melfi","SO2","µg/m≥","02/01/2022","01","3.72","1"
"Melfi","SO2","µg/m≥","02/01/2022","02","2.95","1"
"Melfi","SO2","µg/m≥","02/01/2022","03","3.08","1"
"Melfi","SO2","µg/m≥","02/01/2022","04","2.86","1"
"Melfi","SO2","µg/m≥","02/01/2022","05","2.97","1"
"Melfi","SO2","µg/m≥","02/01/2022","06","2.85","1"
"Melfi","SO2","µg/m≥","02/01/2022","07","2.91","1"
"Melfi","SO2","µg/m≥","02/01/2022","08","3.01","1"
"Melfi","SO2","µg/m≥","02/01/2022","09","3.34","1"
"Melfi","SO2","µg/m≥","02/01/2022","10","3.56","1"
"Melfi","SO2","µg/m≥","02/01/2022","11","3.10","1"
"Melfi","SO2","µg/m≥","02/01/2022","12","3.01","1"
"Melfi","SO2","µg/m≥","02/01/2022","13","3.29","1"
"Melfi","SO2","µg/m≥","02/01/2022","14","3.57","1"
"Melfi","SO2","µg/m≥","02/01/2022","15","3.49","1"
"Melfi","SO2","µg/m≥","02/01/2022","16","3.47","1"
"Melfi","SO2","µg/m≥","02/01/2022","17","3.54","1"
"Melfi","SO2","µg/m≥","02/01/2022","18","3.45","1"
"Melfi","SO2","µg/m≥","02/01/2022","19","3.85","1"
"Melfi","SO2","µg/m≥","02/01/2022","20","3.87","1"
"Melfi","SO2","µg/m≥","02/01/2022","21","3.63","1"
"Melfi","SO2","µg/m≥","02/01/2022","22","3.12","1"
"Melfi","SO2","µg/m≥","02/01/2022","23","3.42","1"
"Melfi","SO2","µg/m≥","02/01/2022","24","3.36","1"
"Melfi","SO2","µg/m≥","03/01/2022","01","3.26","1"
"Melfi","SO2","µg/m≥","03/01/2022","02","3.08","1"
"Melfi","SO2","µg/m≥","03/01/2022","03","3.46","1"
"Melfi","SO2","µg/m≥","03/01/2022","04","3.31","1"
"Melfi","SO2","µg/m≥","03/01/2022","05","3.36","1"
"Melfi","SO2","µg/m≥","03/01/2022","06","3.29","1"
"Melfi","SO2","µg/m≥","03/01/2022","07","3.28","1"
"Melfi","SO2","µg/m≥","03/01/2022","08","3.37","1"
"Melfi","SO2","µg/m≥","03/01/2022","09","3.26","1"
"Melfi","SO2","µg/m≥","03/01/2022","10","3.33","1"
"Melfi","SO2","µg/m≥","03/01/2022","11","3.43","1"
"Melfi","SO2","µg/m≥","03/01/2022","12","3.64","1"
"Melfi","SO2","µg/m≥","03/01/2022","13","3.52","1"
"Melfi","SO2","µg/m≥","03/01/2022","14","3.47","1"
"Melfi","SO2","µg/m≥","03/01/2022","15","3.40","1"
"Melfi","SO2","µg/m≥","03/01/2022","16","3.63","1"
"Melfi","SO2","µg/m≥","03/01/2022","17","3.98","1"
"Melfi","SO2","µg/m≥","03/01/2022","18","3.87","1"
"Melfi","SO2","µg/m≥","03/01/2022","19","4.20","1"
"Melfi","SO2","µg/m≥","03/01/2022","20","3.88","1"
"Melfi","SO2","µg/m≥","03/01/2022","21","5.71","1"
"Melfi","SO2","µg/m≥","03/01/2022","22","4.37","1"
"Melfi","SO2","µg/m≥","03/01/2022","23","4.14","1"
"Melfi","SO2","µg/m≥","03/01/2022","24","4.21","1"
"Melfi","SO2","µg/m≥","04/01/2022","01","4.14","1"
"Melfi","SO2","µg/m≥","04/01/2022","02","3.92","1"
"Melfi","SO2","µg/m≥","04/01/2022","03","3.76","1"
"Melfi","SO2","µg/m≥","04/01/2022","04","3.74","1"
"Melfi","SO2","µg/m≥","04/01/2022","05","3.64","1"
"Melfi","SO2","µg/m≥","04/01/2022","06","3.86","1"
"Melfi","SO2","µg/m≥","04/01/2022","07","3.66","1"
"Melfi","SO2","µg/m≥","04/01/2022","08","3.64","1"
"Melfi","SO2","µg/m≥","04/01/2022","09","3.65","1"
"Melfi","SO2","µg/m≥","04/01/2022","10","3.77","1"
"Melfi","SO2","µg/m≥","04/01/2022","11","3.92","1"
"Melfi","SO2","µg/m≥","04/01/2022","12","3.59","1"
"Melfi","SO2","µg/m≥","04/01/2022","13","3.86","1"
"Melfi","SO2","µg/m≥","04/01/2022","14","4.04","1"
"Melfi","SO2","µg/m≥","04/01/2022","15","3.90","1"
"Melfi","SO2","µg/m≥","04/01/2022","16","3.85","1"
"Melfi","SO2","µg/m≥","04/01/2022","17","4.23","1"
"Melfi","SO2","µg/m≥","04/01/2022","18","4.41","1"
"Melfi","SO2","µg/m≥","04/01/2022","19","5.23","1"
"Melfi","SO2","µg/m≥","04/01/2022","20","-9999","-1"
"Melfi","SO2","µg/m≥","04/01/2022","21","3.74","1"
"Melfi","SO2","µg/m≥","04/01/2022","22","3.13","1"
"Melfi","SO2","µg/m≥","04/01/2022","23","3.55","1"
"Melfi","SO2","µg/m≥","04/01/2022","24","3.46","1"
"Melfi","SO2","µg/m≥","05/01/2022","01","3.46","1"
"Melfi","SO2","µg/m≥","05/01/2022","02","3.02","1"
"Melfi","SO2","µg/m≥","05/01/2022","03","3.02","1"
"Melfi","SO2","µg/m≥","05/01/2022","04","3.11","1"
"Melfi","SO2","µg/m≥","05/01/2022","05","3.03","1"
"Melfi","SO2","µg/m≥","05/01/2022","06","3.18","1"
"Melfi","SO2","µg/m≥","05/01/2022","07","3.06","1"
"Melfi","SO2","µg/m≥","05/01/2022","08","3.13","1"
"Melfi","SO2","µg/m≥","05/01/2022","09","3.25","1"
"Melfi","SO2","µg/m≥","05/01/2022","10","3.36","1"
"Melfi","SO2","µg/m≥","05/01/2022","11","3.32","1"
"Melfi","SO2","µg/m≥","05/01/2022","12","3.58","1"
"Melfi","SO2","µg/m≥","05/01/2022","13","3.71","1"
"Melfi","SO2","µg/m≥","05/01/2022","14","3.94","1"
"Melfi","SO2","µg/m≥","05/01/2022","15","4.10","1"
"Melfi","SO2","µg/m≥","05/01/2022","16","4.12","1"
"Melfi","SO2","µg/m≥","05/01/2022","17","3.76","1"
"Melfi","SO2","µg/m≥","05/01/2022","18","4.04","1"
"Melfi","SO2","µg/m≥","05/01/2022","19","4.16","1"
"Melfi","SO2","µg/m≥","05/01/2022","20","3.82","1"
"Melfi","SO2","µg/m≥","05/01/2022","21","3.80","1"
"Melfi","SO2","µg/m≥","05/01/2022","22","3.65","1"
"Melfi","SO2","µg/m≥","05/01/2022","23","3.63","1"
"Melfi","SO2","µg/m≥","05/01/2022","24","3.98","1"
"Melfi","SO2","µg/m≥","06/01/2022","01","3.56","1"
"Melfi","SO2","µg/m≥","06/01/2022","02","3.40","1"
"Melfi","SO2","µg/m≥","06/01/2022","03","3.42","1"
"Melfi","SO2","µg/m≥","06/01/2022","04","3.28","1"
"Melfi","SO2","µg/m≥","06/01/2022","05","3.29","1"
"Melfi","SO2","µg/m≥","06/01/2022","06","3.10","1"
"Melfi","SO2","µg/m≥","06/01/2022","07","3.23","1"
"Melfi","SO2","µg/m≥","06/01/2022","08","3.11","1"
"Melfi","SO2","µg/m≥","06/01/2022","09","3.00","1"
"Melfi","SO2","µg/m≥","06/01/2022","10","2.92","1"
"Melfi","SO2","µg/m≥","06/01/2022","11","3.24","1"
"Melfi","SO2","µg/m≥","06/01/2022","12","3.20","1"
"Melfi","SO2","µg/m≥","06/01/2022","13","3.64","1"
"Melfi","SO2","µg/m≥","06/01/2022","14","4.02","1"
"Melfi","SO2","µg/m≥","06/01/2022","15","3.14","1"
"Melfi","SO2","µg/m≥","06/01/2022","16","3.85","1"
"Melfi","SO2","µg/m≥","06/01/2022","17","3.70","1"
"Melfi","SO2","µg/m≥","06/01/2022","18","3.56","1"
"Melfi","SO2","µg/m≥","06/01/2022","19","3.52","1"
"Melfi","SO2","µg/m≥","06/01/2022","20","3.52","1"
"Melfi","SO2","µg/m≥","06/01/2022","21","3.94","1"
"Melfi","SO2","µg/m≥","06/01/2022","22","3.22","1"
"Melfi","SO2","µg/m≥","06/01/2022","23","3.36","1"
"Melfi","SO2","µg/m≥","06/01/2022","24","3.19","1"
"Melfi","SO2","µg/m≥","07/01/2022","01","3.08","1"
"Melfi","SO2","µg/m≥","07/01/2022","02","2.78","1"
"Melfi","SO2","µg/m≥","07/01/2022","03","2.99","1"
"Melfi","SO2","µg/m≥","07/01/2022","04","2.91","1"
"Melfi","SO2","µg/m≥","07/01/2022","05","2.78","1"
"Melfi","SO2","µg/m≥","07/01/2022","06","2.55","1"
"Melfi","SO2","µg/m≥","07/01/2022","07","2.63","1"
"Melfi","SO2","µg/m≥","07/01/2022","08","2.75","1"
"Melfi","SO2","µg/m≥","07/01/2022","09","2.53","1"
"Melfi","SO2","µg/m≥","07/01/2022","10","2.31","1"
"Melfi","SO2","µg/m≥","07/01/2022","11","2.11","1"
"Melfi","SO2","µg/m≥","07/01/2022","12","2.62","1"
"Melfi","SO2","µg/m≥","07/01/2022","13","2.74","1"
"Melfi","SO2","µg/m≥","07/01/2022","14","2.47","1"
"Melfi","SO2","µg/m≥","07/01/2022","15","2.60","1"
"Melfi","SO2","µg/m≥","07/01/2022","16","2.70","1"
"Melfi","SO2","µg/m≥","07/01/2022","17","2.90","1"
"Melfi","SO2","µg/m≥","07/01/2022","18","2.66","1"
"Melfi","SO2","µg/m≥","07/01/2022","19","2.63","1"
"Melfi","SO2","µg/m≥","07/01/2022","20","2.71","1"
"Melfi","SO2","µg/m≥","07/01/2022","21","2.78","1"
"Melfi","SO2","µg/m≥","07/01/2022","22","2.35","1"
"Melfi","SO2","µg/m≥","07/01/2022","23","2.53","1"
"Melfi","SO2","µg/m≥","07/01/2022","24","2.64","1"
"Melfi","SO2","µg/m≥","08/01/2022","01","2.82","1"
"Melfi","SO2","µg/m≥","08/01/2022","02","2.42","1"
"Melfi","SO2","µg/m≥","08/01/2022","03","2.39","1"
"Melfi","SO2","µg/m≥","08/01/2022","04","2.46","1"
"Melfi","SO2","µg/m≥","08/01/2022","05","2.44","1"
"Melfi","SO2","µg/m≥","08/01/2022","06","2.29","1"
"Melfi","SO2","µg/m≥","08/01/2022","07","2.26","1"
"Melfi","SO2","µg/m≥","08/01/2022","08","2.54","1"
"Melfi","SO2","µg/m≥","08/01/2022","09","2.51","1"
"Melfi","SO2","µg/m≥","08/01/2022","10","2.79","1"
"Melfi","SO2","µg/m≥","08/01/2022","11","3.03","1"
"Melfi","SO2","µg/m≥","08/01/2022","12","2.89","1"
"Melfi","SO2","µg/m≥","08/01/2022","13","2.69","1"
"Melfi","SO2","µg/m≥","08/01/2022","14","2.81","1"
"Melfi","SO2","µg/m≥","08/01/2022","15","3.15","1"
"Melfi","SO2","µg/m≥","08/01/2022","16","3.07","1"
"Melfi","SO2","µg/m≥","08/01/2022","17","2.78","1"
"Melfi","SO2","µg/m≥","08/01/2022","18","2.57","1"
"Melfi","SO2","µg/m≥","08/01/2022","19","2.78","1"
"Melfi","SO2","µg/m≥","08/01/2022","20","3.00","1"
"Melfi","SO2","µg/m≥","08/01/2022","21","2.78","1"
"Melfi","SO2","µg/m≥","08/01/2022","22","2.91","1"
"Melfi","SO2","µg/m≥","08/01/2022","23","3.41","1"
"Melfi","SO2","µg/m≥","08/01/2022","24","3.20","1"
"Melfi","SO2","µg/m≥","09/01/2022","01","2.91","1"
"Melfi","SO2","µg/m≥","09/01/2022","02","2.55","1"
