"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Melfi","Velocità_Vento","m/s","01/01/2022","01","4.27","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","02","4.13","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","03","4.28","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","04","4.05","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","05","4.82","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","06","3.68","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","07","2.81","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","08","3.36","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","09","2.99","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","10","3.06","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","11","2.67","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","12","2.25","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","13","2.35","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","14","2.75","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","15","2.64","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","16","2.67","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","17","2.10","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","18","1.90","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","19","2.66","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","20","2.62","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","21","2.12","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","22","2.07","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","23","2.22","1"
"Melfi","Velocità_Vento","m/s","01/01/2022","24","2.13","1"
"Melfi","Velocità_Vento","m/s","02/01/2022","01","1.90","1"
"Melfi","Velocità_Vento","m/s","02/01/2022","02","0.87","1"
"Melfi","Velocità_Vento","m/s","02/01/2022","03","2.33","1"
"Melfi","Velocità_Vento","m/s","02/01/2022","04","1.40","1"
"Melfi","Velocità_Vento","m/s","02/01/2022","05","1.44","1"
"Melfi","Velocità_Vento","m/s","02/01/2022","06","0.98","1"
"Melfi","Velocità_Vento","m/s","02/01/2022","07","2.13","1"
"Melfi","Velocità_Vento","m/s","02/01/2022","08","1.88","1"
"Melfi","Velocità_Vento","m/s","02/01/2022","09","1.22","1"
"Melfi","Velocità_Vento","m/s","02/01/2022","10","0.38","1"
"Melfi","Velocità_Vento","m/s","02/01/2022","11","2.33","1"
