"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Pisticci","Metano","ppm","01/01/2022","01","2.22","1"
"Pisticci","Metano","ppm","01/01/2022","02","2.27","1"
"Pisticci","Metano","ppm","01/01/2022","03","2.22","1"
"Pisticci","Metano","ppm","01/01/2022","04","2.24","1"
"Pisticci","Metano","ppm","01/01/2022","05","2.24","1"
"Pisticci","Metano","ppm","01/01/2022","06","2.44","1"
"Pisticci","Metano","ppm","01/01/2022","07","2.37","1"
"Pisticci","Metano","ppm","01/01/2022","08","2.35","1"
"Pisticci","Metano","ppm","01/01/2022","09","2.40","1"
"Pisticci","Metano","ppm","01/01/2022","10","2.34","1"
"Pisticci","Metano","ppm","01/01/2022","11","2.18","1"
"Pisticci","Metano","ppm","01/01/2022","12","2.14","1"
"Pisticci","Metano","ppm","01/01/2022","13","2.15","1"
"Pisticci","Metano","ppm","01/01/2022","14","2.14","1"
"Pisticci","Metano","ppm","01/01/2022","15","2.13","1"
"Pisticci","Metano","ppm","01/01/2022","16","2.15","1"
"Pisticci","Metano","ppm","01/01/2022","17","2.14","1"
"Pisticci","Metano","ppm","01/01/2022","18","2.14","1"
"Pisticci","Metano","ppm","01/01/2022","19","2.15","1"
"Pisticci","Metano","ppm","01/01/2022","20","2.15","1"
"Pisticci","Metano","ppm","01/01/2022","21","2.14","1"
"Pisticci","Metano","ppm","01/01/2022","22","2.15","1"
"Pisticci","Metano","ppm","01/01/2022","23","2.15","1"
"Pisticci","Metano","ppm","01/01/2022","24","2.24","1"
"Pisticci","Metano","ppm","02/01/2022","01","2.18","1"
"Pisticci","Metano","ppm","02/01/2022","02","2.21","1"
"Pisticci","Metano","ppm","02/01/2022","03","2.30","1"
"Pisticci","Metano","ppm","02/01/2022","04","2.23","1"
"Pisticci","Metano","ppm","02/01/2022","05","2.47","1"
"Pisticci","Metano","ppm","02/01/2022","06","2.30","1"
"Pisticci","Metano","ppm","02/01/2022","07","2.42","1"
"Pisticci","Metano","ppm","02/01/2022","08","2.41","1"
"Pisticci","Metano","ppm","02/01/2022","09","2.37","1"
"Pisticci","Metano","ppm","02/01/2022","10","2.21","1"
"Pisticci","Metano","ppm","02/01/2022","11","2.27","1"
"Pisticci","Metano","ppm","02/01/2022","12","2.16","1"
"Pisticci","Metano","ppm","02/01/2022","13","2.17","1"
"Pisticci","Metano","ppm","02/01/2022","14","2.15","1"
"Pisticci","Metano","ppm","02/01/2022","15","2.13","1"
"Pisticci","Metano","ppm","02/01/2022","16","2.14","1"
"Pisticci","Metano","ppm","02/01/2022","17","2.16","1"
"Pisticci","Metano","ppm","02/01/2022","18","2.19","1"
"Pisticci","Metano","ppm","02/01/2022","19","2.20","1"
"Pisticci","Metano","ppm","02/01/2022","20","2.20","1"
"Pisticci","Metano","ppm","02/01/2022","21","2.35","1"
"Pisticci","Metano","ppm","02/01/2022","22","2.50","1"
"Pisticci","Metano","ppm","02/01/2022","23","2.34","1"
"Pisticci","Metano","ppm","02/01/2022","24","2.32","1"
"Pisticci","Metano","ppm","03/01/2022","01","2.31","1"
"Pisticci","Metano","ppm","03/01/2022","02","2.38","1"
"Pisticci","Metano","ppm","03/01/2022","03","2.39","1"
"Pisticci","Metano","ppm","03/01/2022","04","2.30","1"
"Pisticci","Metano","ppm","03/01/2022","05","2.43","1"
"Pisticci","Metano","ppm","03/01/2022","06","2.42","1"
"Pisticci","Metano","ppm","03/01/2022","07","2.42","1"
"Pisticci","Metano","ppm","03/01/2022","08","2.56","1"
"Pisticci","Metano","ppm","03/01/2022","09","2.40","1"
"Pisticci","Metano","ppm","03/01/2022","10","2.30","1"
"Pisticci","Metano","ppm","03/01/2022","11","2.23","1"
"Pisticci","Metano","ppm","03/01/2022","12","2.20","1"
"Pisticci","Metano","ppm","03/01/2022","13","2.17","1"
"Pisticci","Metano","ppm","03/01/2022","14","2.14","1"
"Pisticci","Metano","ppm","03/01/2022","15","2.14","1"
"Pisticci","Metano","ppm","03/01/2022","16","2.17","1"
"Pisticci","Metano","ppm","03/01/2022","17","2.19","1"
"Pisticci","Metano","ppm","03/01/2022","18","2.23","1"
"Pisticci","Metano","ppm","03/01/2022","19","2.24","1"
"Pisticci","Metano","ppm","03/01/2022","20","2.35","1"
"Pisticci","Metano","ppm","03/01/2022","21","2.41","1"
"Pisticci","Metano","ppm","03/01/2022","22","2.42","1"
"Pisticci","Metano","ppm","03/01/2022","23","2.46","1"
"Pisticci","Metano","ppm","03/01/2022","24","2.44","1"
"Pisticci","Metano","ppm","04/01/2022","01","2.63","1"
"Pisticci","Metano","ppm","04/01/2022","02","2.44","1"
"Pisticci","Metano","ppm","04/01/2022","03","2.43","1"
"Pisticci","Metano","ppm","04/01/2022","04","2.39","1"
"Pisticci","Metano","ppm","04/01/2022","05","2.36","1"
"Pisticci","Metano","ppm","04/01/2022","06","2.49","1"
"Pisticci","Metano","ppm","04/01/2022","07","2.51","1"
"Pisticci","Metano","ppm","04/01/2022","08","2.56","1"
"Pisticci","Metano","ppm","04/01/2022","09","2.57","1"
"Pisticci","Metano","ppm","04/01/2022","10","2.46","1"
"Pisticci","Metano","ppm","04/01/2022","11","2.29","1"
"Pisticci","Metano","ppm","04/01/2022","12","2.18","1"
"Pisticci","Metano","ppm","04/01/2022","13","2.15","1"
"Pisticci","Metano","ppm","04/01/2022","14","2.12","1"
