"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Pisticci","NO","ppb","01/01/2022","01","1.06","1"
"Pisticci","NO","ppb","01/01/2022","02","1.27","1"
"Pisticci","NO","ppb","01/01/2022","03","1.03","1"
"Pisticci","NO","ppb","01/01/2022","04","1.12","1"
"Pisticci","NO","ppb","01/01/2022","05","0.90","1"
"Pisticci","NO","ppb","01/01/2022","06","0.97","1"
"Pisticci","NO","ppb","01/01/2022","07","1.21","1"
"Pisticci","NO","ppb","01/01/2022","08","1.36","1"
"Pisticci","NO","ppb","01/01/2022","09","1.60","1"
"Pisticci","NO","ppb","01/01/2022","10","1.55","1"
"Pisticci","NO","ppb","01/01/2022","11","-9999","-1"
"Pisticci","NO","ppb","01/01/2022","12","0.79","1"
"Pisticci","NO","ppb","01/01/2022","13","0.84","1"
"Pisticci","NO","ppb","01/01/2022","14","0.99","1"
"Pisticci","NO","ppb","01/01/2022","15","0.75","1"
"Pisticci","NO","ppb","01/01/2022","16","0.84","1"
"Pisticci","NO","ppb","01/01/2022","17","0.81","1"
"Pisticci","NO","ppb","01/01/2022","18","0.69","1"
"Pisticci","NO","ppb","01/01/2022","19","0.88","1"
"Pisticci","NO","ppb","01/01/2022","20","0.88","1"
"Pisticci","NO","ppb","01/01/2022","21","0.95","1"
"Pisticci","NO","ppb","01/01/2022","22","1.01","1"
"Pisticci","NO","ppb","01/01/2022","23","1.35","1"
"Pisticci","NO","ppb","01/01/2022","24","1.12","1"
"Pisticci","NO","ppb","02/01/2022","01","0.57","1"
"Pisticci","NO","ppb","02/01/2022","02","0.87","1"
"Pisticci","NO","ppb","02/01/2022","03","0.93","1"
"Pisticci","NO","ppb","02/01/2022","04","0.67","1"
"Pisticci","NO","ppb","02/01/2022","05","0.86","1"
"Pisticci","NO","ppb","02/01/2022","06","0.76","1"
"Pisticci","NO","ppb","02/01/2022","07","1.27","1"
"Pisticci","NO","ppb","02/01/2022","08","1.89","1"
"Pisticci","NO","ppb","02/01/2022","09","2.24","1"
"Pisticci","NO","ppb","02/01/2022","10","-9999","-1"
"Pisticci","NO","ppb","02/01/2022","11","1.49","1"
"Pisticci","NO","ppb","02/01/2022","12","1.83","1"
"Pisticci","NO","ppb","02/01/2022","13","1.47","1"
"Pisticci","NO","ppb","02/01/2022","14","1.85","1"
"Pisticci","NO","ppb","02/01/2022","15","1.17","1"
"Pisticci","NO","ppb","02/01/2022","16","0.92","1"
"Pisticci","NO","ppb","02/01/2022","17","1.28","1"
"Pisticci","NO","ppb","02/01/2022","18","6.24","1"
"Pisticci","NO","ppb","02/01/2022","19","9.00","1"
"Pisticci","NO","ppb","02/01/2022","20","12.49","1"
"Pisticci","NO","ppb","02/01/2022","21","8.31","1"
"Pisticci","NO","ppb","02/01/2022","22","3.11","1"
"Pisticci","NO","ppb","02/01/2022","23","2.59","1"
"Pisticci","NO","ppb","02/01/2022","24","2.07","1"
"Pisticci","NO","ppb","03/01/2022","01","2.92","1"
"Pisticci","NO","ppb","03/01/2022","02","1.88","1"
"Pisticci","NO","ppb","03/01/2022","03","2.05","1"
"Pisticci","NO","ppb","03/01/2022","04","1.42","1"
"Pisticci","NO","ppb","03/01/2022","05","1.16","1"
"Pisticci","NO","ppb","03/01/2022","06","4.10","1"
"Pisticci","NO","ppb","03/01/2022","07","17.14","1"
"Pisticci","NO","ppb","03/01/2022","08","26.05","1"
"Pisticci","NO","ppb","03/01/2022","09","-9999","-1"
"Pisticci","NO","ppb","03/01/2022","10","11.60","1"
"Pisticci","NO","ppb","03/01/2022","11","4.49","1"
"Pisticci","NO","ppb","03/01/2022","12","8.35","1"
"Pisticci","NO","ppb","03/01/2022","13","2.36","1"
"Pisticci","NO","ppb","03/01/2022","14","1.91","1"
"Pisticci","NO","ppb","03/01/2022","15","1.66","1"
"Pisticci","NO","ppb","03/01/2022","16","1.76","1"
"Pisticci","NO","ppb","03/01/2022","17","2.64","1"
"Pisticci","NO","ppb","03/01/2022","18","14.32","1"
"Pisticci","NO","ppb","03/01/2022","19","26.89","1"
"Pisticci","NO","ppb","03/01/2022","20","15.40","1"
"Pisticci","NO","ppb","03/01/2022","21","10.00","1"
"Pisticci","NO","ppb","03/01/2022","22","10.83","1"
"Pisticci","NO","ppb","03/01/2022","23","6.32","1"
"Pisticci","NO","ppb","03/01/2022","24","2.27","1"
"Pisticci","NO","ppb","04/01/2022","01","1.45","1"
"Pisticci","NO","ppb","04/01/2022","02","1.19","1"
"Pisticci","NO","ppb","04/01/2022","03","1.21","1"
"Pisticci","NO","ppb","04/01/2022","04","1.33","1"
"Pisticci","NO","ppb","04/01/2022","05","2.07","1"
"Pisticci","NO","ppb","04/01/2022","06","9.66","1"
"Pisticci","NO","ppb","04/01/2022","07","20.79","1"
"Pisticci","NO","ppb","04/01/2022","08","-9999","-1"
"Pisticci","NO","ppb","04/01/2022","09","61.98","1"
"Pisticci","NO","ppb","04/01/2022","10","35.53","1"
"Pisticci","NO","ppb","04/01/2022","11","15.14","1"
"Pisticci","NO","ppb","04/01/2022","12","4.48","1"
"Pisticci","NO","ppb","04/01/2022","13","3.43","1"
"Pisticci","NO","ppb","04/01/2022","14","1.93","1"
"Pisticci","NO","ppb","04/01/2022","15","1.36","1"
"Pisticci","NO","ppb","04/01/2022","16","1.18","1"
"Pisticci","NO","ppb","04/01/2022","17","1.96","1"
"Pisticci","NO","ppb","04/01/2022","18","1.96","1"
"Pisticci","NO","ppb","04/01/2022","19","3.98","1"
"Pisticci","NO","ppb","04/01/2022","20","12.82","1"
"Pisticci","NO","ppb","04/01/2022","21","8.41","1"
"Pisticci","NO","ppb","04/01/2022","22","9.26","1"
"Pisticci","NO","ppb","04/01/2022","23","9.58","1"
"Pisticci","NO","ppb","04/01/2022","24","4.43","1"
"Pisticci","NO","ppb","05/01/2022","01","2.89","1"
"Pisticci","NO","ppb","05/01/2022","02","1.46","1"
"Pisticci","NO","ppb","05/01/2022","03","1.21","1"
"Pisticci","NO","ppb","05/01/2022","04","1.63","1"
"Pisticci","NO","ppb","05/01/2022","05","1.37","1"
"Pisticci","NO","ppb","05/01/2022","06","4.26","1"
"Pisticci","NO","ppb","05/01/2022","07","-9999","-1"
"Pisticci","NO","ppb","05/01/2022","08","46.74","1"
"Pisticci","NO","ppb","05/01/2022","09","25.32","1"
"Pisticci","NO","ppb","05/01/2022","10","8.59","1"
"Pisticci","NO","ppb","05/01/2022","11","11.87","1"
"Pisticci","NO","ppb","05/01/2022","12","8.10","1"
"Pisticci","NO","ppb","05/01/2022","13","2.64","1"
"Pisticci","NO","ppb","05/01/2022","14","1.93","1"
"Pisticci","NO","ppb","05/01/2022","15","1.87","1"
"Pisticci","NO","ppb","05/01/2022","16","1.61","1"
"Pisticci","NO","ppb","05/01/2022","17","3.48","1"
"Pisticci","NO","ppb","05/01/2022","18","10.66","1"
"Pisticci","NO","ppb","05/01/2022","19","19.52","1"
"Pisticci","NO","ppb","05/01/2022","20","5.30","1"
"Pisticci","NO","ppb","05/01/2022","21","2.84","1"
"Pisticci","NO","ppb","05/01/2022","22","2.42","1"
"Pisticci","NO","ppb","05/01/2022","23","1.50","1"
"Pisticci","NO","ppb","05/01/2022","24","1.21","1"
"Pisticci","NO","ppb","06/01/2022","01","1.21","1"
"Pisticci","NO","ppb","06/01/2022","02","1.19","1"
"Pisticci","NO","ppb","06/01/2022","03","1.15","1"
"Pisticci","NO","ppb","06/01/2022","04","1.11","1"
"Pisticci","NO","ppb","06/01/2022","05","1.07","1"
"Pisticci","NO","ppb","06/01/2022","06","-9999","-1"
"Pisticci","NO","ppb","06/01/2022","07","3.08","1"
"Pisticci","NO","ppb","06/01/2022","08","2.23","1"
"Pisticci","NO","ppb","06/01/2022","09","2.77","1"
"Pisticci","NO","ppb","06/01/2022","10","2.05","1"
"Pisticci","NO","ppb","06/01/2022","11","2.28","1"
"Pisticci","NO","ppb","06/01/2022","12","1.61","1"
"Pisticci","NO","ppb","06/01/2022","13","1.63","1"
"Pisticci","NO","ppb","06/01/2022","14","1.60","1"
"Pisticci","NO","ppb","06/01/2022","15","1.44","1"
"Pisticci","NO","ppb","06/01/2022","16","2.45","1"
"Pisticci","NO","ppb","06/01/2022","17","1.72","1"
"Pisticci","NO","ppb","06/01/2022","18","2.16","1"
"Pisticci","NO","ppb","06/01/2022","19","4.15","1"
"Pisticci","NO","ppb","06/01/2022","20","4.85","1"
"Pisticci","NO","ppb","06/01/2022","21","3.16","1"
"Pisticci","NO","ppb","06/01/2022","22","1.35","1"
"Pisticci","NO","ppb","06/01/2022","23","1.18","1"
"Pisticci","NO","ppb","06/01/2022","24","1.25","1"
"Pisticci","NO","ppb","07/01/2022","01","1.12","1"
"Pisticci","NO","ppb","07/01/2022","02","1.16","1"
"Pisticci","NO","ppb","07/01/2022","03","1.29","1"
"Pisticci","NO","ppb","07/01/2022","04","1.32","1"
"Pisticci","NO","ppb","07/01/2022","05","-9999","-1"
"Pisticci","NO","ppb","07/01/2022","06","1.46","1"
"Pisticci","NO","ppb","07/01/2022","07","1.40","1"
"Pisticci","NO","ppb","07/01/2022","08","1.79","1"
