"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Pisticci","O3","µg/m≥","01/01/2022","01","32.55","1"
"Pisticci","O3","µg/m≥","01/01/2022","02","24.79","1"
"Pisticci","O3","µg/m≥","01/01/2022","03","24.35","1"
"Pisticci","O3","µg/m≥","01/01/2022","04","19.21","1"
"Pisticci","O3","µg/m≥","01/01/2022","05","19.82","1"
"Pisticci","O3","µg/m≥","01/01/2022","06","20.98","1"
"Pisticci","O3","µg/m≥","01/01/2022","07","19.09","-1"
"Pisticci","O3","µg/m≥","01/01/2022","08","17.99","1"
"Pisticci","O3","µg/m≥","01/01/2022","09","28.14","1"
"Pisticci","O3","µg/m≥","01/01/2022","10","37.47","1"
"Pisticci","O3","µg/m≥","01/01/2022","11","52.82","1"
"Pisticci","O3","µg/m≥","01/01/2022","12","63.14","1"
"Pisticci","O3","µg/m≥","01/01/2022","13","69.40","1"
"Pisticci","O3","µg/m≥","01/01/2022","14","70.53","1"
"Pisticci","O3","µg/m≥","01/01/2022","15","71.11","1"
"Pisticci","O3","µg/m≥","01/01/2022","16","67.78","1"
"Pisticci","O3","µg/m≥","01/01/2022","17","65.86","1"
"Pisticci","O3","µg/m≥","01/01/2022","18","61.60","1"
"Pisticci","O3","µg/m≥","01/01/2022","19","60.31","1"
"Pisticci","O3","µg/m≥","01/01/2022","20","62.48","1"
"Pisticci","O3","µg/m≥","01/01/2022","21","64.37","1"
"Pisticci","O3","µg/m≥","01/01/2022","22","62.16","1"
"Pisticci","O3","µg/m≥","01/01/2022","23","54.84","1"
"Pisticci","O3","µg/m≥","01/01/2022","24","47.81","1"
"Pisticci","O3","µg/m≥","02/01/2022","01","50.42","1"
"Pisticci","O3","µg/m≥","02/01/2022","02","51.56","1"
"Pisticci","O3","µg/m≥","02/01/2022","03","40.84","1"
"Pisticci","O3","µg/m≥","02/01/2022","04","37.87","1"
"Pisticci","O3","µg/m≥","02/01/2022","05","32.15","1"
"Pisticci","O3","µg/m≥","02/01/2022","06","37.68","-1"
"Pisticci","O3","µg/m≥","02/01/2022","07","29.59","1"
"Pisticci","O3","µg/m≥","02/01/2022","08","23.52","1"
"Pisticci","O3","µg/m≥","02/01/2022","09","30.15","1"
"Pisticci","O3","µg/m≥","02/01/2022","10","38.48","1"
"Pisticci","O3","µg/m≥","02/01/2022","11","44.98","1"
"Pisticci","O3","µg/m≥","02/01/2022","12","54.48","1"
"Pisticci","O3","µg/m≥","02/01/2022","13","55.18","1"
"Pisticci","O3","µg/m≥","02/01/2022","14","61.85","1"
"Pisticci","O3","µg/m≥","02/01/2022","15","65.59","1"
"Pisticci","O3","µg/m≥","02/01/2022","16","64.31","1"
"Pisticci","O3","µg/m≥","02/01/2022","17","41.39","1"
"Pisticci","O3","µg/m≥","02/01/2022","18","8.34","1"
"Pisticci","O3","µg/m≥","02/01/2022","19","5.33","1"
"Pisticci","O3","µg/m≥","02/01/2022","20","2.69","1"
"Pisticci","O3","µg/m≥","02/01/2022","21","6.07","1"
"Pisticci","O3","µg/m≥","02/01/2022","22","13.93","1"
"Pisticci","O3","µg/m≥","02/01/2022","23","13.84","1"
"Pisticci","O3","µg/m≥","02/01/2022","24","10.74","1"
"Pisticci","O3","µg/m≥","03/01/2022","01","8.68","1"
"Pisticci","O3","µg/m≥","03/01/2022","02","12.46","1"
"Pisticci","O3","µg/m≥","03/01/2022","03","7.32","1"
"Pisticci","O3","µg/m≥","03/01/2022","04","9.29","1"
"Pisticci","O3","µg/m≥","03/01/2022","05","11.92","-1"
"Pisticci","O3","µg/m≥","03/01/2022","06","5.01","1"
"Pisticci","O3","µg/m≥","03/01/2022","07","1.14","1"
"Pisticci","O3","µg/m≥","03/01/2022","08","1.92","1"
"Pisticci","O3","µg/m≥","03/01/2022","09","7.94","1"
"Pisticci","O3","µg/m≥","03/01/2022","10","15.32","1"
"Pisticci","O3","µg/m≥","03/01/2022","11","32.73","1"
"Pisticci","O3","µg/m≥","03/01/2022","12","41.50","1"
"Pisticci","O3","µg/m≥","03/01/2022","13","55.27","1"
"Pisticci","O3","µg/m≥","03/01/2022","14","60.57","1"
"Pisticci","O3","µg/m≥","03/01/2022","15","60.68","1"
"Pisticci","O3","µg/m≥","03/01/2022","16","53.43","1"
"Pisticci","O3","µg/m≥","03/01/2022","17","31.84","1"
"Pisticci","O3","µg/m≥","03/01/2022","18","5.74","1"
"Pisticci","O3","µg/m≥","03/01/2022","19","0.78","1"
"Pisticci","O3","µg/m≥","03/01/2022","20","1.04","1"
"Pisticci","O3","µg/m≥","03/01/2022","21","1.83","1"
"Pisticci","O3","µg/m≥","03/01/2022","22","3.25","1"
"Pisticci","O3","µg/m≥","03/01/2022","23","3.71","1"
"Pisticci","O3","µg/m≥","03/01/2022","24","5.61","1"
"Pisticci","O3","µg/m≥","04/01/2022","01","9.96","1"
"Pisticci","O3","µg/m≥","04/01/2022","02","7.01","1"
"Pisticci","O3","µg/m≥","04/01/2022","03","7.62","1"
"Pisticci","O3","µg/m≥","04/01/2022","04","6.98","-1"
"Pisticci","O3","µg/m≥","04/01/2022","05","3.86","1"
"Pisticci","O3","µg/m≥","04/01/2022","06","0.81","1"
"Pisticci","O3","µg/m≥","04/01/2022","07","0.43","1"
"Pisticci","O3","µg/m≥","04/01/2022","08","0.54","1"
"Pisticci","O3","µg/m≥","04/01/2022","09","1.20","1"
"Pisticci","O3","µg/m≥","04/01/2022","10","5.26","1"
"Pisticci","O3","µg/m≥","04/01/2022","11","18.45","1"
"Pisticci","O3","µg/m≥","04/01/2022","12","41.12","1"
"Pisticci","O3","µg/m≥","04/01/2022","13","45.04","1"
"Pisticci","O3","µg/m≥","04/01/2022","14","54.44","1"
"Pisticci","O3","µg/m≥","04/01/2022","15","57.85","1"
"Pisticci","O3","µg/m≥","04/01/2022","16","61.28","1"
"Pisticci","O3","µg/m≥","04/01/2022","17","56.20","1"
"Pisticci","O3","µg/m≥","04/01/2022","18","48.37","1"
"Pisticci","O3","µg/m≥","04/01/2022","19","19.19","1"
"Pisticci","O3","µg/m≥","04/01/2022","20","4.03","1"
"Pisticci","O3","µg/m≥","04/01/2022","21","2.73","1"
"Pisticci","O3","µg/m≥","04/01/2022","22","2.77","1"
"Pisticci","O3","µg/m≥","04/01/2022","23","1.38","1"
"Pisticci","O3","µg/m≥","04/01/2022","24","1.86","1"
"Pisticci","O3","µg/m≥","05/01/2022","01","5.74","1"
"Pisticci","O3","µg/m≥","05/01/2022","02","6.17","1"
"Pisticci","O3","µg/m≥","05/01/2022","03","6.08","-1"
"Pisticci","O3","µg/m≥","05/01/2022","04","5.95","1"
"Pisticci","O3","µg/m≥","05/01/2022","05","7.02","1"
"Pisticci","O3","µg/m≥","05/01/2022","06","3.16","1"
"Pisticci","O3","µg/m≥","05/01/2022","07","0.45","1"
"Pisticci","O3","µg/m≥","05/01/2022","08","0.67","1"
"Pisticci","O3","µg/m≥","05/01/2022","09","5.69","1"
"Pisticci","O3","µg/m≥","05/01/2022","10","12.01","1"
"Pisticci","O3","µg/m≥","05/01/2022","11","17.73","1"
"Pisticci","O3","µg/m≥","05/01/2022","12","37.55","1"
"Pisticci","O3","µg/m≥","05/01/2022","13","53.44","1"
"Pisticci","O3","µg/m≥","05/01/2022","14","58.81","1"
"Pisticci","O3","µg/m≥","05/01/2022","15","63.06","1"
"Pisticci","O3","µg/m≥","05/01/2022","16","65.83","1"
"Pisticci","O3","µg/m≥","05/01/2022","17","55.98","1"
"Pisticci","O3","µg/m≥","05/01/2022","18","12.28","1"
"Pisticci","O3","µg/m≥","05/01/2022","19","2.96","1"
"Pisticci","O3","µg/m≥","05/01/2022","20","15.75","1"
"Pisticci","O3","µg/m≥","05/01/2022","21","24.03","1"
"Pisticci","O3","µg/m≥","05/01/2022","22","21.86","1"
"Pisticci","O3","µg/m≥","05/01/2022","23","64.37","1"
"Pisticci","O3","µg/m≥","05/01/2022","24","75.45","1"
"Pisticci","O3","µg/m≥","06/01/2022","01","76.01","1"
"Pisticci","O3","µg/m≥","06/01/2022","02","72.86","-1"
"Pisticci","O3","µg/m≥","06/01/2022","03","70.19","1"
"Pisticci","O3","µg/m≥","06/01/2022","04","63.72","1"
"Pisticci","O3","µg/m≥","06/01/2022","05","64.75","1"
"Pisticci","O3","µg/m≥","06/01/2022","06","55.67","1"
"Pisticci","O3","µg/m≥","06/01/2022","07","43.14","1"
"Pisticci","O3","µg/m≥","06/01/2022","08","53.41","1"
"Pisticci","O3","µg/m≥","06/01/2022","09","35.84","1"
"Pisticci","O3","µg/m≥","06/01/2022","10","51.02","1"
"Pisticci","O3","µg/m≥","06/01/2022","11","51.54","1"
"Pisticci","O3","µg/m≥","06/01/2022","12","61.45","1"
"Pisticci","O3","µg/m≥","06/01/2022","13","68.62","1"
"Pisticci","O3","µg/m≥","06/01/2022","14","69.56","1"
"Pisticci","O3","µg/m≥","06/01/2022","15","67.65","1"
"Pisticci","O3","µg/m≥","06/01/2022","16","62.94","1"
"Pisticci","O3","µg/m≥","06/01/2022","17","57.33","1"
"Pisticci","O3","µg/m≥","06/01/2022","18","34.89","1"
"Pisticci","O3","µg/m≥","06/01/2022","19","18.35","1"
"Pisticci","O3","µg/m≥","06/01/2022","20","21.06","1"
"Pisticci","O3","µg/m≥","06/01/2022","21","26.83","1"
"Pisticci","O3","µg/m≥","06/01/2022","22","48.84","1"
"Pisticci","O3","µg/m≥","06/01/2022","23","53.69","1"
"Pisticci","O3","µg/m≥","06/01/2022","24","55.02","1"
"Pisticci","O3","µg/m≥","07/01/2022","01","55.13","-1"
"Pisticci","O3","µg/m≥","07/01/2022","02","54.10","1"
"Pisticci","O3","µg/m≥","07/01/2022","03","51.90","1"
"Pisticci","O3","µg/m≥","07/01/2022","04","47.03","1"
"Pisticci","O3","µg/m≥","07/01/2022","05","48.20","1"
"Pisticci","O3","µg/m≥","07/01/2022","06","48.93","1"
"Pisticci","O3","µg/m≥","07/01/2022","07","50.60","1"
