"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Pisticci","Pressione","mBar","01/01/2022","01","1016.17","1"
"Pisticci","Pressione","mBar","01/01/2022","02","1015.89","1"
"Pisticci","Pressione","mBar","01/01/2022","03","1015.73","1"
"Pisticci","Pressione","mBar","01/01/2022","04","1015.16","1"
"Pisticci","Pressione","mBar","01/01/2022","05","1014.88","1"
"Pisticci","Pressione","mBar","01/01/2022","06","1015.15","1"
"Pisticci","Pressione","mBar","01/01/2022","07","1015.47","1"
"Pisticci","Pressione","mBar","01/01/2022","08","1015.66","1"
"Pisticci","Pressione","mBar","01/01/2022","09","1015.98","1"
"Pisticci","Pressione","mBar","01/01/2022","10","1016.18","1"
"Pisticci","Pressione","mBar","01/01/2022","11","1015.99","1"
"Pisticci","Pressione","mBar","01/01/2022","12","1015.53","1"
"Pisticci","Pressione","mBar","01/01/2022","13","1015.12","1"
"Pisticci","Pressione","mBar","01/01/2022","14","1014.77","1"
"Pisticci","Pressione","mBar","01/01/2022","15","1014.70","1"
"Pisticci","Pressione","mBar","01/01/2022","16","1014.86","1"
"Pisticci","Pressione","mBar","01/01/2022","17","1015.17","1"
"Pisticci","Pressione","mBar","01/01/2022","18","1015.62","1"
"Pisticci","Pressione","mBar","01/01/2022","19","1016.31","1"
"Pisticci","Pressione","mBar","01/01/2022","20","1016.86","1"
"Pisticci","Pressione","mBar","01/01/2022","21","1017.27","1"
"Pisticci","Pressione","mBar","01/01/2022","22","1017.54","1"
"Pisticci","Pressione","mBar","01/01/2022","23","1017.81","1"
"Pisticci","Pressione","mBar","01/01/2022","24","1018.18","1"
"Pisticci","Pressione","mBar","02/01/2022","01","1018.25","1"
"Pisticci","Pressione","mBar","02/01/2022","02","1018.32","1"
"Pisticci","Pressione","mBar","02/01/2022","03","1018.54","1"
"Pisticci","Pressione","mBar","02/01/2022","04","1018.46","1"
"Pisticci","Pressione","mBar","02/01/2022","05","1018.33","1"
"Pisticci","Pressione","mBar","02/01/2022","06","1018.22","1"
"Pisticci","Pressione","mBar","02/01/2022","07","1018.22","1"
"Pisticci","Pressione","mBar","02/01/2022","08","1018.33","1"
"Pisticci","Pressione","mBar","02/01/2022","09","1018.52","1"
"Pisticci","Pressione","mBar","02/01/2022","10","1018.65","1"
"Pisticci","Pressione","mBar","02/01/2022","11","1018.46","1"
"Pisticci","Pressione","mBar","02/01/2022","12","1017.69","1"
"Pisticci","Pressione","mBar","02/01/2022","13","1016.60","1"
"Pisticci","Pressione","mBar","02/01/2022","14","1015.78","1"
"Pisticci","Pressione","mBar","02/01/2022","15","1015.46","1"
"Pisticci","Pressione","mBar","02/01/2022","16","1015.50","1"
"Pisticci","Pressione","mBar","02/01/2022","17","1015.74","1"
"Pisticci","Pressione","mBar","02/01/2022","18","1016.02","1"
"Pisticci","Pressione","mBar","02/01/2022","19","1016.32","1"
"Pisticci","Pressione","mBar","02/01/2022","20","1016.43","1"
"Pisticci","Pressione","mBar","02/01/2022","21","1016.62","1"
"Pisticci","Pressione","mBar","02/01/2022","22","1016.54","1"
"Pisticci","Pressione","mBar","02/01/2022","23","1016.27","1"
"Pisticci","Pressione","mBar","02/01/2022","24","1016.11","1"
"Pisticci","Pressione","mBar","03/01/2022","01","1015.97","1"
"Pisticci","Pressione","mBar","03/01/2022","02","1015.95","1"
"Pisticci","Pressione","mBar","03/01/2022","03","1015.94","1"
"Pisticci","Pressione","mBar","03/01/2022","04","1015.64","1"
"Pisticci","Pressione","mBar","03/01/2022","05","1015.46","1"
"Pisticci","Pressione","mBar","03/01/2022","06","1015.01","1"
"Pisticci","Pressione","mBar","03/01/2022","07","1015.04","1"
"Pisticci","Pressione","mBar","03/01/2022","08","1015.30","1"
"Pisticci","Pressione","mBar","03/01/2022","09","1015.41","1"
"Pisticci","Pressione","mBar","03/01/2022","10","1015.41","1"
"Pisticci","Pressione","mBar","03/01/2022","11","1014.73","1"
"Pisticci","Pressione","mBar","03/01/2022","12","1014.12","1"
"Pisticci","Pressione","mBar","03/01/2022","13","1013.37","1"
"Pisticci","Pressione","mBar","03/01/2022","14","1012.33","1"
"Pisticci","Pressione","mBar","03/01/2022","15","1011.98","1"
"Pisticci","Pressione","mBar","03/01/2022","16","1012.30","1"
"Pisticci","Pressione","mBar","03/01/2022","17","1012.41","1"
"Pisticci","Pressione","mBar","03/01/2022","18","1012.87","1"
"Pisticci","Pressione","mBar","03/01/2022","19","1013.06","1"
"Pisticci","Pressione","mBar","03/01/2022","20","1012.65","1"
"Pisticci","Pressione","mBar","03/01/2022","21","1012.80","1"
"Pisticci","Pressione","mBar","03/01/2022","22","1012.63","1"
"Pisticci","Pressione","mBar","03/01/2022","23","1012.67","1"
"Pisticci","Pressione","mBar","03/01/2022","24","1012.59","1"
"Pisticci","Pressione","mBar","04/01/2022","01","1012.07","1"
"Pisticci","Pressione","mBar","04/01/2022","02","1011.73","1"
"Pisticci","Pressione","mBar","04/01/2022","03","1011.59","1"
