"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","01","0.00","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","02","0.00","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","03","0.00","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","04","0.00","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","05","0.00","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","06","0.01","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","07","0.00","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","08","13.34","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","09","189.29","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","10","327.93","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","11","426.46","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","12","353.04","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","13","360.70","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","14","68.54","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","15","61.58","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","16","46.18","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","17","1.91","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","18","0.01","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","19","0.00","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","20","0.01","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","21","0.00","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","22","0.00","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","23","0.00","1"
"Pisticci","Radiazione_Globale","W/m≤","01/01/2022","24","0.00","1"
"Pisticci","Radiazione_Globale","W/m≤","02/01/2022","01","0.00","1"
"Pisticci","Radiazione_Globale","W/m≤","02/01/2022","02","0.00","1"
"Pisticci","Radiazione_Globale","W/m≤","02/01/2022","03","0.00","1"
"Pisticci","Radiazione_Globale","W/m≤","02/01/2022","04","0.00","1"
"Pisticci","Radiazione_Globale","W/m≤","02/01/2022","05","0.00","1"
"Pisticci","Radiazione_Globale","W/m≤","02/01/2022","06","0.00","1"
"Pisticci","Radiazione_Globale","W/m≤","02/01/2022","07","0.00","1"
"Pisticci","Radiazione_Globale","W/m≤","02/01/2022","08","12.61","1"
