"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Pisticci","SO2","µg/m≥","01/01/2022","01","2.79","1"
"Pisticci","SO2","µg/m≥","01/01/2022","02","2.68","1"
"Pisticci","SO2","µg/m≥","01/01/2022","03","2.46","1"
"Pisticci","SO2","µg/m≥","01/01/2022","04","2.60","1"
"Pisticci","SO2","µg/m≥","01/01/2022","05","2.78","1"
"Pisticci","SO2","µg/m≥","01/01/2022","06","2.69","1"
"Pisticci","SO2","µg/m≥","01/01/2022","07","2.66","1"
"Pisticci","SO2","µg/m≥","01/01/2022","08","2.63","1"
"Pisticci","SO2","µg/m≥","01/01/2022","09","2.34","1"
"Pisticci","SO2","µg/m≥","01/01/2022","10","2.25","1"
"Pisticci","SO2","µg/m≥","01/01/2022","11","2.81","1"
"Pisticci","SO2","µg/m≥","01/01/2022","12","2.86","1"
"Pisticci","SO2","µg/m≥","01/01/2022","13","2.99","1"
"Pisticci","SO2","µg/m≥","01/01/2022","14","3.22","1"
"Pisticci","SO2","µg/m≥","01/01/2022","15","3.41","1"
"Pisticci","SO2","µg/m≥","01/01/2022","16","3.21","1"
"Pisticci","SO2","µg/m≥","01/01/2022","17","3.58","1"
"Pisticci","SO2","µg/m≥","01/01/2022","18","3.27","1"
"Pisticci","SO2","µg/m≥","01/01/2022","19","2.95","1"
"Pisticci","SO2","µg/m≥","01/01/2022","20","3.00","1"
"Pisticci","SO2","µg/m≥","01/01/2022","21","2.77","1"
"Pisticci","SO2","µg/m≥","01/01/2022","22","2.94","1"
"Pisticci","SO2","µg/m≥","01/01/2022","23","2.06","1"
"Pisticci","SO2","µg/m≥","01/01/2022","24","2.08","1"
"Pisticci","SO2","µg/m≥","02/01/2022","01","2.11","1"
"Pisticci","SO2","µg/m≥","02/01/2022","02","2.38","1"
"Pisticci","SO2","µg/m≥","02/01/2022","03","2.08","1"
"Pisticci","SO2","µg/m≥","02/01/2022","04","2.23","1"
"Pisticci","SO2","µg/m≥","02/01/2022","05","2.12","1"
"Pisticci","SO2","µg/m≥","02/01/2022","06","2.52","1"
"Pisticci","SO2","µg/m≥","02/01/2022","07","2.33","1"
"Pisticci","SO2","µg/m≥","02/01/2022","08","2.60","1"
"Pisticci","SO2","µg/m≥","02/01/2022","09","2.00","1"
"Pisticci","SO2","µg/m≥","02/01/2022","10","2.21","1"
"Pisticci","SO2","µg/m≥","02/01/2022","11","2.17","1"
"Pisticci","SO2","µg/m≥","02/01/2022","12","2.94","1"
"Pisticci","SO2","µg/m≥","02/01/2022","13","3.20","1"
"Pisticci","SO2","µg/m≥","02/01/2022","14","2.99","1"
"Pisticci","SO2","µg/m≥","02/01/2022","15","3.57","1"
"Pisticci","SO2","µg/m≥","02/01/2022","16","3.56","1"
"Pisticci","SO2","µg/m≥","02/01/2022","17","3.45","1"
"Pisticci","SO2","µg/m≥","02/01/2022","18","3.19","1"
"Pisticci","SO2","µg/m≥","02/01/2022","19","2.87","1"
"Pisticci","SO2","µg/m≥","02/01/2022","20","3.25","1"
"Pisticci","SO2","µg/m≥","02/01/2022","21","2.92","1"
"Pisticci","SO2","µg/m≥","02/01/2022","22","2.51","1"
"Pisticci","SO2","µg/m≥","02/01/2022","23","2.84","1"
"Pisticci","SO2","µg/m≥","02/01/2022","24","2.59","1"
"Pisticci","SO2","µg/m≥","03/01/2022","01","2.69","1"
"Pisticci","SO2","µg/m≥","03/01/2022","02","2.61","1"
"Pisticci","SO2","µg/m≥","03/01/2022","03","2.58","1"
"Pisticci","SO2","µg/m≥","03/01/2022","04","2.76","1"
"Pisticci","SO2","µg/m≥","03/01/2022","05","2.79","1"
"Pisticci","SO2","µg/m≥","03/01/2022","06","3.22","1"
"Pisticci","SO2","µg/m≥","03/01/2022","07","3.83","1"
"Pisticci","SO2","µg/m≥","03/01/2022","08","4.06","1"
"Pisticci","SO2","µg/m≥","03/01/2022","09","3.13","1"
"Pisticci","SO2","µg/m≥","03/01/2022","10","3.10","1"
"Pisticci","SO2","µg/m≥","03/01/2022","11","2.62","1"
"Pisticci","SO2","µg/m≥","03/01/2022","12","3.17","1"
"Pisticci","SO2","µg/m≥","03/01/2022","13","3.35","1"
"Pisticci","SO2","µg/m≥","03/01/2022","14","3.79","1"
"Pisticci","SO2","µg/m≥","03/01/2022","15","3.85","1"
"Pisticci","SO2","µg/m≥","03/01/2022","16","3.83","1"
"Pisticci","SO2","µg/m≥","03/01/2022","17","3.34","1"
"Pisticci","SO2","µg/m≥","03/01/2022","18","3.97","1"
"Pisticci","SO2","µg/m≥","03/01/2022","19","4.60","1"
"Pisticci","SO2","µg/m≥","03/01/2022","20","3.99","1"
"Pisticci","SO2","µg/m≥","03/01/2022","21","3.69","1"
"Pisticci","SO2","µg/m≥","03/01/2022","22","3.62","1"
"Pisticci","SO2","µg/m≥","03/01/2022","23","3.26","1"
"Pisticci","SO2","µg/m≥","03/01/2022","24","3.28","1"
