"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Pisticci","Velocità_Vento","m/s","01/01/2022","01","0.42","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","02","0.30","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","03","0.18","-1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","04","0.25","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","05","0.28","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","06","0.27","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","07","-9999","-1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","08","0.34","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","09","0.43","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","10","0.51","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","11","0.80","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","12","0.94","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","13","1.26","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","14","1.50","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","15","1.35","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","16","1.03","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","17","0.96","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","18","1.00","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","19","0.91","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","20","0.90","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","21","0.85","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","22","0.79","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","23","0.45","1"
"Pisticci","Velocità_Vento","m/s","01/01/2022","24","0.37","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","01","0.67","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","02","0.86","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","03","0.63","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","04","0.64","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","05","0.53","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","06","0.68","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","07","0.60","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","08","0.57","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","09","0.50","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","10","0.56","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","11","0.61","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","12","0.66","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","13","0.55","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","14","0.63","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","15","1.23","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","16","1.09","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","17","0.40","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","18","0.38","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","19","0.29","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","20","0.23","-1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","21","0.30","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","22","0.34","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","23","0.43","1"
"Pisticci","Velocità_Vento","m/s","02/01/2022","24","0.32","1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","01","0.30","1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","02","0.33","1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","03","0.24","-1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","04","0.28","1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","05","0.24","-1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","06","0.27","1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","07","0.28","1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","08","0.38","1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","09","0.39","1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","10","0.36","1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","11","0.70","1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","12","0.74","1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","13","0.73","1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","14","-9999","-1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","15","0.93","1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","16","1.01","1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","17","0.41","1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","18","0.21","-1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","19","0.25","-1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","20","0.23","-1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","21","0.15","-1"
"Pisticci","Velocità_Vento","m/s","03/01/2022","22","0.27","1"
