"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","01","10.52","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","02","0.48","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","03","3.55","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","04","3.51","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","05","4.12","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","06","0.94","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","07","1.96","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","08","11.34","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","09","4.25","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","10","1.06","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","11","2.27","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","12","2.73","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","13","3.22","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","14","2.17","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","15","0.72","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","16","0.09","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","17","0.24","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","18","0.01","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","19","0.15","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","20","0.12","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","21","0.10","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","22","0.06","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","23","0.22","-1"
"Pisticci","o-Xilene","µg/m≥","01/01/2022","24","0.16","-1"
"Pisticci","o-Xilene","µg/m≥","02/01/2022","01","0.11","-1"
"Pisticci","o-Xilene","µg/m≥","02/01/2022","02","0.09","-1"
"Pisticci","o-Xilene","µg/m≥","02/01/2022","03","0.08","-1"
