"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","01","19.42","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","02","16.25","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","03","21.31","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","04","26.54","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","05","30.72","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","06","36.23","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","07","39.67","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","08","34.49","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","09","34.35","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","10","39.97","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","11","45.77","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","12","53.12","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","13","50.44","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","14","50.48","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","15","51.97","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","16","52.88","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","17","50.82","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","18","42.46","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","19","35.45","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","20","28.58","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","21","21.40","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","22","18.58","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","23","20.38","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","01/01/2022","24","23.25","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","02/01/2022","01","25.20","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","02/01/2022","02","27.31","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","02/01/2022","03","26.27","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","02/01/2022","04","28.84","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","02/01/2022","05","25.29","1"
"Potenza-C_da_Rossellino","O3","µg/m≥","02/01/2022","06","27.11","1"
