"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","01","946.36","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","02","945.92","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","03","945.70","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","04","945.16","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","05","945.13","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","06","945.13","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","07","945.26","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","08","945.60","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","09","945.74","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","10","945.02","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","11","944.14","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","12","944.11","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","13","943.74","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","14","943.62","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","15","943.61","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","16","944.07","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","17","944.73","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","18","945.56","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","19","946.30","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","20","946.97","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","21","947.40","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","22","947.99","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","23","948.10","1"
"Potenza-C_da_Rossellino","Pressione","mbar","01/01/2022","24","948.34","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","01","948.41","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","02","948.44","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","03","948.58","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","04","948.39","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","05","948.28","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","06","948.00","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","07","948.13","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","08","948.21","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","09","947.79","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","10","946.64","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","11","945.56","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","12","944.37","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","13","943.35","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","14","943.26","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","15","943.55","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","16","943.87","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","17","944.44","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","18","945.20","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","19","945.31","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","20","945.30","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","21","945.39","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","22","945.11","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","23","944.81","1"
"Potenza-C_da_Rossellino","Pressione","mbar","02/01/2022","24","944.61","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","01","944.08","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","02","943.91","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","03","943.59","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","04","942.86","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","05","942.24","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","06","941.97","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","07","941.97","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","08","941.94","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","09","941.87","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","10","941.61","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","11","941.35","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","12","940.94","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","13","940.19","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","14","939.25","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","15","939.44","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","16","939.72","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","17","940.00","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","18","940.32","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","19","940.22","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","20","940.06","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","21","940.32","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","22","939.67","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","23","939.75","1"
"Potenza-C_da_Rossellino","Pressione","mbar","03/01/2022","24","939.28","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","01","938.89","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","02","938.65","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","03","938.57","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","04","938.07","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","05","938.04","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","06","937.74","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","07","937.94","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","08","937.86","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","09","937.92","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","10","937.66","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","11","937.10","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","12","936.31","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","13","935.72","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","14","935.11","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","15","934.73","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","16","934.78","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","17","934.96","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","18","935.08","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","19","935.19","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","20","934.96","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","21","934.70","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","22","934.33","1"
"Potenza-C_da_Rossellino","Pressione","mbar","04/01/2022","23","933.91","1"
