"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","01","1.88","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","02","1.81","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","03","1.86","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","04","1.87","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","05","1.87","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","06","1.84","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","07","1.86","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","08","1.87","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","09","1.87","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","10","1.89","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","11","1.85","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","12","1.87","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","13","1.86","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","14","1.87","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","15","1.88","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","16","1.85","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","17","1.83","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","18","1.87","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","19","1.84","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","20","1.90","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","21","1.86","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","22","1.94","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","23","1.90","1"
"Potenza-S_L_Branca","Metano","ppm","01/01/2022","24","1.89","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","01","1.90","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","02","1.96","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","03","1.89","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","04","1.86","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","05","1.86","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","06","1.89","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","07","1.90","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","08","1.89","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","09","1.88","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","10","1.83","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","11","1.84","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","12","1.83","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","13","1.83","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","14","1.82","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","15","1.83","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","16","1.88","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","17","1.87","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","18","1.89","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","19","1.89","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","20","1.89","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","21","1.90","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","22","1.90","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","23","1.89","1"
"Potenza-S_L_Branca","Metano","ppm","02/01/2022","24","1.89","1"
"Potenza-S_L_Branca","Metano","ppm","03/01/2022","01","1.79","1"
"Potenza-S_L_Branca","Metano","ppm","03/01/2022","02","1.82","1"
"Potenza-S_L_Branca","Metano","ppm","03/01/2022","03","1.82","1"
"Potenza-S_L_Branca","Metano","ppm","03/01/2022","04","1.85","1"
"Potenza-S_L_Branca","Metano","ppm","03/01/2022","05","1.85","1"
