"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","01","1.81","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","02","2.07","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","03","1.94","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","04","1.85","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","05","1.87","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","06","1.96","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","07","1.83","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","08","2.10","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","09","2.33","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","10","3.00","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","11","3.00","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","12","2.63","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","13","2.38","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","14","2.42","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","15","2.17","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","16","2.20","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","17","2.16","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","18","2.25","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","19","2.21","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","20","2.25","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","21","1.95","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","22","2.73","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","23","2.10","1"
"Potenza-S_L_Branca","NO","ppb","01/01/2022","24","2.36","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","01","2.30","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","02","1.90","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","03","1.97","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","04","2.02","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","05","1.72","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","06","2.02","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","07","2.08","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","08","2.17","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","09","2.41","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","10","3.13","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","11","3.48","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","12","3.70","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","13","2.88","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","14","2.26","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","15","2.38","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","16","2.33","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","17","2.49","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","18","2.39","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","19","2.37","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","20","2.13","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","21","2.41","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","22","2.25","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","23","1.79","1"
"Potenza-S_L_Branca","NO","ppb","02/01/2022","24","2.14","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","01","2.20","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","02","1.94","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","03","2.21","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","04","2.08","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","05","2.30","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","06","2.19","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","07","2.32","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","08","2.40","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","09","2.68","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","10","2.98","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","11","2.36","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","12","2.46","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","13","2.47","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","14","2.40","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","15","2.59","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","16","2.17","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","17","1.95","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","18","1.80","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","19","1.66","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","20","2.10","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","21","2.12","1"
"Potenza-S_L_Branca","NO","ppb","03/01/2022","22","2.46","1"
