"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","01","4.98","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","02","5.78","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","03","5.30","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","04","3.75","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","05","3.12","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","06","3.11","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","07","3.09","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","08","4.73","-1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","09","4.63","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","10","5.37","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","11","5.70","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","12","4.49","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","13","3.43","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","14","3.19","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","15","2.86","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","16","2.35","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","17","3.53","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","18","3.95","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","19","4.46","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","20","5.45","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","21","5.45","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","22","10.70","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","23","6.65","1"
"Potenza-S_L_Branca","NOx","ppb","01/01/2022","24","5.90","1"
"Potenza-S_L_Branca","NOx","ppb","02/01/2022","01","5.61","1"
"Potenza-S_L_Branca","NOx","ppb","02/01/2022","02","7.60","1"
"Potenza-S_L_Branca","NOx","ppb","02/01/2022","03","4.22","1"
"Potenza-S_L_Branca","NOx","ppb","02/01/2022","04","3.34","1"
"Potenza-S_L_Branca","NOx","ppb","02/01/2022","05","2.35","1"
"Potenza-S_L_Branca","NOx","ppb","02/01/2022","06","2.72","1"
"Potenza-S_L_Branca","NOx","ppb","02/01/2022","07","2.68","1"
"Potenza-S_L_Branca","NOx","ppb","02/01/2022","08","3.62","1"
"Potenza-S_L_Branca","NOx","ppb","02/01/2022","09","4.37","-1"
"Potenza-S_L_Branca","NOx","ppb","02/01/2022","10","5.16","1"
"Potenza-S_L_Branca","NOx","ppb","02/01/2022","11","6.47","1"
"Potenza-S_L_Branca","NOx","ppb","02/01/2022","12","7.83","1"
"Potenza-S_L_Branca","NOx","ppb","02/01/2022","13","5.39","1"
"Potenza-S_L_Branca","NOx","ppb","02/01/2022","14","3.41","1"
"Potenza-S_L_Branca","NOx","ppb","02/01/2022","15","4.14","1"
