"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","01","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","02","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","03","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","04","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","05","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","06","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","07","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","08","6.18","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","09","40.90","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","10","153.84","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","11","262.56","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","12","420.11","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","13","474.63","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","14","418.63","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","15","301.26","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","16","141.12","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","17","9.05","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","18","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","19","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","20","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","21","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","22","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","23","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","01/01/2022","24","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","02/01/2022","01","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","02/01/2022","02","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","02/01/2022","03","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","02/01/2022","04","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","02/01/2022","05","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","02/01/2022","06","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","02/01/2022","07","0.00","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","02/01/2022","08","5.90","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","02/01/2022","09","39.50","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","02/01/2022","10","156.08","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","02/01/2022","11","261.86","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","02/01/2022","12","437.44","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","02/01/2022","13","495.86","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","02/01/2022","14","439.77","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","02/01/2022","15","317.46","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","02/01/2022","16","152.54","1"
"Potenza-S_L_Branca","Radiazione_Globale","W/m≤","02/01/2022","17","10.40","1"
