"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","01","76.66","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","02","75.65","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","03","75.22","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","04","73.59","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","05","73.02","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","06","74.20","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","07","78.07","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","08","81.90","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","09","81.43","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","10","73.32","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","11","63.43","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","12","51.20","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","13","47.08","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","14","42.41","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","15","43.70","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","16","49.07","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","17","57.79","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","18","68.27","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","19","74.28","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","20","79.74","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","21","81.53","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","22","86.66","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","23","83.92","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","01/01/2022","24","86.11","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","01","85.44","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","02","90.40","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","03","91.80","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","04","91.26","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","05","92.33","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","06","90.13","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","07","90.94","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","08","88.62","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","09","82.49","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","10","65.30","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","11","49.24","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","12","40.77","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","13","33.76","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","14","34.20","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","15","50.51","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","16","65.01","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","17","79.70","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","18","92.04","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","19","98.35","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","20","99.46","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","21","97.87","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","22","96.26","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","23","96.02","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","02/01/2022","24","94.74","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","03/01/2022","01","92.84","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","03/01/2022","02","90.80","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","03/01/2022","03","89.29","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","03/01/2022","04","88.20","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","03/01/2022","05","87.88","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","03/01/2022","06","87.99","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","03/01/2022","07","90.37","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","03/01/2022","08","92.43","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","03/01/2022","09","90.51","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","03/01/2022","10","82.13","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","03/01/2022","11","80.00","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","03/01/2022","12","81.51","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","03/01/2022","13","83.27","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","03/01/2022","14","77.47","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","03/01/2022","15","78.29","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","03/01/2022","16","84.71","1"
"Potenza-S_L_Branca","Umidità_Relativa","%","03/01/2022","17","86.90","1"
