"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","01","0.22","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","02","0.34","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","03","0.40","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","04","0.29","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","05","0.30","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","06","0.23","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","07","0.20","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","08","0.26","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","09","0.22","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","10","0.24","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","11","0.22","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","12","0.22","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","13","0.32","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","14","0.36","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","15","0.39","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","16","0.81","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","17","0.52","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","18","0.38","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","19","0.85","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","20","0.47","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","21","0.37","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","22","0.29","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","23","0.28","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","01/01/2022","24","0.40","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","01","0.32","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","02","0.29","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","03","0.39","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","04","0.39","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","05","0.29","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","06","0.44","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","07","2.00","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","08","1.59","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","09","2.71","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","10","4.91","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","11","1.24","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","12","0.12","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","13","0.57","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","14","2.44","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","15","7.07","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","16","0.46","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","17","0.21","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","18","0.23","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","19","0.25","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","20","0.35","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","21","0.13","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","22","0.16","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","23","0.41","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","02/01/2022","24","0.77","1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","01","2.59","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","02","2.25","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","03","2.15","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","04","4.74","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","05","5.09","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","06","4.15","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","07","1.68","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","08","47.28","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","09","0.89","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","10","2.73","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","11","2.48","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","12","3.27","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","13","5.87","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","14","0.26","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","15","2.14","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","16","1.17","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","17","-9999","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","18","-9999","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","19","-9999","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","20","-9999","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","21","-9999","-1"
"Potenza-S_L_Branca","o-Xilene","µg/m≥","03/01/2022","22","-9999","-1"
