"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","01","2.01","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","02","1.68","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","03","1.19","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","04","1.61","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","05","1.54","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","06","1.30","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","07","0.95","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","08","1.27","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","09","1.40","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","10","1.27","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","11","0.90","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","12","0.68","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","13","0.48","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","14","0.78","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","15","0.80","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","16","0.48","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","17","0.59","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","18","1.54","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","19","2.93","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","20","3.05","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","21","1.61","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","22","3.59","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","23","3.72","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","01/01/2022","24","3.64","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","02/01/2022","01","2.54","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","02/01/2022","02","0.66","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","02/01/2022","03","2.48","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","02/01/2022","04","2.01","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","02/01/2022","05","1.55","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","02/01/2022","06","1.42","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","02/01/2022","07","1.42","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","02/01/2022","08","1.76","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","02/01/2022","09","1.89","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","02/01/2022","10","0.52","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","02/01/2022","11","0.45","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","02/01/2022","12","2.76","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","02/01/2022","13","1.49","1"
"Potenza-Viale_Unicef","Toluene","µg/m≥","02/01/2022","14","1.06","1"
