"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","01","1.95","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","02","1.45","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","03","1.10","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","04","1.47","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","05","1.43","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","06","1.10","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","07","0.96","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","08","1.05","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","09","1.10","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","10","1.10","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","11","0.81","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","12","0.59","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","13","0.55","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","14","0.68","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","15","0.70","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","16","0.46","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","17","0.44","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","18","1.06","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","19","0.35","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","20","0.01","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","21","0.02","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","22","0.02","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","23","0.02","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","01/01/2022","24","0.02","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","01","0.73","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","02","2.74","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","03","2.27","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","04","1.76","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","05","1.55","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","06","1.21","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","07","1.10","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","08","1.72","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","09","1.59","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","10","1.93","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","11","0.99","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","12","1.06","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","13","1.54","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","14","1.14","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","15","0.89","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","16","0.70","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","17","0.65","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","18","0.60","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","19","0.59","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","20","0.60","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","21","0.56","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","22","0.56","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","23","0.48","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","02/01/2022","24","0.46","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","01","0.38","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","02","0.31","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","03","0.23","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","04","0.23","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","05","0.23","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","06","0.21","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","07","0.29","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","08","0.56","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","09","0.56","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","10","-9999","-1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","11","-9999","-1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","12","-9999","-1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","13","-9999","-1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","14","1.47","-1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","15","0.77","-1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","16","0.56","-1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","17","0.67","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","18","0.89","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","19","1.09","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","20","1.13","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","21","1.05","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","22","0.72","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","23","0.61","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","03/01/2022","24","0.56","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","04/01/2022","01","0.29","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","04/01/2022","02","0.18","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","04/01/2022","03","0.20","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","04/01/2022","04","0.17","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","04/01/2022","05","0.02","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","04/01/2022","06","0.17","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","04/01/2022","07","0.20","1"
"Potenza-Viale_Unicef","mp-Xilene","µg/m≥","04/01/2022","08","0.45","1"
