"Stazione","ParamNome","ParamUdm","Data","Media","Validità"
"Potenza_viale_Firenze","PM10","µg/m³","01/01/2022","31.69","1"
"Potenza_viale_Firenze","PM10","µg/m³","02/01/2022","19.51","1"
"Potenza_viale_Firenze","PM10","µg/m³","03/01/2022","11.08","1"
"Potenza_viale_Firenze","PM10","µg/m³","04/01/2022","4.69","1"
"Potenza_viale_Firenze","PM10","µg/m³","05/01/2022","9.52","1"
"Potenza_viale_Firenze","PM10","µg/m³","06/01/2022","12.80","1"
"Potenza_viale_Firenze","PM10","µg/m³","07/01/2022","6.85","1"
"Potenza_viale_Firenze","PM10","µg/m³","08/01/2022","8.78","1"
"Potenza_viale_Firenze","PM10","µg/m³","09/01/2022","5.66","1"
"Potenza_viale_Firenze","PM10","µg/m³","10/01/2022","4.54","1"
"Potenza_viale_Firenze","PM10","µg/m³","11/01/2022","13.14","1"
"Potenza_viale_Firenze","PM10","µg/m³","12/01/2022","16.45","1"
"Potenza_viale_Firenze","PM10","µg/m³","13/01/2022","24.12","1"
"Potenza_viale_Firenze","PM10","µg/m³","14/01/2022","24.85","1"
"Potenza_viale_Firenze","PM10","µg/m³","15/01/2022","26.77","1"
"Potenza_viale_Firenze","PM10","µg/m³","16/01/2022","16.34","1"
"Potenza_viale_Firenze","PM10","µg/m³","17/01/2022","22.49","1"
"Potenza_viale_Firenze","PM10","µg/m³","18/01/2022","35.75","1"
"Potenza_viale_Firenze","PM10","µg/m³","19/01/2022","23.78","1"
"Potenza_viale_Firenze","PM10","µg/m³","20/01/2022","10.86","1"
"Potenza_viale_Firenze","PM10","µg/m³","21/01/2022","5.05","1"
"Potenza_viale_Firenze","PM10","µg/m³","22/01/2022","9.94","1"
"Potenza_viale_Firenze","PM10","µg/m³","23/01/2022","6.46","1"
"Potenza_viale_Firenze","PM10","µg/m³","24/01/2022","14.01","1"
"Potenza_viale_Firenze","PM10","µg/m³","25/01/2022","22.13","1"
"Potenza_viale_Firenze","PM10","µg/m³","26/01/2022","23.37","1"
"Potenza_viale_Firenze","PM10","µg/m³","27/01/2022","25.54","1"
"Potenza_viale_Firenze","PM10","µg/m³","28/01/2022","14.84","1"
"Potenza_viale_Firenze","PM10","µg/m³","29/01/2022","9.61","1"
"Potenza_viale_Firenze","PM10","µg/m³","30/01/2022","13.50","1"
"Potenza_viale_Firenze","PM10","µg/m³","31/01/2022","8.44","1"
"Potenza_viale_Firenze","PM10","µg/m³","01/02/2022","5.23","1"
"Potenza_viale_Firenze","PM10","µg/m³","02/02/2022","17.67","1"
"Potenza_viale_Firenze","PM10","µg/m³","03/02/2022","23.12","1"
"Potenza_viale_Firenze","PM10","µg/m³","04/02/2022","24.17","1"
"Potenza_viale_Firenze","PM10","µg/m³","05/02/2022","25.01","1"
"Potenza_viale_Firenze","PM10","µg/m³","06/02/2022","16.76","1"
"Potenza_viale_Firenze","PM10","µg/m³","07/02/2022","8.80","1"
"Potenza_viale_Firenze","PM10","µg/m³","08/02/2022","13.69","1"
"Potenza_viale_Firenze","PM10","µg/m³","09/02/2022","24.19","1"
"Potenza_viale_Firenze","PM10","µg/m³","10/02/2022","28.79","1"
"Potenza_viale_Firenze","PM10","µg/m³","11/02/2022","26.12","1"
"Potenza_viale_Firenze","PM10","µg/m³","12/02/2022","27.70","1"
"Potenza_viale_Firenze","PM10","µg/m³","13/02/2022","20.67","1"
"Potenza_viale_Firenze","PM10","µg/m³","14/02/2022","18.35","1"
"Potenza_viale_Firenze","PM10","µg/m³","15/02/2022","9.94","1"
"Potenza_viale_Firenze","PM10","µg/m³","16/02/2022","8.17","1"
"Potenza_viale_Firenze","PM10","µg/m³","17/02/2022","12.00","1"
"Potenza_viale_Firenze","PM10","µg/m³","18/02/2022","15.28","1"
"Potenza_viale_Firenze","PM10","µg/m³","19/02/2022","18.28","1"
"Potenza_viale_Firenze","PM10","µg/m³","20/02/2022","15.70","1"
"Potenza_viale_Firenze","PM10","µg/m³","21/02/2022","7.85","1"
"Potenza_viale_Firenze","PM10","µg/m³","22/02/2022","7.07","1"
"Potenza_viale_Firenze","PM10","µg/m³","23/02/2022","14.48","1"
"Potenza_viale_Firenze","PM10","µg/m³","24/02/2022","22.22","1"
"Potenza_viale_Firenze","PM10","µg/m³","25/02/2022","18.42","1"
"Potenza_viale_Firenze","PM10","µg/m³","26/02/2022","13.63","1"
"Potenza_viale_Firenze","PM10","µg/m³","27/02/2022","9.00","1"
"Potenza_viale_Firenze","PM10","µg/m³","28/02/2022","13.63","1"
"Potenza_viale_Firenze","PM10","µg/m³","01/03/2022","12.76","1"
"Potenza_viale_Firenze","PM10","µg/m³","02/03/2022","19.10","1"
"Potenza_viale_Firenze","PM10","µg/m³","03/03/2022","23.50","1"
"Potenza_viale_Firenze","PM10","µg/m³","04/03/2022","22.69","1"
"Potenza_viale_Firenze","PM10","µg/m³","05/03/2022","6.21","1"
"Potenza_viale_Firenze","PM10","µg/m³","06/03/2022","21.41","1"
"Potenza_viale_Firenze","PM10","µg/m³","07/03/2022","15.33","1"
"Potenza_viale_Firenze","PM10","µg/m³","08/03/2022","16.48","1"
"Potenza_viale_Firenze","PM10","µg/m³","09/03/2022","18.67","1"
"Potenza_viale_Firenze","PM10","µg/m³","10/03/2022","19.88","1"
"Potenza_viale_Firenze","PM10","µg/m³","11/03/2022","25.33","1"
"Potenza_viale_Firenze","PM10","µg/m³","12/03/2022","22.14","1"
"Potenza_viale_Firenze","PM10","µg/m³","13/03/2022","20.80","1"
"Potenza_viale_Firenze","PM10","µg/m³","14/03/2022","29.37","1"
"Potenza_viale_Firenze","PM10","µg/m³","15/03/2022","27.45","1"
"Potenza_viale_Firenze","PM10","µg/m³","16/03/2022","19.45","1"
"Potenza_viale_Firenze","PM10","µg/m³","17/03/2022","24.70","1"
"Potenza_viale_Firenze","PM10","µg/m³","18/03/2022","23.23","1"
"Potenza_viale_Firenze","PM10","µg/m³","19/03/2022","17.88","1"
"Potenza_viale_Firenze","PM10","µg/m³","20/03/2022","20.49","1"
"Potenza_viale_Firenze","PM10","µg/m³","21/03/2022","23.96","1"
