"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"S_N_di_Melfi","NOx","ppb","01/01/2022","01","6.69","-1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","02","6.91","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","03","6.42","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","04","5.55","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","05","6.00","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","06","5.46","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","07","4.65","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","08","4.79","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","09","5.44","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","10","6.84","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","11","6.76","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","12","6.29","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","13","5.70","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","14","4.29","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","15","3.90","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","16","4.61","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","17","5.99","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","18","5.57","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","19","5.11","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","20","5.08","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","21","5.58","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","22","5.72","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","23","5.98","1"
"S_N_di_Melfi","NOx","ppb","01/01/2022","24","6.85","-1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","01","7.01","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","02","5.68","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","03","7.17","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","04","6.06","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","05","5.51","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","06","5.15","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","07","7.96","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","08","9.94","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","09","7.15","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","10","7.21","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","11","7.89","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","12","8.91","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","13","9.00","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","14","6.44","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","15","5.84","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","16","5.07","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","17","6.38","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","18","6.43","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","19","8.34","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","20","6.96","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","21","6.07","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","22","5.87","1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","23","5.92","-1"
"S_N_di_Melfi","NOx","ppb","02/01/2022","24","6.53","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","01","5.74","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","02","5.16","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","03","5.03","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","04","5.54","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","05","5.86","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","06","6.81","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","07","6.68","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","08","22.07","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","09","16.92","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","10","14.19","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","11","11.64","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","12","9.82","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","13","9.28","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","14","7.98","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","15","8.64","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","16","9.29","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","17","12.28","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","18","25.01","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","19","38.11","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","20","22.22","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","21","12.81","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","22","11.89","-1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","23","11.12","1"
"S_N_di_Melfi","NOx","ppb","03/01/2022","24","9.64","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","01","6.87","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","02","6.26","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","03","5.68","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","04","5.60","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","05","5.79","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","06","7.95","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","07","6.63","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","08","11.21","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","09","8.41","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","10","8.56","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","11","8.68","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","12","6.07","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","13","5.53","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","14","6.19","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","15","8.53","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","16","9.31","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","17","6.98","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","18","5.68","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","19","4.81","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","20","3.43","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","21","2.95","-1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","22","5.23","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","23","6.93","1"
"S_N_di_Melfi","NOx","ppb","04/01/2022","24","3.57","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","01","3.04","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","02","2.84","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","03","2.76","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","04","2.03","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","05","2.13","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","06","4.55","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","07","4.99","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","08","7.07","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","09","7.25","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","10","8.82","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","11","10.06","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","12","5.19","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","13","6.88","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","14","5.05","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","15","5.70","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","16","4.30","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","17","4.47","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","18","5.70","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","19","2.54","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","20","4.37","-1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","21","3.52","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","22","3.18","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","23","2.80","1"
"S_N_di_Melfi","NOx","ppb","05/01/2022","24","1.40","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","01","1.48","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","02","1.76","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","03","1.45","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","04","2.39","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","05","1.70","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","06","1.89","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","07","3.98","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","08","3.54","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","09","4.12","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","10","3.91","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","11","3.12","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","12","4.16","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","13","2.83","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","14","2.64","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","15","2.40","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","16","2.96","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","17","4.00","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","18","3.93","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","19","4.34","-1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","20","3.69","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","21","3.70","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","22","4.90","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","23","4.61","1"
"S_N_di_Melfi","NOx","ppb","06/01/2022","24","3.44","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","01","2.76","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","02","2.63","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","03","1.83","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","04","2.51","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","05","2.26","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","06","3.45","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","07","6.00","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","08","6.71","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","09","10.64","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","10","8.34","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","11","5.99","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","12","5.07","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","13","4.83","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","14","5.45","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","15","7.17","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","16","5.79","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","17","4.71","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","18","5.41","-1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","19","4.35","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","20","3.69","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","21","4.91","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","22","11.77","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","23","6.02","1"
"S_N_di_Melfi","NOx","ppb","07/01/2022","24","3.38","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","01","3.18","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","02","3.85","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","03","3.41","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","04","3.18","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","05","3.58","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","06","4.32","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","07","5.40","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","08","3.97","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","09","5.29","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","10","5.35","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","11","4.53","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","12","3.68","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","13","3.98","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","14","4.51","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","15","5.21","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","16","4.52","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","17","4.12","-1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","18","4.22","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","19","4.65","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","20","8.96","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","21","4.02","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","22","5.28","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","23","4.53","1"
"S_N_di_Melfi","NOx","ppb","08/01/2022","24","3.56","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","01","4.20","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","02","4.40","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","03","3.79","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","04","4.95","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","05","3.89","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","06","3.54","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","07","4.33","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","08","4.14","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","09","6.50","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","10","3.85","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","11","3.18","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","12","3.55","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","13","3.95","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","14","3.08","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","15","4.04","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","16","2.67","-1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","17","3.13","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","18","4.97","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","19","4.44","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","20","3.19","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","21","3.32","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","22","5.71","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","23","6.49","1"
"S_N_di_Melfi","NOx","ppb","09/01/2022","24","4.77","1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","01","5.07","1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","02","5.38","1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","03","9.15","1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","04","7.08","1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","05","4.73","1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","06","8.21","1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","07","7.76","1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","08","5.46","1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","09","7.15","1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","10","5.66","1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","11","6.53","1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","12","6.49","1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","13","6.54","1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","14","10.88","1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","15","-9999","-1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","16","-9999","-1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","17","-9999","-1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","18","-9999","-1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","19","-9999","-1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","20","-9999","-1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","21","-9999","-1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","22","-9999","-1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","23","-9999","-1"
"S_N_di_Melfi","NOx","ppb","10/01/2022","24","-9999","-1"
"S_N_di_Melfi","NOx","ppb","11/01/2022","01","-9999","-1"
"S_N_di_Melfi","NOx","ppb","11/01/2022","02","-9999","-1"
"S_N_di_Melfi","NOx","ppb","11/01/2022","03","-9999","-1"
"S_N_di_Melfi","NOx","ppb","11/01/2022","04","-9999","-1"
"S_N_di_Melfi","NOx","ppb","11/01/2022","05","-9999","-1"
"S_N_di_Melfi","NOx","ppb","11/01/2022","06","-9999","-1"
"S_N_di_Melfi","NOx","ppb","11/01/2022","07","-9999","-1"
"S_N_di_Melfi","NOx","ppb","11/01/2022","08","-9999","-1"
"S_N_di_Melfi","NOx","ppb","11/01/2022","09","-9999","-1"
"S_N_di_Melfi","NOx","ppb","11/01/2022","10","-9999","-1"
"S_N_di_Melfi","NOx","ppb","11/01/2022","11","13.22","1"
"S_N_di_Melfi","NOx","ppb","11/01/2022","12","6.51","1"
"S_N_di_Melfi","NOx","ppb","11/01/2022","13","10.22","1"
"S_N_di_Melfi","NOx","ppb","11/01/2022","14","9.80","-1"
"S_N_di_Melfi","NOx","ppb","11/01/2022","15","5.76","1"
"S_N_di_Melfi","NOx","ppb","11/01/2022","16","4.06","1"
"S_N_di_Melfi","NOx","ppb","11/01/2022","17","5.17","1"
