"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","01","0.99","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","02","1.01","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","03","1.06","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","04","1.05","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","05","0.93","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","06","0.93","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","07","0.94","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","08","26.21","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","09","152.33","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","10","263.59","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","11","337.91","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","12","366.08","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","13","331.42","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","14","284.06","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","15","183.03","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","16","63.53","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","17","8.95","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","18","0.91","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","19","0.90","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","20","0.91","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","21","0.93","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","22","0.91","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","23","1.00","1"
"S_N_di_Melfi","Radiazione_Globale","W/m≤","01/01/2022","24","1.05","1"
