"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","01","2.10","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","02","-9999","-1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","03","2.16","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","04","2.24","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","05","2.21","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","06","2.31","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","07","2.29","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","08","2.10","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","09","2.12","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","10","2.08","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","11","2.21","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","12","2.34","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","13","2.38","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","14","2.35","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","15","2.30","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","16","2.38","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","17","2.48","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","18","2.53","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","19","2.41","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","20","2.30","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","21","2.25","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","22","2.27","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","23","2.11","1"
"S_N_di_Melfi","SO2","µg/m≥","01/01/2022","24","1.89","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","01","-9999","-1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","02","1.97","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","03","1.94","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","04","1.89","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","05","1.84","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","06","1.75","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","07","1.78","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","08","1.94","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","09","1.81","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","10","2.11","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","11","2.28","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","12","2.38","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","13","2.57","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","14","2.44","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","15","2.57","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","16","2.43","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","17","2.46","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","18","2.54","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","19","2.35","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","20","2.55","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","21","2.61","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","22","2.83","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","23","2.54","1"
"S_N_di_Melfi","SO2","µg/m≥","02/01/2022","24","-9999","-1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","01","2.64","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","02","2.92","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","03","3.06","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","04","2.89","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","05","3.09","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","06","2.97","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","07","3.08","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","08","3.14","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","09","3.00","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","10","3.31","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","11","3.15","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","12","3.42","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","13","3.33","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","14","3.24","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","15","3.42","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","16","3.46","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","17","3.66","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","18","3.66","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","19","4.11","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","20","3.23","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","21","2.94","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","22","2.72","1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","23","-9999","-1"
"S_N_di_Melfi","SO2","µg/m≥","03/01/2022","24","3.11","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","01","2.44","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","02","2.59","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","03","2.65","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","04","2.49","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","05","2.84","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","06","3.13","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","07","2.97","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","08","2.82","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","09","2.65","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","10","3.08","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","11","3.30","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","12","3.04","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","13","3.04","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","14","3.16","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","15","2.45","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","16","3.49","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","17","5.78","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","18","6.15","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","19","5.48","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","20","2.61","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","21","2.55","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","22","-9999","-1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","23","3.36","1"
"S_N_di_Melfi","SO2","µg/m≥","04/01/2022","24","2.67","1"
"S_N_di_Melfi","SO2","µg/m≥","05/01/2022","01","2.45","1"
"S_N_di_Melfi","SO2","µg/m≥","05/01/2022","02","2.69","1"
"S_N_di_Melfi","SO2","µg/m≥","05/01/2022","03","2.64","1"
"S_N_di_Melfi","SO2","µg/m≥","05/01/2022","04","1.57","1"
"S_N_di_Melfi","SO2","µg/m≥","05/01/2022","05","1.86","1"
"S_N_di_Melfi","SO2","µg/m≥","05/01/2022","06","2.25","1"
"S_N_di_Melfi","SO2","µg/m≥","05/01/2022","07","2.33","1"
"S_N_di_Melfi","SO2","µg/m≥","05/01/2022","08","3.42","1"
"S_N_di_Melfi","SO2","µg/m≥","05/01/2022","09","3.67","1"
"S_N_di_Melfi","SO2","µg/m≥","05/01/2022","10","2.82","1"
"S_N_di_Melfi","SO2","µg/m≥","05/01/2022","11","2.35","1"
"S_N_di_Melfi","SO2","µg/m≥","05/01/2022","12","1.86","1"
"S_N_di_Melfi","SO2","µg/m≥","05/01/2022","13","2.55","1"
"S_N_di_Melfi","SO2","µg/m≥","05/01/2022","14","3.06","1"
