"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","01","0.71","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","02","1.74","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","03","1.69","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","04","3.10","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","05","3.07","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","06","2.43","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","07","0.39","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","08","1.29","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","09","0.18","-1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","10","1.04","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","11","1.43","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","12","3.05","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","13","5.34","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","14","5.33","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","15","5.47","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","16","4.49","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","17","3.64","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","18","0.77","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","19","0.88","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","20","0.62","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","21","0.06","-1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","22","1.23","1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","23","0.00","-1"
"S_N_di_Melfi","Velocità_Vento","m/s","01/01/2022","24","0.00","-1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","01","0.00","-1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","02","0.00","-1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","03","0.00","-1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","04","0.00","-1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","05","1.76","1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","06","1.71","1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","07","1.68","1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","08","0.64","1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","09","0.15","-1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","10","1.00","1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","11","1.56","1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","12","0.38","1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","13","1.09","1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","14","2.03","1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","15","3.46","1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","16","4.73","1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","17","1.21","1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","18","2.21","1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","19","0.32","1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","20","2.57","1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","21","3.69","1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","22","4.17","1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","23","1.66","1"
"S_N_di_Melfi","Velocità_Vento","m/s","02/01/2022","24","0.78","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","01","3.42","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","02","2.67","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","03","2.62","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","04","2.08","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","05","2.22","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","06","2.43","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","07","3.40","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","08","1.88","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","09","1.26","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","10","1.11","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","11","1.20","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","12","3.97","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","13","4.77","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","14","6.42","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","15","6.61","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","16","4.66","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","17","3.08","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","18","1.90","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","19","1.54","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","20","0.99","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","21","0.44","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","22","0.30","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","23","0.37","1"
"S_N_di_Melfi","Velocità_Vento","m/s","03/01/2022","24","0.32","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","01","0.15","-1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","02","0.64","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","03","0.59","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","04","0.28","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","05","3.19","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","06","2.46","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","07","2.21","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","08","2.56","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","09","3.96","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","10","3.45","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","11","4.63","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","12","4.47","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","13","4.78","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","14","4.72","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","15","4.26","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","16","4.83","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","17","3.38","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","18","3.54","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","19","5.19","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","20","4.51","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","21","5.30","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","22","0.65","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","23","0.26","1"
"S_N_di_Melfi","Velocità_Vento","m/s","04/01/2022","24","0.59","1"
"S_N_di_Melfi","Velocità_Vento","m/s","05/01/2022","01","0.63","1"
"S_N_di_Melfi","Velocità_Vento","m/s","05/01/2022","02","0.36","1"
"S_N_di_Melfi","Velocità_Vento","m/s","05/01/2022","03","1.99","1"
"S_N_di_Melfi","Velocità_Vento","m/s","05/01/2022","04","0.63","1"
"S_N_di_Melfi","Velocità_Vento","m/s","05/01/2022","05","0.55","1"
"S_N_di_Melfi","Velocità_Vento","m/s","05/01/2022","06","0.74","1"
