"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano","Benzene","µg/m≥","01/01/2022","01","2.68","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","02","2.39","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","03","2.08","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","04","1.86","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","05","1.54","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","06","1.52","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","07","1.66","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","08","0.98","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","09","0.99","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","10","1.53","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","11","1.46","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","12","1.30","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","13","1.32","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","14","0.98","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","15","0.91","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","16","1.03","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","17","0.75","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","18","0.97","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","19","2.03","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","20","1.97","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","21","1.39","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","22","1.49","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","23","1.67","1"
"Viggiano","Benzene","µg/m≥","01/01/2022","24","1.20","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","01","1.31","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","02","1.07","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","03","1.03","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","04","1.17","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","05","1.64","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","06","1.44","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","07","0.98","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","08","1.08","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","09","1.26","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","10","1.31","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","11","1.18","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","12","1.37","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","13","1.28","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","14","1.21","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","15","0.77","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","16","0.74","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","17","1.01","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","18","1.40","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","19","1.55","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","20","1.66","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","21","1.85","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","22","1.59","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","23","1.50","1"
"Viggiano","Benzene","µg/m≥","02/01/2022","24","1.49","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","01","1.34","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","02","1.22","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","03","1.10","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","04","1.07","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","05","1.00","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","06","0.98","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","07","0.91","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","08","0.95","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","09","1.03","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","10","1.12","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","11","1.05","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","12","0.91","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","13","0.81","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","14","0.59","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","15","0.57","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","16","0.55","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","17","0.57","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","18","0.74","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","19","0.50","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","20","0.79","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","21","0.77","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","22","0.49","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","23","0.66","1"
"Viggiano","Benzene","µg/m≥","03/01/2022","24","0.82","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","01","0.99","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","02","0.86","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","03","0.83","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","04","0.82","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","05","0.59","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","06","0.61","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","07","0.75","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","08","0.60","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","09","0.68","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","10","0.79","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","11","0.80","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","12","0.65","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","13","0.97","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","14","0.83","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","15","1.08","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","16","0.89","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","17","0.35","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","18","0.58","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","19","0.82","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","20","0.46","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","21","0.58","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","22","0.62","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","23","0.91","1"
"Viggiano","Benzene","µg/m≥","04/01/2022","24","0.85","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","01","0.72","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","02","0.68","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","03","0.68","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","04","0.49","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","05","0.68","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","06","0.71","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","07","0.73","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","08","0.82","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","09","0.77","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","10","0.87","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","11","0.72","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","12","0.90","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","13","1.09","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","14","0.67","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","15","0.38","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","16","0.47","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","17","0.58","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","18","0.74","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","19","0.64","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","20","0.85","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","21","0.57","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","22","0.41","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","23","0.48","1"
"Viggiano","Benzene","µg/m≥","05/01/2022","24","0.40","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","01","0.31","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","02","0.45","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","03","0.36","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","04","0.30","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","05","0.31","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","06","0.31","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","07","0.29","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","08","0.29","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","09","0.34","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","10","0.71","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","11","0.54","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","12","0.60","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","13","0.56","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","14","0.76","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","15","0.78","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","16","0.78","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","17","0.80","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","18","0.82","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","19","1.21","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","20","1.31","1"
"Viggiano","Benzene","µg/m≥","06/01/2022","21","1.41","1"
