"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano","Direzione_Vento","∞N","01/01/2022","01","0.30","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","02","316.50","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","03","356.99","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","04","339.55","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","05","313.34","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","06","338.20","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","07","117.08","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","08","339.94","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","09","335.61","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","10","134.14","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","11","224.89","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","12","313.53","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","13","313.70","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","14","293.81","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","15","314.95","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","16","336.46","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","17","223.71","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","18","1.70","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","19","42.64","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","20","23.62","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","21","3.13","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","22","46.77","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","23","64.80","1"
"Viggiano","Direzione_Vento","∞N","01/01/2022","24","338.79","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","01","45.71","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","02","22.34","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","03","315.84","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","04","112.25","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","05","357.89","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","06","358.96","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","07","359.22","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","08","112.07","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","09","45.64","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","10","179.12","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","11","223.72","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","12","246.27","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","13","314.49","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","14","312.77","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","15","226.18","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","16","316.87","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","17","313.29","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","18","313.51","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","19","314.23","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","20","315.09","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","21","314.93","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","22","314.43","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","23","315.83","1"
"Viggiano","Direzione_Vento","∞N","02/01/2022","24","315.90","1"
"Viggiano","Direzione_Vento","∞N","03/01/2022","01","316.03","1"
"Viggiano","Direzione_Vento","∞N","03/01/2022","02","316.63","1"
