"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Viggiano","NMHC","ppm","01/01/2022","01","0.03","1"
"Viggiano","NMHC","ppm","01/01/2022","02","0.04","1"
"Viggiano","NMHC","ppm","01/01/2022","03","0.03","1"
"Viggiano","NMHC","ppm","01/01/2022","04","0.04","1"
"Viggiano","NMHC","ppm","01/01/2022","05","0.03","1"
"Viggiano","NMHC","ppm","01/01/2022","06","0.03","1"
"Viggiano","NMHC","ppm","01/01/2022","07","0.03","1"
"Viggiano","NMHC","ppm","01/01/2022","08","0.03","1"
"Viggiano","NMHC","ppm","01/01/2022","09","0.05","1"
"Viggiano","NMHC","ppm","01/01/2022","10","0.03","1"
"Viggiano","NMHC","ppm","01/01/2022","11","0.05","1"
"Viggiano","NMHC","ppm","01/01/2022","12","0.08","1"
"Viggiano","NMHC","ppm","01/01/2022","13","0.08","1"
"Viggiano","NMHC","ppm","01/01/2022","14","0.09","1"
"Viggiano","NMHC","ppm","01/01/2022","15","0.09","1"
"Viggiano","NMHC","ppm","01/01/2022","16","0.05","1"
"Viggiano","NMHC","ppm","01/01/2022","17","0.05","1"
"Viggiano","NMHC","ppm","01/01/2022","18","0.06","1"
"Viggiano","NMHC","ppm","01/01/2022","19","0.05","1"
"Viggiano","NMHC","ppm","01/01/2022","20","-9999","-1"
"Viggiano","NMHC","ppm","01/01/2022","21","0.04","1"
"Viggiano","NMHC","ppm","01/01/2022","22","0.03","1"
"Viggiano","NMHC","ppm","01/01/2022","23","0.03","1"
"Viggiano","NMHC","ppm","01/01/2022","24","0.03","1"
"Viggiano","NMHC","ppm","02/01/2022","01","0.02","1"
"Viggiano","NMHC","ppm","02/01/2022","02","0.02","1"
"Viggiano","NMHC","ppm","02/01/2022","03","0.02","1"
"Viggiano","NMHC","ppm","02/01/2022","04","0.02","1"
"Viggiano","NMHC","ppm","02/01/2022","05","0.02","1"
"Viggiano","NMHC","ppm","02/01/2022","06","0.02","1"
"Viggiano","NMHC","ppm","02/01/2022","07","0.02","1"
"Viggiano","NMHC","ppm","02/01/2022","08","0.02","1"
"Viggiano","NMHC","ppm","02/01/2022","09","0.02","1"
"Viggiano","NMHC","ppm","02/01/2022","10","0.03","1"
"Viggiano","NMHC","ppm","02/01/2022","11","0.08","1"
"Viggiano","NMHC","ppm","02/01/2022","12","0.06","1"
"Viggiano","NMHC","ppm","02/01/2022","13","0.07","1"
"Viggiano","NMHC","ppm","02/01/2022","14","0.06","1"
"Viggiano","NMHC","ppm","02/01/2022","15","0.06","1"
"Viggiano","NMHC","ppm","02/01/2022","16","0.07","1"
"Viggiano","NMHC","ppm","02/01/2022","17","0.07","1"
"Viggiano","NMHC","ppm","02/01/2022","18","0.07","1"
"Viggiano","NMHC","ppm","02/01/2022","19","-9999","-1"
"Viggiano","NMHC","ppm","02/01/2022","20","0.06","1"
"Viggiano","NMHC","ppm","02/01/2022","21","0.05","1"
"Viggiano","NMHC","ppm","02/01/2022","22","0.07","1"
"Viggiano","NMHC","ppm","02/01/2022","23","0.04","1"
"Viggiano","NMHC","ppm","02/01/2022","24","0.03","1"
"Viggiano","NMHC","ppm","03/01/2022","01","0.03","1"
"Viggiano","NMHC","ppm","03/01/2022","02","0.03","1"
"Viggiano","NMHC","ppm","03/01/2022","03","0.04","1"
"Viggiano","NMHC","ppm","03/01/2022","04","0.05","1"
"Viggiano","NMHC","ppm","03/01/2022","05","0.04","1"
"Viggiano","NMHC","ppm","03/01/2022","06","0.04","1"
"Viggiano","NMHC","ppm","03/01/2022","07","0.04","1"
"Viggiano","NMHC","ppm","03/01/2022","08","0.04","1"
"Viggiano","NMHC","ppm","03/01/2022","09","0.08","1"
"Viggiano","NMHC","ppm","03/01/2022","10","0.13","1"
"Viggiano","NMHC","ppm","03/01/2022","11","0.08","1"
"Viggiano","NMHC","ppm","03/01/2022","12","0.09","1"
"Viggiano","NMHC","ppm","03/01/2022","13","0.14","1"
"Viggiano","NMHC","ppm","03/01/2022","14","0.12","1"
"Viggiano","NMHC","ppm","03/01/2022","15","0.14","1"
"Viggiano","NMHC","ppm","03/01/2022","16","0.11","1"
"Viggiano","NMHC","ppm","03/01/2022","17","0.13","1"
"Viggiano","NMHC","ppm","03/01/2022","18","-9999","-1"
"Viggiano","NMHC","ppm","03/01/2022","19","0.05","1"
"Viggiano","NMHC","ppm","03/01/2022","20","0.05","1"
"Viggiano","NMHC","ppm","03/01/2022","21","0.08","1"
"Viggiano","NMHC","ppm","03/01/2022","22","0.05","1"
"Viggiano","NMHC","ppm","03/01/2022","23","0.05","1"
"Viggiano","NMHC","ppm","03/01/2022","24","0.05","1"
"Viggiano","NMHC","ppm","04/01/2022","01","0.04","1"
"Viggiano","NMHC","ppm","04/01/2022","02","0.04","1"
"Viggiano","NMHC","ppm","04/01/2022","03","0.05","1"
"Viggiano","NMHC","ppm","04/01/2022","04","0.06","1"
"Viggiano","NMHC","ppm","04/01/2022","05","0.11","1"
"Viggiano","NMHC","ppm","04/01/2022","06","0.06","1"
"Viggiano","NMHC","ppm","04/01/2022","07","0.13","1"
"Viggiano","NMHC","ppm","04/01/2022","08","0.08","1"
"Viggiano","NMHC","ppm","04/01/2022","09","0.12","1"
"Viggiano","NMHC","ppm","04/01/2022","10","0.15","1"
"Viggiano","NMHC","ppm","04/01/2022","11","0.05","1"
"Viggiano","NMHC","ppm","04/01/2022","12","0.05","1"
"Viggiano","NMHC","ppm","04/01/2022","13","0.08","1"
"Viggiano","NMHC","ppm","04/01/2022","14","0.06","1"
"Viggiano","NMHC","ppm","04/01/2022","15","0.06","1"
"Viggiano","NMHC","ppm","04/01/2022","16","0.05","1"
"Viggiano","NMHC","ppm","04/01/2022","17","-9999","-1"
"Viggiano","NMHC","ppm","04/01/2022","18","0.05","1"
"Viggiano","NMHC","ppm","04/01/2022","19","0.06","1"
"Viggiano","NMHC","ppm","04/01/2022","20","0.09","1"
"Viggiano","NMHC","ppm","04/01/2022","21","0.08","1"
"Viggiano","NMHC","ppm","04/01/2022","22","0.05","1"
"Viggiano","NMHC","ppm","04/01/2022","23","0.05","1"
"Viggiano","NMHC","ppm","04/01/2022","24","0.04","1"
"Viggiano","NMHC","ppm","05/01/2022","01","0.04","1"
"Viggiano","NMHC","ppm","05/01/2022","02","0.05","1"
"Viggiano","NMHC","ppm","05/01/2022","03","0.05","1"
"Viggiano","NMHC","ppm","05/01/2022","04","0.04","1"
"Viggiano","NMHC","ppm","05/01/2022","05","0.04","1"
"Viggiano","NMHC","ppm","05/01/2022","06","0.05","1"
"Viggiano","NMHC","ppm","05/01/2022","07","0.04","1"
"Viggiano","NMHC","ppm","05/01/2022","08","0.03","1"
"Viggiano","NMHC","ppm","05/01/2022","09","0.03","1"
"Viggiano","NMHC","ppm","05/01/2022","10","0.10","1"
"Viggiano","NMHC","ppm","05/01/2022","11","0.08","1"
"Viggiano","NMHC","ppm","05/01/2022","12","0.12","1"
"Viggiano","NMHC","ppm","05/01/2022","13","0.10","1"
"Viggiano","NMHC","ppm","05/01/2022","14","0.14","1"
"Viggiano","NMHC","ppm","05/01/2022","15","0.19","1"
"Viggiano","NMHC","ppm","05/01/2022","16","-9999","-1"
"Viggiano","NMHC","ppm","05/01/2022","17","-9999","-1"
"Viggiano","NMHC","ppm","05/01/2022","18","0.04","1"
"Viggiano","NMHC","ppm","05/01/2022","19","0.07","1"
"Viggiano","NMHC","ppm","05/01/2022","20","0.07","1"
"Viggiano","NMHC","ppm","05/01/2022","21","0.05","1"
"Viggiano","NMHC","ppm","05/01/2022","22","0.07","1"
"Viggiano","NMHC","ppm","05/01/2022","23","0.06","1"
"Viggiano","NMHC","ppm","05/01/2022","24","0.04","1"
"Viggiano","NMHC","ppm","06/01/2022","01","0.08","1"
"Viggiano","NMHC","ppm","06/01/2022","02","0.10","1"
"Viggiano","NMHC","ppm","06/01/2022","03","0.04","1"
"Viggiano","NMHC","ppm","06/01/2022","04","0.05","1"
"Viggiano","NMHC","ppm","06/01/2022","05","0.04","1"
"Viggiano","NMHC","ppm","06/01/2022","06","0.04","1"
"Viggiano","NMHC","ppm","06/01/2022","07","0.06","1"
"Viggiano","NMHC","ppm","06/01/2022","08","0.06","1"
"Viggiano","NMHC","ppm","06/01/2022","09","0.06","1"
"Viggiano","NMHC","ppm","06/01/2022","10","0.05","1"
"Viggiano","NMHC","ppm","06/01/2022","11","0.06","1"
"Viggiano","NMHC","ppm","06/01/2022","12","0.08","1"
"Viggiano","NMHC","ppm","06/01/2022","13","0.06","1"
"Viggiano","NMHC","ppm","06/01/2022","14","0.05","1"
"Viggiano","NMHC","ppm","06/01/2022","15","-9999","-1"
"Viggiano","NMHC","ppm","06/01/2022","16","0.06","1"
"Viggiano","NMHC","ppm","06/01/2022","17","0.05","1"
"Viggiano","NMHC","ppm","06/01/2022","18","0.05","1"
"Viggiano","NMHC","ppm","06/01/2022","19","0.04","1"
"Viggiano","NMHC","ppm","06/01/2022","20","0.04","1"
"Viggiano","NMHC","ppm","06/01/2022","21","0.04","1"
"Viggiano","NMHC","ppm","06/01/2022","22","0.04","1"
"Viggiano","NMHC","ppm","06/01/2022","23","0.04","1"
"Viggiano","NMHC","ppm","06/01/2022","24","0.03","1"
"Viggiano","NMHC","ppm","07/01/2022","01","0.03","1"
"Viggiano","NMHC","ppm","07/01/2022","02","0.03","1"
"Viggiano","NMHC","ppm","07/01/2022","03","0.03","1"
"Viggiano","NMHC","ppm","07/01/2022","04","0.03","1"
"Viggiano","NMHC","ppm","07/01/2022","05","0.02","1"
"Viggiano","NMHC","ppm","07/01/2022","06","0.03","1"
"Viggiano","NMHC","ppm","07/01/2022","07","0.03","1"
"Viggiano","NMHC","ppm","07/01/2022","08","0.02","1"
"Viggiano","NMHC","ppm","07/01/2022","09","0.04","1"
"Viggiano","NMHC","ppm","07/01/2022","10","0.05","1"
"Viggiano","NMHC","ppm","07/01/2022","11","0.04","1"
"Viggiano","NMHC","ppm","07/01/2022","12","0.04","1"
"Viggiano","NMHC","ppm","07/01/2022","13","0.04","1"
"Viggiano","NMHC","ppm","07/01/2022","14","-9999","-1"
"Viggiano","NMHC","ppm","07/01/2022","15","0.03","1"
"Viggiano","NMHC","ppm","07/01/2022","16","0.04","1"
"Viggiano","NMHC","ppm","07/01/2022","17","0.10","1"
"Viggiano","NMHC","ppm","07/01/2022","18","0.03","1"
"Viggiano","NMHC","ppm","07/01/2022","19","0.03","1"
"Viggiano","NMHC","ppm","07/01/2022","20","0.03","1"
"Viggiano","NMHC","ppm","07/01/2022","21","0.03","1"
"Viggiano","NMHC","ppm","07/01/2022","22","0.02","1"
"Viggiano","NMHC","ppm","07/01/2022","23","0.02","1"
"Viggiano","NMHC","ppm","07/01/2022","24","0.02","1"
"Viggiano","NMHC","ppm","08/01/2022","01","0.03","1"
"Viggiano","NMHC","ppm","08/01/2022","02","0.03","1"
"Viggiano","NMHC","ppm","08/01/2022","03","0.03","1"
"Viggiano","NMHC","ppm","08/01/2022","04","0.03","1"
"Viggiano","NMHC","ppm","08/01/2022","05","0.03","1"
"Viggiano","NMHC","ppm","08/01/2022","06","0.03","1"
"Viggiano","NMHC","ppm","08/01/2022","07","0.02","1"
"Viggiano","NMHC","ppm","08/01/2022","08","0.02","1"
"Viggiano","NMHC","ppm","08/01/2022","09","0.02","1"
"Viggiano","NMHC","ppm","08/01/2022","10","0.02","1"
"Viggiano","NMHC","ppm","08/01/2022","11","0.03","1"
"Viggiano","NMHC","ppm","08/01/2022","12","0.02","1"
"Viggiano","NMHC","ppm","08/01/2022","13","-9999","-1"
"Viggiano","NMHC","ppm","08/01/2022","14","0.02","1"
"Viggiano","NMHC","ppm","08/01/2022","15","0.02","1"
"Viggiano","NMHC","ppm","08/01/2022","16","0.02","1"
"Viggiano","NMHC","ppm","08/01/2022","17","0.02","1"
"Viggiano","NMHC","ppm","08/01/2022","18","0.02","1"
"Viggiano","NMHC","ppm","08/01/2022","19","0.02","1"
"Viggiano","NMHC","ppm","08/01/2022","20","0.02","1"
"Viggiano","NMHC","ppm","08/01/2022","21","0.02","1"
"Viggiano","NMHC","ppm","08/01/2022","22","0.02","1"
"Viggiano","NMHC","ppm","08/01/2022","23","0.02","1"
"Viggiano","NMHC","ppm","08/01/2022","24","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","01","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","02","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","03","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","04","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","05","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","06","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","07","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","08","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","09","0.03","1"
"Viggiano","NMHC","ppm","09/01/2022","10","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","11","0.15","-1"
"Viggiano","NMHC","ppm","09/01/2022","12","-9999","-1"
"Viggiano","NMHC","ppm","09/01/2022","13","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","14","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","15","0.03","1"
"Viggiano","NMHC","ppm","09/01/2022","16","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","17","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","18","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","19","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","20","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","21","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","22","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","23","0.02","1"
"Viggiano","NMHC","ppm","09/01/2022","24","0.02","1"
"Viggiano","NMHC","ppm","10/01/2022","01","0.02","1"
"Viggiano","NMHC","ppm","10/01/2022","02","0.02","1"
"Viggiano","NMHC","ppm","10/01/2022","03","0.02","1"
"Viggiano","NMHC","ppm","10/01/2022","04","0.02","1"
"Viggiano","NMHC","ppm","10/01/2022","05","0.02","1"
"Viggiano","NMHC","ppm","10/01/2022","06","0.02","1"
"Viggiano","NMHC","ppm","10/01/2022","07","0.02","1"
"Viggiano","NMHC","ppm","10/01/2022","08","0.02","1"
"Viggiano","NMHC","ppm","10/01/2022","09","0.02","1"
"Viggiano","NMHC","ppm","10/01/2022","10","0.02","1"
"Viggiano","NMHC","ppm","10/01/2022","11","-9999","-1"
"Viggiano","NMHC","ppm","10/01/2022","12","0.02","1"
"Viggiano","NMHC","ppm","10/01/2022","13","-9999","-1"
"Viggiano","NMHC","ppm","10/01/2022","14","-9999","-1"
"Viggiano","NMHC","ppm","10/01/2022","15","0.03","1"
"Viggiano","NMHC","ppm","10/01/2022","16","-9999","-1"
"Viggiano","NMHC","ppm","10/01/2022","17","0.02","1"
"Viggiano","NMHC","ppm","10/01/2022","18","0.02","1"
"Viggiano","NMHC","ppm","10/01/2022","19","0.02","1"
"Viggiano","NMHC","ppm","10/01/2022","20","0.02","1"
"Viggiano","NMHC","ppm","10/01/2022","21","0.02","1"
"Viggiano","NMHC","ppm","10/01/2022","22","-9999","-1"
"Viggiano","NMHC","ppm","10/01/2022","23","-9999","-1"
"Viggiano","NMHC","ppm","10/01/2022","24","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","01","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","02","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","03","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","04","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","05","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","06","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","07","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","08","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","09","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","10","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","11","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","12","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","13","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","14","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","15","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","16","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","17","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","18","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","19","-9999","-1"
"Viggiano","NMHC","ppm","11/01/2022","20","0.16","1"
"Viggiano","NMHC","ppm","11/01/2022","21","0.12","1"
"Viggiano","NMHC","ppm","11/01/2022","22","0.08","1"
"Viggiano","NMHC","ppm","11/01/2022","23","0.08","1"
"Viggiano","NMHC","ppm","11/01/2022","24","0.03","1"
"Viggiano","NMHC","ppm","12/01/2022","01","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","02","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","03","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","04","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","05","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","06","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","07","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","08","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","09","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","10","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","11","-9999","-1"
"Viggiano","NMHC","ppm","12/01/2022","12","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","13","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","14","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","15","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","16","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","17","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","18","0.04","1"
"Viggiano","NMHC","ppm","12/01/2022","19","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","20","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","21","0.02","1"
"Viggiano","NMHC","ppm","12/01/2022","22","0.02","1"
