"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Viggiano","Pressione","mBar","01/01/2022","01","955.89","1"
"Viggiano","Pressione","mBar","01/01/2022","02","955.58","1"
"Viggiano","Pressione","mBar","01/01/2022","03","955.49","1"
"Viggiano","Pressione","mBar","01/01/2022","04","954.85","1"
"Viggiano","Pressione","mBar","01/01/2022","05","954.39","1"
"Viggiano","Pressione","mBar","01/01/2022","06","954.71","1"
"Viggiano","Pressione","mBar","01/01/2022","07","954.85","1"
"Viggiano","Pressione","mBar","01/01/2022","08","954.92","1"
"Viggiano","Pressione","mBar","01/01/2022","09","955.43","1"
"Viggiano","Pressione","mBar","01/01/2022","10","955.58","1"
"Viggiano","Pressione","mBar","01/01/2022","11","955.33","1"
"Viggiano","Pressione","mBar","01/01/2022","12","954.73","1"
"Viggiano","Pressione","mBar","01/01/2022","13","954.26","1"
"Viggiano","Pressione","mBar","01/01/2022","14","954.12","1"
"Viggiano","Pressione","mBar","01/01/2022","15","954.00","1"
"Viggiano","Pressione","mBar","01/01/2022","16","954.15","1"
"Viggiano","Pressione","mBar","01/01/2022","17","954.67","1"
"Viggiano","Pressione","mBar","01/01/2022","18","955.35","1"
"Viggiano","Pressione","mBar","01/01/2022","19","956.02","1"
"Viggiano","Pressione","mBar","01/01/2022","20","956.42","1"
"Viggiano","Pressione","mBar","01/01/2022","21","956.65","1"
"Viggiano","Pressione","mBar","01/01/2022","22","956.99","1"
"Viggiano","Pressione","mBar","01/01/2022","23","957.11","1"
"Viggiano","Pressione","mBar","01/01/2022","24","957.26","1"
"Viggiano","Pressione","mBar","02/01/2022","01","957.33","1"
"Viggiano","Pressione","mBar","02/01/2022","02","957.32","1"
"Viggiano","Pressione","mBar","02/01/2022","03","957.41","1"
"Viggiano","Pressione","mBar","02/01/2022","04","957.27","1"
"Viggiano","Pressione","mBar","02/01/2022","05","957.03","1"
"Viggiano","Pressione","mBar","02/01/2022","06","956.78","1"
"Viggiano","Pressione","mBar","02/01/2022","07","956.84","1"
"Viggiano","Pressione","mBar","02/01/2022","08","956.98","1"
"Viggiano","Pressione","mBar","02/01/2022","09","957.02","1"
"Viggiano","Pressione","mBar","02/01/2022","10","957.01","1"
"Viggiano","Pressione","mBar","02/01/2022","11","956.66","1"
"Viggiano","Pressione","mBar","02/01/2022","12","956.04","1"
"Viggiano","Pressione","mBar","02/01/2022","13","955.18","1"
"Viggiano","Pressione","mBar","02/01/2022","14","954.32","1"
"Viggiano","Pressione","mBar","02/01/2022","15","953.95","1"
"Viggiano","Pressione","mBar","02/01/2022","16","954.00","1"
"Viggiano","Pressione","mBar","02/01/2022","17","954.15","1"
"Viggiano","Pressione","mBar","02/01/2022","18","954.45","1"
"Viggiano","Pressione","mBar","02/01/2022","19","954.81","1"
"Viggiano","Pressione","mBar","02/01/2022","20","955.01","1"
"Viggiano","Pressione","mBar","02/01/2022","21","955.48","1"
"Viggiano","Pressione","mBar","02/01/2022","22","955.49","1"
"Viggiano","Pressione","mBar","02/01/2022","23","955.20","1"
"Viggiano","Pressione","mBar","02/01/2022","24","954.94","1"
"Viggiano","Pressione","mBar","03/01/2022","01","954.85","1"
"Viggiano","Pressione","mBar","03/01/2022","02","954.47","1"
"Viggiano","Pressione","mBar","03/01/2022","03","954.17","1"
"Viggiano","Pressione","mBar","03/01/2022","04","953.76","1"
"Viggiano","Pressione","mBar","03/01/2022","05","953.44","1"
"Viggiano","Pressione","mBar","03/01/2022","06","952.99","1"
"Viggiano","Pressione","mBar","03/01/2022","07","952.96","1"
"Viggiano","Pressione","mBar","03/01/2022","08","952.98","1"
"Viggiano","Pressione","mBar","03/01/2022","09","953.05","1"
"Viggiano","Pressione","mBar","03/01/2022","10","952.99","1"
"Viggiano","Pressione","mBar","03/01/2022","11","952.60","1"
"Viggiano","Pressione","mBar","03/01/2022","12","952.12","1"
