"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano","Temperatura","∞C","01/01/2022","01","4.44","1"
"Viggiano","Temperatura","∞C","01/01/2022","02","3.58","1"
"Viggiano","Temperatura","∞C","01/01/2022","03","3.41","1"
"Viggiano","Temperatura","∞C","01/01/2022","04","3.24","1"
"Viggiano","Temperatura","∞C","01/01/2022","05","2.98","1"
"Viggiano","Temperatura","∞C","01/01/2022","06","2.04","1"
"Viggiano","Temperatura","∞C","01/01/2022","07","2.31","1"
"Viggiano","Temperatura","∞C","01/01/2022","08","2.94","1"
"Viggiano","Temperatura","∞C","01/01/2022","09","7.16","1"
"Viggiano","Temperatura","∞C","01/01/2022","10","10.27","1"
"Viggiano","Temperatura","∞C","01/01/2022","11","14.97","1"
"Viggiano","Temperatura","∞C","01/01/2022","12","18.77","1"
"Viggiano","Temperatura","∞C","01/01/2022","13","19.61","1"
"Viggiano","Temperatura","∞C","01/01/2022","14","19.51","1"
"Viggiano","Temperatura","∞C","01/01/2022","15","20.15","1"
"Viggiano","Temperatura","∞C","01/01/2022","16","19.37","1"
"Viggiano","Temperatura","∞C","01/01/2022","17","16.50","1"
"Viggiano","Temperatura","∞C","01/01/2022","18","12.56","1"
"Viggiano","Temperatura","∞C","01/01/2022","19","9.68","1"
"Viggiano","Temperatura","∞C","01/01/2022","20","8.91","1"
"Viggiano","Temperatura","∞C","01/01/2022","21","8.00","1"
"Viggiano","Temperatura","∞C","01/01/2022","22","6.34","1"
"Viggiano","Temperatura","∞C","01/01/2022","23","5.40","1"
"Viggiano","Temperatura","∞C","01/01/2022","24","4.17","1"
"Viggiano","Temperatura","∞C","02/01/2022","01","3.23","1"
"Viggiano","Temperatura","∞C","02/01/2022","02","2.40","1"
"Viggiano","Temperatura","∞C","02/01/2022","03","1.96","1"
"Viggiano","Temperatura","∞C","02/01/2022","04","1.69","1"
"Viggiano","Temperatura","∞C","02/01/2022","05","1.37","1"
"Viggiano","Temperatura","∞C","02/01/2022","06","0.60","1"
"Viggiano","Temperatura","∞C","02/01/2022","07","0.20","1"
"Viggiano","Temperatura","∞C","02/01/2022","08","0.52","1"
"Viggiano","Temperatura","∞C","02/01/2022","09","4.40","1"
"Viggiano","Temperatura","∞C","02/01/2022","10","9.17","1"
"Viggiano","Temperatura","∞C","02/01/2022","11","12.83","1"
"Viggiano","Temperatura","∞C","02/01/2022","12","15.81","1"
"Viggiano","Temperatura","∞C","02/01/2022","13","19.30","1"
"Viggiano","Temperatura","∞C","02/01/2022","14","20.47","1"
"Viggiano","Temperatura","∞C","02/01/2022","15","21.24","1"
"Viggiano","Temperatura","∞C","02/01/2022","16","19.47","1"
"Viggiano","Temperatura","∞C","02/01/2022","17","16.09","1"
"Viggiano","Temperatura","∞C","02/01/2022","18","13.09","1"
"Viggiano","Temperatura","∞C","02/01/2022","19","11.03","1"
"Viggiano","Temperatura","∞C","02/01/2022","20","8.45","1"
"Viggiano","Temperatura","∞C","02/01/2022","21","8.14","1"
"Viggiano","Temperatura","∞C","02/01/2022","22","7.44","1"
"Viggiano","Temperatura","∞C","02/01/2022","23","6.73","1"
"Viggiano","Temperatura","∞C","02/01/2022","24","6.68","1"
"Viggiano","Temperatura","∞C","03/01/2022","01","6.62","1"
"Viggiano","Temperatura","∞C","03/01/2022","02","6.40","1"
"Viggiano","Temperatura","∞C","03/01/2022","03","6.07","1"
"Viggiano","Temperatura","∞C","03/01/2022","04","6.05","1"
"Viggiano","Temperatura","∞C","03/01/2022","05","6.48","1"
"Viggiano","Temperatura","∞C","03/01/2022","06","6.42","1"
"Viggiano","Temperatura","∞C","03/01/2022","07","6.45","1"
"Viggiano","Temperatura","∞C","03/01/2022","08","7.34","1"
"Viggiano","Temperatura","∞C","03/01/2022","09","8.33","1"
"Viggiano","Temperatura","∞C","03/01/2022","10","9.91","1"
"Viggiano","Temperatura","∞C","03/01/2022","11","11.22","1"
"Viggiano","Temperatura","∞C","03/01/2022","12","11.92","1"
"Viggiano","Temperatura","∞C","03/01/2022","13","12.19","1"
"Viggiano","Temperatura","∞C","03/01/2022","14","13.41","1"
"Viggiano","Temperatura","∞C","03/01/2022","15","12.59","1"
"Viggiano","Temperatura","∞C","03/01/2022","16","12.15","1"
"Viggiano","Temperatura","∞C","03/01/2022","17","11.96","1"
"Viggiano","Temperatura","∞C","03/01/2022","18","11.21","1"
"Viggiano","Temperatura","∞C","03/01/2022","19","10.76","1"
"Viggiano","Temperatura","∞C","03/01/2022","20","10.51","1"
"Viggiano","Temperatura","∞C","03/01/2022","21","10.90","1"
"Viggiano","Temperatura","∞C","03/01/2022","22","10.48","1"
"Viggiano","Temperatura","∞C","03/01/2022","23","9.33","1"
"Viggiano","Temperatura","∞C","03/01/2022","24","8.36","1"
"Viggiano","Temperatura","∞C","04/01/2022","01","9.68","1"
"Viggiano","Temperatura","∞C","04/01/2022","02","10.11","1"
"Viggiano","Temperatura","∞C","04/01/2022","03","9.78","1"
"Viggiano","Temperatura","∞C","04/01/2022","04","9.47","1"
"Viggiano","Temperatura","∞C","04/01/2022","05","9.05","1"
"Viggiano","Temperatura","∞C","04/01/2022","06","9.11","1"
"Viggiano","Temperatura","∞C","04/01/2022","07","10.29","1"
"Viggiano","Temperatura","∞C","04/01/2022","08","10.83","1"
"Viggiano","Temperatura","∞C","04/01/2022","09","11.05","1"
"Viggiano","Temperatura","∞C","04/01/2022","10","11.78","1"
"Viggiano","Temperatura","∞C","04/01/2022","11","12.30","1"
"Viggiano","Temperatura","∞C","04/01/2022","12","13.36","1"
"Viggiano","Temperatura","∞C","04/01/2022","13","14.35","1"
"Viggiano","Temperatura","∞C","04/01/2022","14","14.21","1"
"Viggiano","Temperatura","∞C","04/01/2022","15","14.07","1"
"Viggiano","Temperatura","∞C","04/01/2022","16","13.16","1"
