"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano","Toluene","µg/m≥","01/01/2022","01","1.20","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","02","1.00","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","03","1.07","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","04","0.81","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","05","0.78","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","06","1.02","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","07","1.46","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","08","0.53","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","09","0.88","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","10","0.82","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","11","0.82","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","12","0.59","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","13","0.55","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","14","0.27","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","15","0.22","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","16","0.29","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","17","0.14","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","18","0.22","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","19","1.26","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","20","0.88","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","21","0.47","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","22","0.61","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","23","0.60","1"
"Viggiano","Toluene","µg/m≥","01/01/2022","24","0.44","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","01","0.49","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","02","0.44","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","03","0.50","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","04","0.63","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","05","0.85","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","06","0.72","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","07","0.48","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","08","0.65","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","09","0.65","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","10","0.60","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","11","0.48","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","12","0.76","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","13","0.60","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","14","0.52","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","15","0.21","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","16","0.16","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","17","0.29","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","18","0.67","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","19","0.66","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","20","0.76","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","21","0.83","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","22","0.57","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","23","0.60","1"
"Viggiano","Toluene","µg/m≥","02/01/2022","24","0.56","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","01","0.50","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","02","0.41","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","03","0.38","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","04","0.41","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","05","0.42","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","06","0.40","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","07","0.34","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","08","0.35","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","09","0.38","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","10","0.56","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","11","0.50","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","12","0.35","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","13","0.55","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","14","0.94","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","15","6.47","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","16","2.96","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","17","0.85","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","18","2.90","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","19","1.69","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","20","0.70","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","21","1.06","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","22","1.64","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","23","0.40","1"
"Viggiano","Toluene","µg/m≥","03/01/2022","24","0.75","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","01","0.87","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","02","0.76","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","03","0.54","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","04","0.66","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","05","0.46","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","06","0.32","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","07","0.31","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","08","0.51","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","09","0.45","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","10","0.55","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","11","2.19","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","12","3.05","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","13","3.34","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","14","1.90","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","15","4.85","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","16","3.50","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","17","0.42","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","18","0.28","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","19","0.36","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","20","0.44","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","21","0.36","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","22","0.29","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","23","0.25","1"
"Viggiano","Toluene","µg/m≥","04/01/2022","24","0.21","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","01","0.19","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","02","0.12","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","03","0.12","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","04","0.18","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","05","0.16","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","06","0.13","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","07","0.43","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","08","0.59","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","09","0.53","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","10","0.53","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","11","1.17","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","12","1.03","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","13","0.82","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","14","0.36","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","15","0.12","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","16","0.26","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","17","0.30","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","18","0.40","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","19","0.15","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","20","0.31","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","21","0.34","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","22","0.20","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","23","0.29","1"
"Viggiano","Toluene","µg/m≥","05/01/2022","24","0.23","1"
"Viggiano","Toluene","µg/m≥","06/01/2022","01","0.12","1"
"Viggiano","Toluene","µg/m≥","06/01/2022","02","0.25","1"
"Viggiano","Toluene","µg/m≥","06/01/2022","03","0.18","1"
"Viggiano","Toluene","µg/m≥","06/01/2022","04","0.11","1"
