"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Viggiano","Velocità_Vento","m/s","01/01/2022","01","1.54","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","02","2.42","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","03","1.08","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","04","2.45","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","05","3.52","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","06","2.86","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","07","2.86","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","08","1.89","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","09","2.21","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","10","2.01","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","11","1.52","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","12","1.20","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","13","3.30","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","14","4.35","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","15","3.37","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","16","4.09","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","17","2.30","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","18","1.04","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","19","0.99","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","20","1.41","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","21","0.66","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","22","0.58","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","23","0.92","1"
"Viggiano","Velocità_Vento","m/s","01/01/2022","24","0.51","1"
"Viggiano","Velocità_Vento","m/s","02/01/2022","01","0.66","1"
"Viggiano","Velocità_Vento","m/s","02/01/2022","02","0.65","1"
"Viggiano","Velocità_Vento","m/s","02/01/2022","03","0.93","1"
"Viggiano","Velocità_Vento","m/s","02/01/2022","04","0.95","1"
"Viggiano","Velocità_Vento","m/s","02/01/2022","05","0.56","1"
"Viggiano","Velocità_Vento","m/s","02/01/2022","06","0.67","1"
"Viggiano","Velocità_Vento","m/s","02/01/2022","07","1.33","1"
"Viggiano","Velocità_Vento","m/s","02/01/2022","08","1.10","1"
"Viggiano","Velocità_Vento","m/s","02/01/2022","09","1.68","1"
"Viggiano","Velocità_Vento","m/s","02/01/2022","10","0.61","1"
"Viggiano","Velocità_Vento","m/s","02/01/2022","11","1.18","1"
"Viggiano","Velocità_Vento","m/s","02/01/2022","12","1.62","1"
