"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","01","290.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","02","284.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","03","297.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","04","294.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","05","297.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","06","294.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","07","280.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","08","311.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","09","164.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","10","318.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","11","285.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","12","288.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","13","298.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","14","289.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","15","345.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","16","340.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","17","37.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","18","28.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","19","350.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","20","25.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","21","328.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","22","32.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","23","290.00","1"
"Viggiano1","Direzione_Vento","∞N","01/01/2022","24","313.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","01","-9999","-1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","02","67.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","03","256.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","04","32.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","05","352.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","06","339.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","07","46.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","08","73.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","09","158.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","10","190.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","11","214.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","12","216.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","13","211.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","14","220.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","15","221.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","16","290.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","17","308.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","18","319.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","19","319.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","20","310.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","21","298.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","22","290.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","23","298.00","1"
"Viggiano1","Direzione_Vento","∞N","02/01/2022","24","298.00","1"
"Viggiano1","Direzione_Vento","∞N","03/01/2022","01","298.00","1"
"Viggiano1","Direzione_Vento","∞N","03/01/2022","02","297.00","1"
"Viggiano1","Direzione_Vento","∞N","03/01/2022","03","294.00","1"
"Viggiano1","Direzione_Vento","∞N","03/01/2022","04","285.00","1"
"Viggiano1","Direzione_Vento","∞N","03/01/2022","05","285.00","1"
