"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano1","H2S","µg/m≥","01/01/2022","01","1.32","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","02","1.06","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","03","1.04","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","04","1.16","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","05","1.24","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","06","1.65","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","07","2.26","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","08","2.11","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","09","1.99","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","10","2.08","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","11","2.12","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","12","2.19","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","13","2.14","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","14","2.10","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","15","2.15","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","16","2.23","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","17","2.23","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","18","2.25","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","19","2.18","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","20","2.28","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","21","2.38","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","22","2.47","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","23","2.30","1"
"Viggiano1","H2S","µg/m≥","01/01/2022","24","2.32","1"
"Viggiano1","H2S","µg/m≥","02/01/2022","01","-9999","-1"
"Viggiano1","H2S","µg/m≥","02/01/2022","02","2.35","1"
"Viggiano1","H2S","µg/m≥","02/01/2022","03","2.33","1"
"Viggiano1","H2S","µg/m≥","02/01/2022","04","2.18","1"
"Viggiano1","H2S","µg/m≥","02/01/2022","05","2.25","1"
"Viggiano1","H2S","µg/m≥","02/01/2022","06","1.95","1"
"Viggiano1","H2S","µg/m≥","02/01/2022","07","1.97","1"
"Viggiano1","H2S","µg/m≥","02/01/2022","08","1.91","1"
"Viggiano1","H2S","µg/m≥","02/01/2022","09","2.06","1"
"Viggiano1","H2S","µg/m≥","02/01/2022","10","1.77","1"
"Viggiano1","H2S","µg/m≥","02/01/2022","11","1.77","1"
"Viggiano1","H2S","µg/m≥","02/01/2022","12","2.01","1"
"Viggiano1","H2S","µg/m≥","02/01/2022","13","1.98","1"
"Viggiano1","H2S","µg/m≥","02/01/2022","14","2.06","1"
"Viggiano1","H2S","µg/m≥","02/01/2022","15","2.87","1"
