"Stazione","ParamNome","ParamUdm","Data","Ora","Media","ValiditÃ "
"Viggiano1","Metano","ugC/m³","01/01/2022","01","917.96","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","02","916.17","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","03","914.08","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","04","916.42","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","05","919.68","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","06","919.77","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","07","920.74","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","08","924.02","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","09","914.89","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","10","918.41","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","11","971.34","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","12","967.31","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","13","926.98","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","14","916.72","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","15","912.51","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","16","913.40","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","17","910.47","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","18","919.01","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","19","938.53","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","20","960.20","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","21","953.09","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","22","942.77","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","23","941.74","1"
"Viggiano1","Metano","ugC/m³","01/01/2022","24","942.81","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","01","-9999","-1"
"Viggiano1","Metano","ugC/m³","02/01/2022","02","942.20","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","03","938.81","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","04","938.27","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","05","939.86","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","06","944.76","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","07","939.77","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","08","930.85","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","09","918.66","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","10","930.07","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","11","950.15","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","12","967.11","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","13","942.65","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","14","953.37","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","15","939.90","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","16","950.15","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","17","950.08","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","18","939.58","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","19","940.18","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","20","935.83","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","21","943.82","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","22","951.69","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","23","954.74","1"
"Viggiano1","Metano","ugC/m³","02/01/2022","24","947.11","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","01","942.98","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","02","938.50","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","03","937.44","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","04","936.17","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","05","934.38","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","06","933.19","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","07","929.91","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","08","933.23","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","09","931.92","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","10","935.42","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","11","915.29","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","12","898.40","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","13","895.31","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","14","894.17","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","15","892.58","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","16","896.78","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","17","894.92","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","18","896.41","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","19","906.64","1"
"Viggiano1","Metano","ugC/m³","03/01/2022","20","906.00","-1"
"Viggiano1","Metano","ugC/m³","03/01/2022","21","906.00","-1"
"Viggiano1","Metano","ugC/m³","03/01/2022","22","906.00","-1"
"Viggiano1","Metano","ugC/m³","03/01/2022","23","906.00","-1"
"Viggiano1","Metano","ugC/m³","03/01/2022","24","906.00","-1"
"Viggiano1","Metano","ugC/m³","04/01/2022","01","906.00","1"
"Viggiano1","Metano","ugC/m³","04/01/2022","02","906.00","1"
"Viggiano1","Metano","ugC/m³","04/01/2022","03","906.00","1"
"Viggiano1","Metano","ugC/m³","04/01/2022","04","906.00","1"
"Viggiano1","Metano","ugC/m³","04/01/2022","05","906.00","1"
"Viggiano1","Metano","ugC/m³","04/01/2022","06","906.00","1"
"Viggiano1","Metano","ugC/m³","04/01/2022","07","906.00","1"
"Viggiano1","Metano","ugC/m³","04/01/2022","08","906.00","1"
"Viggiano1","Metano","ugC/m³","04/01/2022","09","-9999","-1"
"Viggiano1","Metano","ugC/m³","04/01/2022","10","-9999","-1"
"Viggiano1","Metano","ugC/m³","04/01/2022","11","875.02","1"
"Viggiano1","Metano","ugC/m³","04/01/2022","12","881.94","1"
"Viggiano1","Metano","ugC/m³","04/01/2022","13","873.45","1"
"Viggiano1","Metano","ugC/m³","04/01/2022","14","874.30","1"
"Viggiano1","Metano","ugC/m³","04/01/2022","15","873.49","1"
"Viggiano1","Metano","ugC/m³","04/01/2022","16","-9999","-1"
