"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano1","NO","µg/m≥","01/01/2022","01","1.97","1"
"Viggiano1","NO","µg/m≥","01/01/2022","02","1.73","1"
"Viggiano1","NO","µg/m≥","01/01/2022","03","1.76","1"
"Viggiano1","NO","µg/m≥","01/01/2022","04","1.73","1"
"Viggiano1","NO","µg/m≥","01/01/2022","05","1.69","1"
"Viggiano1","NO","µg/m≥","01/01/2022","06","1.62","1"
"Viggiano1","NO","µg/m≥","01/01/2022","07","1.00","1"
"Viggiano1","NO","µg/m≥","01/01/2022","08","0.99","1"
"Viggiano1","NO","µg/m≥","01/01/2022","09","1.33","1"
"Viggiano1","NO","µg/m≥","01/01/2022","10","1.30","1"
"Viggiano1","NO","µg/m≥","01/01/2022","11","1.66","1"
"Viggiano1","NO","µg/m≥","01/01/2022","12","1.64","1"
"Viggiano1","NO","µg/m≥","01/01/2022","13","1.43","1"
"Viggiano1","NO","µg/m≥","01/01/2022","14","1.28","1"
"Viggiano1","NO","µg/m≥","01/01/2022","15","1.20","1"
"Viggiano1","NO","µg/m≥","01/01/2022","16","0.90","1"
"Viggiano1","NO","µg/m≥","01/01/2022","17","1.27","1"
"Viggiano1","NO","µg/m≥","01/01/2022","18","1.47","1"
"Viggiano1","NO","µg/m≥","01/01/2022","19","1.39","1"
"Viggiano1","NO","µg/m≥","01/01/2022","20","1.44","1"
"Viggiano1","NO","µg/m≥","01/01/2022","21","1.24","1"
"Viggiano1","NO","µg/m≥","01/01/2022","22","1.26","1"
"Viggiano1","NO","µg/m≥","01/01/2022","23","1.15","1"
"Viggiano1","NO","µg/m≥","01/01/2022","24","1.18","1"
"Viggiano1","NO","µg/m≥","02/01/2022","01","-9999","-1"
"Viggiano1","NO","µg/m≥","02/01/2022","02","1.18","1"
"Viggiano1","NO","µg/m≥","02/01/2022","03","1.25","1"
"Viggiano1","NO","µg/m≥","02/01/2022","04","1.12","1"
"Viggiano1","NO","µg/m≥","02/01/2022","05","1.29","1"
"Viggiano1","NO","µg/m≥","02/01/2022","06","1.36","1"
"Viggiano1","NO","µg/m≥","02/01/2022","07","1.32","1"
