"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano1","O3","µg/m≥","01/01/2022","01","61.10","1"
"Viggiano1","O3","µg/m≥","01/01/2022","02","65.32","1"
"Viggiano1","O3","µg/m≥","01/01/2022","03","65.58","1"
"Viggiano1","O3","µg/m≥","01/01/2022","04","67.38","1"
"Viggiano1","O3","µg/m≥","01/01/2022","05","68.22","1"
"Viggiano1","O3","µg/m≥","01/01/2022","06","66.02","1"
"Viggiano1","O3","µg/m≥","01/01/2022","07","66.00","1"
"Viggiano1","O3","µg/m≥","01/01/2022","08","65.87","1"
"Viggiano1","O3","µg/m≥","01/01/2022","09","63.81","1"
"Viggiano1","O3","µg/m≥","01/01/2022","10","67.56","1"
"Viggiano1","O3","µg/m≥","01/01/2022","11","61.61","1"
"Viggiano1","O3","µg/m≥","01/01/2022","12","65.94","1"
"Viggiano1","O3","µg/m≥","01/01/2022","13","71.64","1"
"Viggiano1","O3","µg/m≥","01/01/2022","14","-9999","-1"
"Viggiano1","O3","µg/m≥","01/01/2022","15","75.76","1"
"Viggiano1","O3","µg/m≥","01/01/2022","16","76.07","1"
"Viggiano1","O3","µg/m≥","01/01/2022","17","74.10","1"
"Viggiano1","O3","µg/m≥","01/01/2022","18","69.66","1"
"Viggiano1","O3","µg/m≥","01/01/2022","19","68.59","1"
"Viggiano1","O3","µg/m≥","01/01/2022","20","61.42","1"
"Viggiano1","O3","µg/m≥","01/01/2022","21","65.01","1"
"Viggiano1","O3","µg/m≥","01/01/2022","22","66.22","1"
"Viggiano1","O3","µg/m≥","01/01/2022","23","66.42","1"
"Viggiano1","O3","µg/m≥","01/01/2022","24","68.60","1"
"Viggiano1","O3","µg/m≥","02/01/2022","01","-9999","-1"
"Viggiano1","O3","µg/m≥","02/01/2022","02","66.46","1"
"Viggiano1","O3","µg/m≥","02/01/2022","03","68.89","1"
"Viggiano1","O3","µg/m≥","02/01/2022","04","69.66","1"
"Viggiano1","O3","µg/m≥","02/01/2022","05","69.26","1"
"Viggiano1","O3","µg/m≥","02/01/2022","06","70.03","1"
"Viggiano1","O3","µg/m≥","02/01/2022","07","69.10","1"
"Viggiano1","O3","µg/m≥","02/01/2022","08","67.48","1"
"Viggiano1","O3","µg/m≥","02/01/2022","09","62.41","1"
"Viggiano1","O3","µg/m≥","02/01/2022","10","54.64","1"
"Viggiano1","O3","µg/m≥","02/01/2022","11","60.50","1"
"Viggiano1","O3","µg/m≥","02/01/2022","12","64.96","1"
"Viggiano1","O3","µg/m≥","02/01/2022","13","-9999","-1"
"Viggiano1","O3","µg/m≥","02/01/2022","14","72.73","1"
"Viggiano1","O3","µg/m≥","02/01/2022","15","72.26","1"
"Viggiano1","O3","µg/m≥","02/01/2022","16","69.94","1"
"Viggiano1","O3","µg/m≥","02/01/2022","17","63.01","1"
"Viggiano1","O3","µg/m≥","02/01/2022","18","62.46","1"
"Viggiano1","O3","µg/m≥","02/01/2022","19","58.56","1"
"Viggiano1","O3","µg/m≥","02/01/2022","20","58.07","1"
"Viggiano1","O3","µg/m≥","02/01/2022","21","53.69","1"
"Viggiano1","O3","µg/m≥","02/01/2022","22","51.38","1"
"Viggiano1","O3","µg/m≥","02/01/2022","23","50.72","1"
"Viggiano1","O3","µg/m≥","02/01/2022","24","51.36","1"
"Viggiano1","O3","µg/m≥","03/01/2022","01","53.25","1"
"Viggiano1","O3","µg/m≥","03/01/2022","02","55.67","1"
"Viggiano1","O3","µg/m≥","03/01/2022","03","56.76","1"
"Viggiano1","O3","µg/m≥","03/01/2022","04","58.93","1"
"Viggiano1","O3","µg/m≥","03/01/2022","05","59.28","1"
"Viggiano1","O3","µg/m≥","03/01/2022","06","59.33","1"
"Viggiano1","O3","µg/m≥","03/01/2022","07","60.72","1"
"Viggiano1","O3","µg/m≥","03/01/2022","08","60.18","1"
"Viggiano1","O3","µg/m≥","03/01/2022","09","57.58","1"
"Viggiano1","O3","µg/m≥","03/01/2022","10","55.44","1"
"Viggiano1","O3","µg/m≥","03/01/2022","11","58.59","1"
"Viggiano1","O3","µg/m≥","03/01/2022","12","-9999","-1"
"Viggiano1","O3","µg/m≥","03/01/2022","13","63.21","1"
"Viggiano1","O3","µg/m≥","03/01/2022","14","62.92","1"
"Viggiano1","O3","µg/m≥","03/01/2022","15","64.85","1"
"Viggiano1","O3","µg/m≥","03/01/2022","16","66.07","1"
"Viggiano1","O3","µg/m≥","03/01/2022","17","65.35","1"
"Viggiano1","O3","µg/m≥","03/01/2022","18","64.53","1"
"Viggiano1","O3","µg/m≥","03/01/2022","19","61.56","1"
"Viggiano1","O3","µg/m≥","03/01/2022","20","61.53","-1"
"Viggiano1","O3","µg/m≥","03/01/2022","21","61.53","-1"
"Viggiano1","O3","µg/m≥","03/01/2022","22","61.53","-1"
"Viggiano1","O3","µg/m≥","03/01/2022","23","61.53","-1"
"Viggiano1","O3","µg/m≥","03/01/2022","24","61.53","-1"
"Viggiano1","O3","µg/m≥","04/01/2022","01","61.53","1"
"Viggiano1","O3","µg/m≥","04/01/2022","02","61.53","1"
