"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Viggiano1","Pressione","hPa","01/01/2022","01","934.69","1"
"Viggiano1","Pressione","hPa","01/01/2022","02","934.43","1"
"Viggiano1","Pressione","hPa","01/01/2022","03","934.30","1"
"Viggiano1","Pressione","hPa","01/01/2022","04","933.80","1"
"Viggiano1","Pressione","hPa","01/01/2022","05","933.36","1"
"Viggiano1","Pressione","hPa","01/01/2022","06","933.53","1"
"Viggiano1","Pressione","hPa","01/01/2022","07","933.68","1"
"Viggiano1","Pressione","hPa","01/01/2022","08","933.81","1"
"Viggiano1","Pressione","hPa","01/01/2022","09","934.30","1"
"Viggiano1","Pressione","hPa","01/01/2022","10","934.56","1"
"Viggiano1","Pressione","hPa","01/01/2022","11","934.55","1"
"Viggiano1","Pressione","hPa","01/01/2022","12","934.21","1"
"Viggiano1","Pressione","hPa","01/01/2022","13","933.92","1"
"Viggiano1","Pressione","hPa","01/01/2022","14","933.94","1"
"Viggiano1","Pressione","hPa","01/01/2022","15","933.82","1"
"Viggiano1","Pressione","hPa","01/01/2022","16","934.00","1"
"Viggiano1","Pressione","hPa","01/01/2022","17","934.19","1"
"Viggiano1","Pressione","hPa","01/01/2022","18","934.66","1"
"Viggiano1","Pressione","hPa","01/01/2022","19","935.18","1"
"Viggiano1","Pressione","hPa","01/01/2022","20","935.38","1"
"Viggiano1","Pressione","hPa","01/01/2022","21","935.44","1"
"Viggiano1","Pressione","hPa","01/01/2022","22","935.72","1"
"Viggiano1","Pressione","hPa","01/01/2022","23","935.74","1"
"Viggiano1","Pressione","hPa","01/01/2022","24","935.82","1"
"Viggiano1","Pressione","hPa","02/01/2022","01","-9999","-1"
"Viggiano1","Pressione","hPa","02/01/2022","02","935.79","1"
"Viggiano1","Pressione","hPa","02/01/2022","03","935.88","1"
"Viggiano1","Pressione","hPa","02/01/2022","04","935.63","1"
"Viggiano1","Pressione","hPa","02/01/2022","05","935.44","1"
"Viggiano1","Pressione","hPa","02/01/2022","06","935.19","1"
"Viggiano1","Pressione","hPa","02/01/2022","07","935.20","1"
"Viggiano1","Pressione","hPa","02/01/2022","08","935.26","1"
"Viggiano1","Pressione","hPa","02/01/2022","09","935.41","1"
"Viggiano1","Pressione","hPa","02/01/2022","10","935.62","1"
"Viggiano1","Pressione","hPa","02/01/2022","11","935.60","1"
"Viggiano1","Pressione","hPa","02/01/2022","12","935.34","1"
"Viggiano1","Pressione","hPa","02/01/2022","13","934.76","1"
"Viggiano1","Pressione","hPa","02/01/2022","14","934.04","1"
"Viggiano1","Pressione","hPa","02/01/2022","15","933.72","1"
"Viggiano1","Pressione","hPa","02/01/2022","16","933.68","1"
"Viggiano1","Pressione","hPa","02/01/2022","17","933.59","1"
"Viggiano1","Pressione","hPa","02/01/2022","18","933.72","1"
"Viggiano1","Pressione","hPa","02/01/2022","19","933.80","1"
"Viggiano1","Pressione","hPa","02/01/2022","20","933.76","1"
"Viggiano1","Pressione","hPa","02/01/2022","21","934.05","1"
"Viggiano1","Pressione","hPa","02/01/2022","22","933.95","1"
"Viggiano1","Pressione","hPa","02/01/2022","23","933.71","1"
"Viggiano1","Pressione","hPa","02/01/2022","24","933.44","1"
"Viggiano1","Pressione","hPa","03/01/2022","01","933.40","1"
"Viggiano1","Pressione","hPa","03/01/2022","02","933.12","1"
"Viggiano1","Pressione","hPa","03/01/2022","03","932.74","1"
"Viggiano1","Pressione","hPa","03/01/2022","04","932.41","1"
"Viggiano1","Pressione","hPa","03/01/2022","05","932.12","1"
"Viggiano1","Pressione","hPa","03/01/2022","06","931.74","1"
"Viggiano1","Pressione","hPa","03/01/2022","07","931.73","1"
"Viggiano1","Pressione","hPa","03/01/2022","08","931.77","1"
"Viggiano1","Pressione","hPa","03/01/2022","09","931.82","1"
"Viggiano1","Pressione","hPa","03/01/2022","10","931.81","1"
"Viggiano1","Pressione","hPa","03/01/2022","11","931.43","1"
"Viggiano1","Pressione","hPa","03/01/2022","12","931.08","1"
"Viggiano1","Pressione","hPa","03/01/2022","13","930.71","1"
"Viggiano1","Pressione","hPa","03/01/2022","14","930.08","1"
"Viggiano1","Pressione","hPa","03/01/2022","15","929.84","1"
"Viggiano1","Pressione","hPa","03/01/2022","16","930.07","1"
"Viggiano1","Pressione","hPa","03/01/2022","17","930.07","1"
"Viggiano1","Pressione","hPa","03/01/2022","18","930.19","1"
