"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","01","2.44","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","02","2.50","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","03","2.34","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","04","2.37","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","05","2.53","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","06","2.01","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","07","2.38","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","08","25.06","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","09","103.15","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","10","199.75","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","11","297.90","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","12","151.44","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","13","216.86","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","14","238.38","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","15","169.85","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","16","46.53","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","17","10.69","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","18","2.66","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","19","3.62","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","20","4.07","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","21","3.48","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","22","2.91","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","23","3.08","1"
"Viggiano1","Radiazione_Globale","W/m≤","01/01/2022","24","3.45","1"
"Viggiano1","Radiazione_Globale","W/m≤","02/01/2022","01","-9999","-1"
"Viggiano1","Radiazione_Globale","W/m≤","02/01/2022","02","2.79","1"
"Viggiano1","Radiazione_Globale","W/m≤","02/01/2022","03","3.25","1"
"Viggiano1","Radiazione_Globale","W/m≤","02/01/2022","04","2.60","1"
"Viggiano1","Radiazione_Globale","W/m≤","02/01/2022","05","3.48","1"
"Viggiano1","Radiazione_Globale","W/m≤","02/01/2022","06","2.54","1"
"Viggiano1","Radiazione_Globale","W/m≤","02/01/2022","07","3.33","1"
"Viggiano1","Radiazione_Globale","W/m≤","02/01/2022","08","27.21","1"
"Viggiano1","Radiazione_Globale","W/m≤","02/01/2022","09","107.45","1"
"Viggiano1","Radiazione_Globale","W/m≤","02/01/2022","10","206.14","1"
"Viggiano1","Radiazione_Globale","W/m≤","02/01/2022","11","306.66","1"
"Viggiano1","Radiazione_Globale","W/m≤","02/01/2022","12","154.84","1"
"Viggiano1","Radiazione_Globale","W/m≤","02/01/2022","13","220.15","1"
"Viggiano1","Radiazione_Globale","W/m≤","02/01/2022","14","245.70","1"
"Viggiano1","Radiazione_Globale","W/m≤","02/01/2022","15","175.21","1"
