"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano1","SO2","µg/m≥","01/01/2022","01","6.89","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","02","5.84","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","03","6.36","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","04","6.20","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","05","6.16","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","06","2.22","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","07","2.20","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","08","1.75","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","09","1.35","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","10","0.84","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","11","0.67","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","12","0.22","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","13","0.04","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","14","0.09","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","15","0.10","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","16","0.09","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","17","0.41","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","18","0.50","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","19","0.86","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","20","0.41","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","21","1.08","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","22","1.94","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","23","2.57","1"
"Viggiano1","SO2","µg/m≥","01/01/2022","24","2.57","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","01","-9999","-1"
"Viggiano1","SO2","µg/m≥","02/01/2022","02","2.23","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","03","2.91","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","04","2.84","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","05","3.23","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","06","2.02","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","07","1.82","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","08","1.90","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","09","1.62","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","10","1.86","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","11","0.95","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","12","0.27","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","13","0.68","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","14","0.23","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","15","0.18","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","16","0.20","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","17","0.13","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","18","0.13","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","19","0.70","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","20","1.61","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","21","2.63","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","22","2.09","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","23","1.32","1"
"Viggiano1","SO2","µg/m≥","02/01/2022","24","1.87","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","01","1.86","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","02","2.52","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","03","2.62","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","04","2.65","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","05","2.34","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","06","0.04","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","07","0.05","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","08","0.01","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","09","0.01","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","10","0.02","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","11","0.31","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","12","0.32","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","13","0.38","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","14","1.22","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","15","1.56","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","16","1.16","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","17","1.35","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","18","2.29","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","19","2.45","1"
"Viggiano1","SO2","µg/m≥","03/01/2022","20","2.58","-1"
"Viggiano1","SO2","µg/m≥","03/01/2022","21","2.58","-1"
"Viggiano1","SO2","µg/m≥","03/01/2022","22","2.58","-1"
"Viggiano1","SO2","µg/m≥","03/01/2022","23","2.58","-1"
"Viggiano1","SO2","µg/m≥","03/01/2022","24","2.58","-1"
"Viggiano1","SO2","µg/m≥","04/01/2022","01","2.58","-1"
"Viggiano1","SO2","µg/m≥","04/01/2022","02","2.58","-1"
"Viggiano1","SO2","µg/m≥","04/01/2022","03","2.58","-1"
"Viggiano1","SO2","µg/m≥","04/01/2022","04","2.58","-1"
"Viggiano1","SO2","µg/m≥","04/01/2022","05","2.58","-1"
"Viggiano1","SO2","µg/m≥","04/01/2022","06","2.58","-1"
"Viggiano1","SO2","µg/m≥","04/01/2022","07","2.58","-1"
"Viggiano1","SO2","µg/m≥","04/01/2022","08","2.58","-1"
"Viggiano1","SO2","µg/m≥","04/01/2022","09","-9999","-1"
"Viggiano1","SO2","µg/m≥","04/01/2022","10","0.85","1"
"Viggiano1","SO2","µg/m≥","04/01/2022","11","0.93","1"
"Viggiano1","SO2","µg/m≥","04/01/2022","12","0.50","1"
"Viggiano1","SO2","µg/m≥","04/01/2022","13","0.97","1"
"Viggiano1","SO2","µg/m≥","04/01/2022","14","-9999","-1"
"Viggiano1","SO2","µg/m≥","04/01/2022","15","-9999","-1"
"Viggiano1","SO2","µg/m≥","04/01/2022","16","0.46","1"
"Viggiano1","SO2","µg/m≥","04/01/2022","17","1.30","1"
"Viggiano1","SO2","µg/m≥","04/01/2022","18","3.05","1"
"Viggiano1","SO2","µg/m≥","04/01/2022","19","2.80","1"
"Viggiano1","SO2","µg/m≥","04/01/2022","20","3.29","1"
"Viggiano1","SO2","µg/m≥","04/01/2022","21","2.64","1"
"Viggiano1","SO2","µg/m≥","04/01/2022","22","2.22","1"
"Viggiano1","SO2","µg/m≥","04/01/2022","23","2.32","1"
"Viggiano1","SO2","µg/m≥","04/01/2022","24","1.70","1"
"Viggiano1","SO2","µg/m≥","05/01/2022","01","1.59","1"
"Viggiano1","SO2","µg/m≥","05/01/2022","02","3.35","1"
"Viggiano1","SO2","µg/m≥","05/01/2022","03","2.46","1"
"Viggiano1","SO2","µg/m≥","05/01/2022","04","2.71","1"
"Viggiano1","SO2","µg/m≥","05/01/2022","05","2.62","1"
"Viggiano1","SO2","µg/m≥","05/01/2022","06","0.94","1"
"Viggiano1","SO2","µg/m≥","05/01/2022","07","1.36","1"
"Viggiano1","SO2","µg/m≥","05/01/2022","08","1.45","1"
"Viggiano1","SO2","µg/m≥","05/01/2022","09","1.17","1"
"Viggiano1","SO2","µg/m≥","05/01/2022","10","2.56","1"
"Viggiano1","SO2","µg/m≥","05/01/2022","11","2.78","1"
