"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Viggiano1","Umidità_Relativa","%","01/01/2022","01","25.79","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","02","25.64","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","03","25.97","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","04","25.92","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","05","25.29","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","06","25.57","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","07","26.72","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","08","26.07","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","09","18.21","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","10","13.71","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","11","13.62","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","12","11.90","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","13","10.18","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","14","6.70","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","15","4.91","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","16","8.50","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","17","14.00","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","18","18.21","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","19","21.54","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","20","23.27","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","21","21.32","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","22","19.90","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","23","24.40","1"
"Viggiano1","Umidità_Relativa","%","01/01/2022","24","24.55","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","01","-9999","-1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","02","26.04","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","03","25.94","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","04","24.31","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","05","23.07","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","06","22.14","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","07","17.89","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","08","16.35","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","09","12.25","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","10","11.98","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","11","7.64","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","12","4.98","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","13","3.28","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","14","1.41","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","15","1.67","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","16","6.62","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","17","15.49","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","18","20.70","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","19","26.97","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","20","30.81","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","21","46.18","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","22","56.54","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","23","62.12","1"
"Viggiano1","Umidità_Relativa","%","02/01/2022","24","62.74","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","01","62.82","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","02","63.50","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","03","64.66","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","04","64.10","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","05","63.86","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","06","63.87","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","07","61.41","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","08","58.83","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","09","57.34","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","10","54.64","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","11","43.01","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","12","36.51","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","13","31.27","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","14","35.22","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","15","38.36","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","16","41.96","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","17","48.17","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","18","50.92","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","19","53.70","1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","20","53.70","-1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","21","53.70","-1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","22","53.70","-1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","23","53.70","-1"
"Viggiano1","Umidità_Relativa","%","03/01/2022","24","53.70","-1"
"Viggiano1","Umidità_Relativa","%","04/01/2022","01","53.70","1"
"Viggiano1","Umidità_Relativa","%","04/01/2022","02","53.70","1"
"Viggiano1","Umidità_Relativa","%","04/01/2022","03","53.70","1"
"Viggiano1","Umidità_Relativa","%","04/01/2022","04","53.70","1"
"Viggiano1","Umidità_Relativa","%","04/01/2022","05","53.70","1"
"Viggiano1","Umidità_Relativa","%","04/01/2022","06","53.70","1"
