"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","01","40.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","02","292.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","03","1.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","04","301.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","05","303.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","06","316.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","07","348.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","08","6.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","09","283.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","10","158.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","11","259.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","12","286.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","13","280.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","14","346.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","15","340.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","16","336.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","17","276.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","18","276.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","19","301.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","20","311.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","21","345.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","22","140.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","23","76.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","01/01/2022","24","23.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","01","30.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","02","338.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","03","343.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","04","300.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","05","346.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","06","65.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","07","307.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","08","345.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","09","124.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","10","123.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","11","277.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","12","261.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","13","280.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","14","280.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","15","280.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","16","281.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","17","299.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","18","320.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","19","338.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","20","320.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","21","301.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","22","301.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","23","321.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","02/01/2022","24","326.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","01","324.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","02","320.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","03","309.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","04","311.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","05","309.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","06","308.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","07","307.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","08","308.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","09","298.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","10","280.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","11","266.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","12","267.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","13","273.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","14","278.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","15","271.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","16","276.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","17","275.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","18","271.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","19","307.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","20","321.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","21","303.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","22","311.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","23","312.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","03/01/2022","24","297.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","01","56.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","02","304.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","03","311.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","04","323.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","05","313.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","06","303.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","07","285.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","08","275.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","09","280.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","10","283.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","11","271.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","12","263.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","13","277.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","14","263.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","15","272.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","16","257.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","17","304.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","18","305.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","19","303.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","20","305.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","21","309.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","22","317.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","23","317.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","04/01/2022","24","319.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","01","319.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","02","315.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","03","311.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","04","321.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","05","340.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","06","349.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","07","329.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","08","178.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","09","327.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","10","272.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","11","156.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","12","267.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","13","277.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","14","274.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","15","271.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","16","257.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","17","257.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","18","268.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","19","275.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","20","272.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","21","257.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","22","250.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","23","239.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","05/01/2022","24","248.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","01","249.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","02","257.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","03","258.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","04","223.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","05","239.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","06","276.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","07","281.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","08","294.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","09","87.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","10","51.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","11","277.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","12","183.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","13","222.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","14","231.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","15","179.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","16","268.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","17","283.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","18","330.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","19","8.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","20","297.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","21","325.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","22","78.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","23","90.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","06/01/2022","24","93.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","07/01/2022","01","47.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","07/01/2022","02","325.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","07/01/2022","03","304.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","07/01/2022","04","326.00","1"
"Viggiano-Costa_Molina_Sud1","Direzione_Vento","∞N","07/01/2022","05","115.00","1"
