"Stazione","ParamNome","ParamUdm","Data","Ora","Media","ValiditÃ "
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","01","77.08","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","02","77.56","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","03","73.47","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","04","74.86","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","05","72.63","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","06","76.82","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","07","76.40","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","08","75.61","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","09","79.31","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","10","96.31","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","11","82.54","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","12","78.47","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","13","79.04","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","14","90.02","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","15","72.65","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","16","72.94","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","17","71.33","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","18","77.54","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","19","78.48","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","20","80.82","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","21","84.28","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","22","81.38","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","23","79.43","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","01/01/2022","24","80.85","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","01","79.82","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","02","85.44","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","03","90.30","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","04","80.95","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","05","90.04","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","06","93.55","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","07","-9999","-1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","08","88.02","-1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","09","83.84","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","10","82.39","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","11","83.41","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","12","80.31","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","13","76.85","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","14","77.37","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","15","75.98","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","16","74.29","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","17","74.58","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","18","77.95","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","19","77.99","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","20","83.21","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","21","77.82","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","22","78.18","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","23","75.80","1"
"Viggiano-Costa_Molina_Sud1","NMHC","ugC/m³","02/01/2022","24","75.75","1"
