"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","01","1.96","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","02","2.15","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","03","1.91","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","04","1.89","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","05","1.83","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","06","1.89","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","07","1.90","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","08","1.96","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","09","2.25","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","10","2.89","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","11","3.21","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","12","2.39","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","13","2.69","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","14","2.15","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","15","1.95","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","16","1.91","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","17","1.97","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","18","1.93","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","19","1.72","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","20","1.80","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","21","1.83","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","22","1.75","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","23","1.80","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","01/01/2022","24","1.84","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","02/01/2022","01","1.78","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","02/01/2022","02","1.85","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","02/01/2022","03","1.90","1"
"Viggiano-Costa_Molina_Sud1","NO","µg/m≥","02/01/2022","04","1.59","1"
