"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","01","5.83","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","02","5.63","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","03","4.68","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","04","5.01","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","05","5.14","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","06","5.39","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","07","5.31","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","08","4.38","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","09","6.76","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","10","10.31","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","11","10.15","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","12","6.51","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","13","8.37","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","14","7.02","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","15","3.64","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","16","3.63","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","17","4.46","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","18","5.54","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","19","5.81","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","20","6.58","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","21","6.00","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","22","6.02","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","23","6.14","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","01/01/2022","24","6.54","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","01","5.57","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","02","9.06","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","03","16.46","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","04","8.02","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","05","11.90","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","06","13.85","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","07","10.35","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","08","11.32","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","09","11.58","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","10","9.18","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","11","9.15","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","12","9.21","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","13","7.18","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","14","7.34","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","15","4.88","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","16","6.49","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","17","5.31","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","18","5.38","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","19","5.90","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","20","6.69","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","21","6.62","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","22","5.86","1"
"Viggiano-Costa_Molina_Sud1","NOx","µg/m≥","02/01/2022","23","5.50","1"
