"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","01","54.56","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","02","57.86","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","03","60.60","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","04","59.54","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","05","56.90","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","06","56.51","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","07","58.58","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","08","62.80","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","09","56.93","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","10","50.18","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","11","54.31","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","12","67.57","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","13","70.35","-1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","14","74.62","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","15","79.83","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","16","78.90","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","17","73.95","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","18","73.03","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","19","67.20","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","20","62.44","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","21","60.39","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","22","59.43","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","23","57.08","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","01/01/2022","24","57.23","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","01","54.84","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","02","53.60","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","03","49.86","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","04","52.85","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","05","50.44","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","06","48.61","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","07","51.74","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","08","47.88","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","09","41.84","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","10","51.16","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","11","51.77","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","12","55.67","-1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","13","70.35","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","14","75.93","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","15","74.03","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","16","69.60","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","17","67.07","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","18","63.60","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","19","56.92","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","20","54.13","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","21","52.92","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","22","53.83","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","23","55.40","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","02/01/2022","24","57.56","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","01","60.08","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","02","62.27","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","03","62.54","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","04","60.34","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","05","60.56","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","06","61.52","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","07","60.33","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","08","58.25","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","09","57.70","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","10","58.51","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","11","63.56","-1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","12","65.00","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","13","64.25","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","14","64.63","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","15","63.79","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","16","65.87","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","17","63.75","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","18","61.92","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","19","59.11","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","20","59.58","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","21","58.59","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","22","59.06","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","23","59.31","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","03/01/2022","24","58.22","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","01","54.84","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","02","60.34","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","03","60.92","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","04","59.97","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","05","60.28","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","06","62.53","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","07","63.81","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","08","67.28","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","09","66.18","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","10","67.44","-1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","11","69.72","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","12","70.19","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","13","69.92","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","14","70.45","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","15","69.57","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","16","67.37","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","17","63.19","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","18","60.92","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","19","63.80","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","20","65.28","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","21","65.56","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","22","65.80","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","23","65.10","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","04/01/2022","24","66.85","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","01","64.87","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","02","68.28","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","03","67.08","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","04","67.05","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","05","66.62","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","06","69.42","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","07","60.11","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","08","49.99","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","09","56.20","-1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","10","51.89","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","11","36.11","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","12","53.93","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","13","66.77","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","14","79.08","-1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","15","80.98","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","16","86.07","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","17","89.05","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","18","90.84","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","19","86.39","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","20","80.69","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","21","78.54","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","22","79.66","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","23","80.86","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","05/01/2022","24","82.37","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","06/01/2022","01","82.54","1"
"Viggiano-Costa_Molina_Sud1","O3","µg/m≥","06/01/2022","02","80.49","1"
