"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","01","2.82","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","02","2.74","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","03","2.99","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","04","2.86","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","05","2.75","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","06","3.03","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","07","3.04","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","08","2.97","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","09","3.00","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","10","3.05","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","11","3.05","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","12","2.99","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","13","2.69","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","14","2.78","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","15","2.79","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","16","2.70","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","17","2.65","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","18","2.69","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","19","2.54","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","20","2.80","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","21","2.87","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","22","2.80","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","23","2.96","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","01/01/2022","24","2.93","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","02/01/2022","01","-9999","-1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","02/01/2022","02","3.03","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","02/01/2022","03","3.12","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","02/01/2022","04","3.18","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","02/01/2022","05","3.33","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","02/01/2022","06","3.18","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","02/01/2022","07","2.71","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","02/01/2022","08","2.56","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","02/01/2022","09","2.55","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","02/01/2022","10","2.66","1"
"Viggiano-Masseria_De_Blasiis","H2S","µg/m≥","02/01/2022","11","2.64","1"
