"Stazione","ParamNome","ParamUdm","Data","Ora","Media","ValiditÃ "
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","01","1049.76","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","02","1010.10","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","03","996.50","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","04","1047.73","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","05","1052.85","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","06","1342.68","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","07","1407.68","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","08","1152.11","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","09","1199.96","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","10","1276.51","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","11","1144.66","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","12","1002.49","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","13","939.94","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","14","933.27","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","15","938.84","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","16","941.52","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","17","953.53","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","18","1018.03","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","19","1003.80","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","20","995.02","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","21","1065.02","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","22","1024.94","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","23","1002.12","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","01/01/2022","24","966.48","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","02/01/2022","01","-9999","-1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","02/01/2022","02","1016.88","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","02/01/2022","03","1055.93","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","02/01/2022","04","1198.70","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","02/01/2022","05","1332.58","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","02/01/2022","06","1077.41","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","02/01/2022","07","1121.09","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","02/01/2022","08","1234.62","1"
"Viggiano-Masseria_De_Blasiis","Metano","ugC/m³","02/01/2022","09","1406.35","1"
