"Stazione","ParamNome","ParamUdm","Data","Ora","Media","ValiditÃ "
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","01","46.28","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","02","42.72","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","03","56.34","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","04","57.95","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","05","56.33","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","06","88.03","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","07","69.08","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","08","53.76","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","09","75.87","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","10","60.44","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","11","49.88","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","12","41.19","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","13","38.66","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","14","35.64","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","15","34.11","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","16","37.89","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","17","44.80","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","18","60.05","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","19","49.73","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","20","53.87","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","21","63.54","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","22","53.98","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","23","50.10","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","01/01/2022","24","73.40","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","02/01/2022","01","-9999","-1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","02/01/2022","02","66.38","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","02/01/2022","03","65.76","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","02/01/2022","04","90.64","1"
"Viggiano-Masseria_De_Blasiis","NMHC","ugC/m³","02/01/2022","05","82.92","1"
