"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","01","5.56","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","02","5.74","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","03","5.59","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","04","5.95","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","05","3.89","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","06","2.39","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","07","2.66","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","08","3.10","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","09","1.31","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","10","2.22","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","11","1.89","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","12","1.38","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","13","0.88","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","14","3.77","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","15","4.10","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","16","4.27","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","17","4.34","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","18","4.69","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","19","4.58","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","20","4.47","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","21","4.50","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","22","4.61","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","23","4.62","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","01/01/2022","24","4.61","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","02/01/2022","01","-9999","-1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","02/01/2022","02","4.33","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","02/01/2022","03","4.41","1"
"Viggiano-Masseria_De_Blasiis","NOx","µg/m≥","02/01/2022","04","4.59","1"
