"Stazione","ParamNome","ParamUdm","Data","Media","Validità"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","01/01/2022","13.99","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","02/01/2022","15.61","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","03/01/2022","13.55","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","04/01/2022","8.36","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","05/01/2022","12.02","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","06/01/2022","11.72","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","07/01/2022","11.93","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","08/01/2022","5.18","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","09/01/2022","7.86","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","10/01/2022","6.15","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","11/01/2022","9.64","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","12/01/2022","13.79","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","13/01/2022","12.75","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","14/01/2022","15.58","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","15/01/2022","12.54","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","16/01/2022","14.07","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","17/01/2022","15.83","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","18/01/2022","22.60","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","19/01/2022","14.95","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","20/01/2022","11.57","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","21/01/2022","6.08","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","22/01/2022","9.17","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","23/01/2022","7.10","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","24/01/2022","7.25","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","25/01/2022","11.99","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","26/01/2022","13.60","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","27/01/2022","16.98","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","28/01/2022","15.66","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","29/01/2022","9.63","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","30/01/2022","11.78","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","31/01/2022","11.25","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","01/02/2022","9.17","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","02/02/2022","8.36","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","03/02/2022","12.97","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","04/02/2022","14.66","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","05/02/2022","23.02","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","06/02/2022","17.98","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","07/02/2022","6.51","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","08/02/2022","9.16","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","09/02/2022","9.78","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","10/02/2022","25.22","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","11/02/2022","19.87","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","12/02/2022","28.63","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","13/02/2022","19.63","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","14/02/2022","17.89","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","15/02/2022","17.95","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","16/02/2022","10.39","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","17/02/2022","11.14","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","18/02/2022","12.02","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","19/02/2022","-9999","-1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","20/02/2022","-9999","-1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","21/02/2022","-9999","-1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","22/02/2022","7.08","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","23/02/2022","10.74","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","24/02/2022","9.39","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","25/02/2022","12.39","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","26/02/2022","13.11","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","27/02/2022","11.89","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","28/02/2022","11.41","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","01/03/2022","12.20","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","02/03/2022","12.00","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","03/03/2022","15.54","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","04/03/2022","19.73","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","05/03/2022","18.35","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","06/03/2022","-9999","-1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","07/03/2022","-9999","-1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","08/03/2022","-9999","-1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","09/03/2022","13.97","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","10/03/2022","13.75","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","11/03/2022","15.67","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","12/03/2022","19.47","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","13/03/2022","15.66","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","14/03/2022","19.35","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","15/03/2022","18.25","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","16/03/2022","16.73","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","17/03/2022","-9999","-1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","18/03/2022","-9999","-1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","19/03/2022","16.67","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","20/03/2022","16.70","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","21/03/2022","17.27","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","22/03/2022","19.60","1"
"Viggiano-Masseria_De_Blasiis","PM10","µg/m³","23/03/2022","24.95","1"
