"Stazione","ParamNome","ParamUdm","Data","Media","Validità"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","01/01/2022","5.58","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","02/01/2022","6.23","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","03/01/2022","5.40","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","04/01/2022","3.31","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","05/01/2022","4.77","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","06/01/2022","4.66","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","07/01/2022","4.73","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","08/01/2022","2.02","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","09/01/2022","3.11","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","10/01/2022","2.41","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","11/01/2022","3.82","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","12/01/2022","5.50","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","13/01/2022","5.07","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","14/01/2022","6.22","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","15/01/2022","4.98","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","16/01/2022","5.61","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","17/01/2022","6.32","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","18/01/2022","9.05","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","19/01/2022","5.96","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","20/01/2022","4.59","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","21/01/2022","2.39","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","22/01/2022","3.64","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","23/01/2022","2.79","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","24/01/2022","2.86","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","25/01/2022","4.76","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","26/01/2022","5.41","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","27/01/2022","6.77","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","28/01/2022","6.25","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","29/01/2022","3.82","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","30/01/2022","4.68","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","31/01/2022","4.47","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","01/02/2022","3.64","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","02/02/2022","3.31","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","03/02/2022","5.16","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","04/02/2022","5.83","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","05/02/2022","9.21","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","06/02/2022","7.17","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","07/02/2022","2.56","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","08/02/2022","3.63","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","09/02/2022","3.88","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","10/02/2022","10.10","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","11/02/2022","7.94","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","12/02/2022","11.48","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","13/02/2022","7.85","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","14/02/2022","7.14","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","15/02/2022","7.16","1"
"Viggiano-Masseria_De_Blasiis","PM2-5","µg/m³","16/02/2022","4.13","1"
