"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","01","0.01","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","02","0.00","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","03","0.01","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","04","0.00","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","05","0.01","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","06","0.00","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","07","0.00","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","08","19.83","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","09","168.68","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","10","300.09","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","11","407.55","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","12","461.16","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","13","455.80","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","14","386.64","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","15","264.83","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","16","101.02","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","17","11.43","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","18","0.02","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","19","0.02","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","20","0.01","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","21","0.02","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","22","0.01","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","23","0.01","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","01/01/2022","24","0.01","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","01","-9999","-1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","02","0.00","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","03","0.00","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","04","0.00","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","05","0.00","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","06","0.00","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","07","0.00","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","08","18.44","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","09","174.14","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","10","291.06","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","11","421.41","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","12","474.54","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","13","461.61","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","14","393.20","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","15","271.85","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","16","105.17","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","17","11.64","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","18","0.02","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","19","0.02","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","20","0.01","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","21","0.02","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","22","0.02","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","23","0.01","1"
"Viggiano-Masseria_De_Blasiis","Radiazione_Globale","W/m≤","02/01/2022","24","0.01","1"
