"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validit√†"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","01","3.22","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","02","3.62","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","03","3.68","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","04","3.38","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","05","3.41","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","06","3.56","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","07","3.86","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","08","3.34","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","09","3.28","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","10","3.51","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","11","3.58","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","12","3.84","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","13","3.90","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","14","4.28","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","15","4.33","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","16","4.03","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","17","3.94","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","18","4.25","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","19","3.88","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","20","3.76","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","21","3.72","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","22","3.79","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","23","3.43","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","01/01/2022","24","3.60","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","01","-9999","-1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","02","3.97","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","03","3.85","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","04","3.63","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","05","3.57","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","06","4.12","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","07","3.91","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","08","3.76","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","09","3.63","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","10","4.25","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","11","4.15","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","12","4.22","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","13","4.13","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","14","4.21","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","15","4.53","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","16","4.18","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","17","4.47","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","18","4.30","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","19","4.03","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","20","4.12","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","21","4.05","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","22","3.99","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","23","4.05","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","02/01/2022","24","3.73","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","01","3.99","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","02","3.89","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","03","3.97","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","04","3.78","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","05","4.13","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","06","3.93","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","07","4.44","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","08","4.30","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","09","4.06","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","10","4.32","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","11","4.72","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","12","4.25","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","13","4.48","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","14","4.26","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","15","4.20","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","16","4.28","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","17","4.27","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","18","4.46","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","19","4.39","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","20","4.51","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","21","4.67","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","22","4.52","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","23","4.92","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","03/01/2022","24","4.46","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","01","4.25","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","02","4.17","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","03","4.62","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","04","3.97","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","05","4.05","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","06","4.45","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","07","4.21","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","08","3.98","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","09","3.94","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","10","4.18","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","11","4.16","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","12","4.10","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","13","3.83","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","14","4.21","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","15","3.72","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","16","4.19","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","17","4.01","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","18","3.86","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","19","3.91","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","20","3.86","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","21","3.93","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","22","4.08","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","23","4.22","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","04/01/2022","24","4.24","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","05/01/2022","01","3.89","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","05/01/2022","02","3.92","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","05/01/2022","03","4.10","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","05/01/2022","04","3.53","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","05/01/2022","05","2.89","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","05/01/2022","06","2.79","1"
"Viggiano-Masseria_De_Blasiis","SO2","µg/m≥","05/01/2022","07","3.11","1"
