"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","01","97.97","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","02","98.00","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","03","98.54","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","04","97.87","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","05","98.60","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","06","97.93","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","07","97.76","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","08","98.18","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","09","98.43","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","10","91.82","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","11","77.49","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","12","60.85","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","13","46.21","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","14","46.05","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","15","48.21","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","16","49.06","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","17","51.93","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","18","62.11","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","19","71.28","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","20","77.41","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","21","83.69","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","22","88.10","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","23","90.71","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","01/01/2022","24","92.48","1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","02/01/2022","01","-9999","-1"
"Viggiano-Masseria_De_Blasiis","Umidità_Relativa","%","02/01/2022","02","96.13","1"
