"Stazione","ParamNome","ParamUdm","Data","Ora","Media","Validità"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","01","1.02","-1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","02","3.46","-1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","03","1.69","-1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","04","4.35","-1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","05","2.11","-1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","06","5.55","-1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","07","5.04","-1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","08","3.33","-1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","09","2.37","1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","10","1.65","1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","11","1.93","1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","12","2.09","1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","13","4.65","1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","14","5.97","1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","15","5.61","1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","16","5.20","1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","17","3.99","1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","18","1.74","1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","19","1.75","1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","20","1.63","1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","21","1.45","1"
"Viggiano-Masseria_De_Blasiis","Velocità_Vento","m/s","01/01/2022","22","1.01","1"
