Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),m-Xilene (µg/m³),Metano (ppm),NMHC (ppm),NO2 (µg/m³),NOx (ppb),NO (ppb),o-Xilene (µg/m³),O3 (µg/m³),p-Xilene (µg/m³),Precipitazione (mm),Pressione (mBar),Radiazione_Globale (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s)
Ferrandina,40.313888,15.904444,01/01/2022 01:00,0.78,0.22,23.96,0.0,0.0,1.74,0.24,5.27,2.85,0.79,0.0,23.57,0.0,0.0,980.0,0.0,1.65,1.42,0.55,98.9,1.12
Ferrandina,40.313888,15.904444,01/01/2022 02:00,0.79,0.21,43.29,0.0,0.0,1.74,0.22,4.76,2.62,0.84,0.0,23.19,0.02,0.0,980.17,0.0,1.01,1.03,0.66,98.9,1.08
Ferrandina,40.313888,15.904444,01/01/2022 03:00,0.68,0.2,23.86,0.01,0.0,1.75,0.23,4.08,2.14,0.71,0.0,22.3,0.0,0.0,980.48,0.0,1.25,0.67,0.56,98.9,0.98
Ferrandina,40.313888,15.904444,01/01/2022 04:00,0.65,0.19,23.31,0.0,0.01,1.75,0.23,3.93,2.09,0.75,0.0,21.64,0.0,0.0,980.54,0.0,1.1,0.31,0.65,98.9,0.67
Ferrandina,40.313888,15.904444,01/01/2022 05:00,0.66,0.19,22.07,0.0,0.0,1.77,0.22,3.97,2.4,1.02,0.0,20.63,0.0,0.0,980.64,0.0,0.96,0.13,0.48,98.9,0.66
Ferrandina,40.313888,15.904444,01/01/2022 06:00,0.63,0.19,22.91,0.0,0.0,1.77,0.22,4.4,2.53,0.94,0.0,17.57,0.0,0.0,980.72,0.0,1.71,-0.23,0.47,98.9,0.6
Ferrandina,40.313888,15.904444,01/01/2022 07:00,0.6,0.18,0.09,0.0,0.01,1.76,0.21,9.54,7.77,3.49,0.0,13.15,0.0,0.0,981.17,0.0,1.62,-0.47,0.62,98.91,0.44
Ferrandina,40.313888,15.904444,01/01/2022 08:00,0.58,0.18,23.83,0.0,0.01,1.77,0.21,5.94,3.46,1.05,0.0,13.2,0.01,0.0,981.62,7.15,1.03,-0.68,0.61,98.91,0.64
Ferrandina,40.313888,15.904444,01/01/2022 09:00,0.6,0.2,43.09,0.0,0.0,1.77,0.22,4.02,2.37,0.97,0.0,22.46,0.0,0.0,981.84,93.84,1.01,1.27,0.48,98.9,1.36
Ferrandina,40.313888,15.904444,01/01/2022 10:00,1.28,0.23,66.82,0.01,0.0,1.74,0.25,3.7,2.08,0.85,0.0,30.82,0.0,0.0,981.99,304.59,1.0,4.96,0.78,97.86,0.78
Ferrandina,40.313888,15.904444,01/01/2022 11:00,1.28,0.21,271.22,0.0,0.0,1.72,0.25,3.95,2.28,0.92,0.0,41.04,0.0,0.0,981.76,328.71,1.44,7.97,0.66,77.45,0.52
Ferrandina,40.313888,15.904444,01/01/2022 12:00,0.75,0.22,268.49,0.0,0.0,1.7,0.37,6.96,4.53,1.6,0.0,46.17,0.0,0.0,980.81,490.58,1.08,10.95,0.34,66.6,1.49
Ferrandina,40.313888,15.904444,01/01/2022 13:00,0.63,0.22,267.95,0.0,0.0,1.68,0.53,7.27,4.59,1.49,0.0,49.11,0.0,0.0,979.91,409.53,1.04,12.1,0.44,65.7,1.89
Ferrandina,40.313888,15.904444,01/01/2022 14:00,0.63,0.2,248.26,0.0,0.0,1.66,0.61,5.22,2.85,0.82,0.0,60.67,0.0,0.0,979.07,423.83,1.29,13.76,0.97,59.67,1.9
Ferrandina,40.313888,15.904444,01/01/2022 15:00,0.51,0.2,248.8,0.0,0.0,1.65,0.57,14.21,7.68,0.96,0.0,65.46,0.0,0.0,978.85,229.74,1.13,13.33,0.29,57.84,2.26
Ferrandina,40.313888,15.904444,01/01/2022 16:00,0.5,0.21,268.46,0.0,0.0,-9999.0,-9999.0,10.0,5.33,0.81,0.0,61.79,0.0,0.0,978.96,95.9,1.4,12.41,0.2,65.25,1.59
