Stazione,Latitudine,Longitudine,Data_Ora,Benzene (µg/m³),CO (mg/m³),Direzione_Vento (°N),Etilbenzene (µg/m³),H2S (µg/m³),Metano (ugC/m³),NMHC (ugC/m³),NO2 (µg/m³),NOx (µg/m³),NO (µg/m³),o-Xilene (µg/m³),O3 (µg/m³),PM10 (µg/m³),PM2-5 (µg/m³),Precipitazione (mm),Pressione (hPa),Radiazione_Globale (W/m²),Radiazione_Netta (W/m²),SO2 (µg/m³),Temperatura (°C),Toluene (µg/m³),Umidità_Relativa (%),Velocità_Vento (m/s),Xilene (µg/m³)
Grumento3,40.313888,15.904444,01/01/2022 01:00,0.48,0.35,268.0,0.04,0.62,908.05,44.8,2.67,4.81,1.4,0.01,74.09,14.94,8.78,0.0,921.69,0.0,-31.17,2.77,2.98,0.08,79.06,6.5,0.01
Grumento3,40.313888,15.904444,01/01/2022 02:00,0.39,0.35,258.0,0.04,0.71,906.68,43.33,2.64,5.22,1.9,0.01,77.29,18.95,10.97,0.0,921.59,0.0,-38.41,2.8,3.1,0.08,81.41,7.76,0.01
Grumento3,40.313888,15.904444,01/01/2022 03:00,0.19,0.34,261.0,0.04,0.96,904.93,43.62,3.49,5.95,1.61,0.01,76.89,27.48,15.73,0.0,921.79,0.0,-40.64,3.61,3.07,0.08,82.49,6.63,0.01
Grumento3,40.313888,15.904444,01/01/2022 04:00,0.41,0.34,262.0,0.04,0.86,896.42,46.37,3.09,5.77,1.79,0.01,76.85,7.17,3.0,0.0,921.86,0.0,-39.41,2.13,2.5,0.08,84.02,6.06,0.01
Grumento3,40.313888,15.904444,01/01/2022 05:00,0.45,0.33,258.0,0.04,0.72,897.76,41.9,2.57,4.2,1.09,0.01,75.45,11.92,6.77,0.0,921.73,0.0,-39.38,1.73,2.76,0.08,83.03,6.21,0.01
Grumento3,40.313888,15.904444,01/01/2022 06:00,0.3,0.32,256.0,0.04,0.95,896.57,42.6,2.67,4.05,0.9,0.01,77.96,18.2,8.78,0.0,921.85,0.0,-37.85,2.33,2.87,0.08,81.5,6.13,0.01
Grumento3,40.313888,15.904444,01/01/2022 07:00,0.31,0.31,261.0,0.04,0.94,896.73,43.54,2.88,4.91,1.33,0.01,76.5,17.27,11.45,0.0,922.23,0.0,-33.41,2.12,2.85,0.08,82.38,4.51,0.01
Grumento3,40.313888,15.904444,01/01/2022 08:00,0.38,0.32,254.0,0.04,0.8,896.76,44.29,3.9,5.56,1.29,0.01,73.56,21.52,10.42,0.0,922.45,0.0,-30.21,1.98,2.23,0.08,85.02,4.43,0.01
Grumento3,40.313888,15.904444,01/01/2022 09:00,0.33,0.35,257.0,0.04,0.73,896.79,46.84,4.35,5.2,0.74,0.01,81.69,12.48,8.22,0.0,923.03,0.82,-23.95,1.38,3.46,0.08,81.27,3.32,0.02
Grumento3,40.313888,15.904444,01/01/2022 10:00,0.35,0.43,231.0,0.04,0.74,903.39,49.06,4.19,4.42,0.34,0.01,81.61,18.17,12.45,0.0,924.16,6.48,-20.03,1.7,4.28,0.24,79.83,2.29,0.01
Grumento3,40.313888,15.904444,01/01/2022 11:00,0.75,0.37,247.0,0.04,0.58,902.77,48.83,3.66,4.18,0.72,0.01,77.45,30.85,16.07,0.0,925.23,41.21,11.89,1.28,5.38,0.16,76.64,1.94,0.01
Grumento3,40.313888,15.904444,01/01/2022 12:00,0.6,0.38,293.0,0.04,0.72,908.51,43.86,3.7,4.76,0.78,0.01,73.99,11.78,4.65,0.0,924.86,86.59,53.19,0.67,6.65,0.08,73.07,1.31,0.01
Grumento3,40.313888,15.904444,01/01/2022 13:00,0.28,0.5,231.0,0.03,0.59,907.73,52.01,4.84,5.18,0.48,0.01,75.64,12.33,7.03,0.0,924.31,106.72,76.57,0.47,7.42,0.08,74.6,3.21,0.01
Grumento3,40.313888,15.904444,01/01/2022 14:00,0.73,0.45,70.0,0.03,-9999.0,900.92,44.73,3.58,3.58,0.33,0.01,69.91,10.8,7.67,0.0,923.85,250.41,111.26,0.79,8.57,0.3,71.98,2.14,0.01
Grumento3,40.313888,15.904444,01/01/2022 15:00,0.35,0.47,260.0,0.04,0.91,894.8,50.78,3.79,4.16,0.51,0.01,72.02,11.62,8.02,0.0,923.71,204.97,250.46,1.62,9.73,0.08,64.61,1.16,0.01
Grumento3,40.313888,15.904444,01/01/2022 16:00,0.52,0.56,200.0,0.04,0.59,898.49,58.95,5.45,5.24,0.17,0.01,75.44,8.86,3.76,0.0,923.88,27.28,2.81,3.03,7.77,0.12,75.45,2.12,0.01
Grumento3,40.313888,15.904444,01/01/2022 17:00,1.3,0.68,200.0,0.04,0.93,905.99,72.27,8.21,8.89,0.82,0.01,78.5,10.77,4.58,0.0,923.98,0.26,-32.5,2.94,5.97,0.34,84.62,1.79,0.02
Grumento3,40.313888,15.904444,01/01/2022 18:00,2.12,0.85,186.0,0.04,0.92,917.06,87.1,12.65,13.84,0.78,0.01,76.91,10.01,5.68,0.0,924.01,0.0,-39.49,2.11,5.39,0.62,81.33,1.84,0.01
Grumento3,40.313888,15.904444,01/01/2022 19:00,2.58,0.71,41.0,0.04,0.9,912.04,81.24,9.79,10.27,0.51,0.01,82.72,9.16,5.27,0.0,924.17,0.0,-42.75,1.94,5.02,1.32,77.71,0.67,0.01
Grumento3,40.313888,15.904444,01/01/2022 20:00,2.25,0.66,311.0,0.03,0.78,909.99,68.42,9.72,10.42,0.58,0.01,84.77,7.89,2.63,0.0,924.27,0.0,-29.32,1.35,5.04,1.02,75.17,0.59,0.01
Grumento3,40.313888,15.904444,01/01/2022 21:00,1.96,0.58,79.0,0.04,0.76,906.8,58.87,8.32,8.38,0.22,0.01,79.93,17.17,10.36,0.0,924.3,0.0,-8.69,1.67,5.27,0.32,73.2,1.83,0.04
Grumento3,40.313888,15.904444,01/01/2022 22:00,1.42,0.64,194.0,0.04,0.68,909.75,67.7,9.95,9.37,0.32,0.01,78.36,24.13,11.21,0.0,924.27,0.0,-22.74,1.51,4.68,0.34,80.55,1.26,0.12
Grumento3,40.313888,15.904444,01/01/2022 23:00,1.65,0.63,218.0,0.04,0.49,908.98,59.88,7.64,8.13,0.37,0.01,79.43,14.15,4.5,0.0,924.28,0.0,-19.85,1.26,4.93,0.75,85.85,1.5,0.01
